'an'neng 暗能
'nan'yu'zuo 南鱼座
'qi'huan 气环
'qi'lin'zuo 麒麟座
'ren'ma'zuo 人马座
'sai'fo'te'xing'xi 塞佛特星系
'san'jiao'zuo 三角座
'shan'an'zuo 山案座
'shang'xian'yue 上弦月
'she'dian'xing'xi 射电星系
'she'fu'zuo 蛇夫座
'shi'guang'zhi'men 时光之门
'shi'nv'zuo 室女座
'shi'zhong'zuo 时钟座
'shi'zi'zuo 狮子座
'shuang'chong'xing'xi 双重星系
'shuang'yu'zuo 双鱼座
'shuang'zi'zuo 双子座
'shui'she'zuo 水蛇座
'shui'xing 水星
'suo'yan'xing'yun 锁眼星云
'tai'yang 太阳
'tai'yang'xi 太阳系
'tai'yang'yao'ban 太阳耀斑
'tan'xing 碳星
'tian'cheng'zuo 天秤座
'tian'e'xing'yun 天鹅星云
'tian'e'zuo 天鹅座
'tian'ge'zuo 天鸽座
'tian'he'zuo 天鹤座
'tian'jian'zuo 天箭座
'tian'long'zuo 天龙座
'tian'lu'zuo 天炉座
'tian'mao'zuo 天猫座
'tian'qin'zuo 天琴座
'tian'shang'ju'bo 天上巨钹
'tian'tan'zuo 天坛座
'tian'tu'zuo 天兔座
'tian'wang'xing 天王星
'tian'xie'zuo 天蝎座
'tian'yan'zuo 天燕座
'tian'ying'zuo 天鹰座
'tu'xing 土星
'wai'xing'wen'ming 外星文明
'wang'gu'zuo 网罟座
'wang'yuan'jing'zuo 望远镜座
'wei'duo'li'ya'keng 维多利亚坑
'wei'xing 卫星
'wu'xian'zuo 武仙座
'wu'ya'zuo 乌鸦座
'xian'hou'zuo 仙后座
'xian'nv'zuo 仙女座
'xian'wang'zuo 仙王座
'xian'wei'jing'zuo 显微镜座
'xiao'ma'zuo 小马座
'xiao'quan'zuo 小犬座
'xiao'shi'zuo 小狮座
'xiao'xing'xing 小行星
'xiao'xiong'zuo 小熊座
'xie'hu'zuo 蝎虎座
'xing'bao'xing'xi 星爆星系
'xing'tuan 星团
'xing'xi'qun 星系群
'xing'xing 行星
'xing'xiu 星宿
'xing'yun 星云
'xing'zuo 星座
'yan'ting'zuo 蝘蜓座
'ye'ban'qiu 夜半球
'ye'tian'guang 夜天光
'yin'di'an'zuo 印地安座
'yin'he'xi 银河系
'yin'he'xi'xuan'bi 银河系旋臂
'yin'li'shou'suo 引力收缩
'ying'er'yu'zhou 婴儿宇宙
'ying'xian'xing'zuo 英仙星座
'ying'xian'zuo 英仙座
'yu'fu'zuo 御夫座
'yu'fu'zuo 玉夫座
'yu'zhou'da'bao'zha 宇宙大爆炸
'yu'zhou'jian'shi 宇宙简史
'yu'zhou'she'xian 宇宙射线
'yuan'gui'zuo 圆规座
'yue'liang 月亮
'yun'shi 陨石
'zai'fa'xin'xing 再发新星
'zheng'dian'zi 正电子
'zhi'mi'xing'xi 致密星系
'zhong'zi'xing 中子星
