'ao'yun'hui'de 奥运会的
'xie'xue'fen'jian'fa 斜削分剑法
'xin'de'jin'gong 新的进攻
'xuan'jian'gong'ji 旋剑攻击
'xun'huan'zu'sai 循环组赛
'ya'dian'ao'yun'hui 雅典奥运会
'ya'jian'huan'ji 压剑还击
'yan'xu'jin'gong 延续进攻
'yang'gong'shang'bu'hou 佯攻上部后
'yao'qiu'zan'ting 要求暂停
'ye'ke'yi'jian'jie 也可以间接
'yi'ban'fan'gong 一般反攻
'yi'da'li'shi'de'shuang'tui'qian'tiao 意大利式的双腿前跳
'yi'fen'wei 一分位
'yi'jian'jian'wei'xie 以剑尖威胁
'yin'ni'qi'tu'de'gong'ji 隐匿企图的攻击
'yong'wu'qi 用武器
'you'fang'bei'ji'zhong 右方被击中
'you'fang'de'you'xian'gong'ji'quan 右方的优先攻击权
'you'xian'quan'zhuan'huan 优先权转换
'you'xiao'bu'wei 有效部位
'zai'dui'fang 在对方
'zai'hui'dao 再回到
'zai'ji 再击
'zai'ling'yi'tiao'xian'shang 在另一条线上
'zai'ren'he'qing'kuang'xia 在任何情况下
'zai'ting'dun'zhuang'kuang'xia 在停顿状况下
'zai'tong'yi'tiao'xian'shang 在同一条线上
'zai'xiang'fan'xian'shang 在相反线上
'zai'yi'ci 再一次
'zai'zhun'bei'dong'zuo'zhong 在准备动作中
'zeng'jia'le 增加了
'zhan'shu'da'fa 战术打法
'zhan'shu'da'fa'feng'ge 战术打法风格
'zhang'ci'hou'hui'dao 长刺后回到
'zhang'ci'hou'shou'hou'tui'de 长刺后收后腿的
'zhang'ci'hou'shou'qian'tui'de 长刺后收前腿的
'zheng'shi'bi'sai'xiang'mu 正式比赛项目
'zheng'shi'lie'wei 正式列为
'zhi'ci 直刺
'zhi'jie'de 直接的
'zhi'jie'huan'ji 直接还击
'zhi'jie'jin'xing 直接进行
'zhi'jing'zui'da'wei 直径最大为
'zhi'shu'pai'wei 指数排位
'zhong'guo'ji'jian'xie'hui 中国击剑协会
'zhong'jian 重剑
'zhong'jian'bi'sai 重剑比赛
'zhong'liang'bu'chao'guo 重量不超过
'zhu'shen 主审
'zhuan'gong'xia'bu 转攻下部
'zhuan'wei 转位
'zhuan'yi'dao 转移到
'zhuan'yi'huan'ji 转移还击
'zi'you'dui'lian 自由对练
'zu'nei'cheng'ji 组内成绩
'zu'zhi'fan'yi 组织翻译
'zui'da'wei 最大为
'zui'duo'da 最多打
'zui'hou'yi'fen'zhong 最后一分钟
'zui'xin'xiu'ding 最新修订
'zuo'chu'de 作出的
'zuo'fang'bei'ji'zhong 左方被击中
'zuo'fang'de'you'xian'gong'ji'quan 左方的优先攻击权
