'ba'di 坝地
'shui'tu'liu'shi 水土流失
'shui'tu'liu'shi'fen'qu 水土流失分区
'shui'zhui'ba 水坠坝
'si'huang'zi'yuan 四荒资源
'su'xian 塑限
'su'xing'liu'dong 塑性流动
'su'yuan'qin'shi 溯源侵蚀
'suo'xian 缩限
'ti'tian 梯田
'tian'ran'po'mian'jing'liu'chang 天然坡面径流场
'tu'di'sha'hua 土地沙化
'tu'di'tui'hua 土地退化
'tu'rang'kang'shi'xing 土壤抗蚀性
'tu'rang'qin'shi 土壤侵蚀
'tu'rang'qin'shi'cheng'du 土壤侵蚀程度
'tu'rang'qin'shi'qiang'du 土壤侵蚀强度
'tu'shi'shan'qu 土石山区
'xi'gou'qin'shi 细沟侵蚀
'xia'shu'zuo'wu 夏熟作物
'xiao'liu'yu 小流域
'xiao'liu'yu'jing'ji 小流域经济
'xiao'liu'yu'zong'he'zhi'li 小流域综合治理
'xie'liu 泻溜
'xie'sha 挟沙
'xu'shui'bao'tu'xiao'yi 蓄水保土效益
'xu'shui'cao 蓄水槽
'xu'shui'gou 蓄水沟
'xue'po 削坡
'yan'kan 岩坎
'yan'tang 堰塘
'yang'sha 扬沙
'ye'xian 液限
'yi'zhi'li'mian'ji 宜治理面积
'yin'hong'man'di 引洪漫地
'yin'shui'la'sha'zao'tian 引水拉沙造田
'yu'bi'du 郁闭度
'yu'di'ba 淤地坝
'yu'lin'keng 鱼鳞坑
'yu'yang'di 雨养地
'yuan'bian'fang'hu'lin 塬边防护林
'yun'xu'tu'rang'qin'shi'liang 允许土壤侵蚀量
'zao'lin'bao'cun'lv 造林保存率
'zao'lin'mi'du 造林密度
'zao'lin'zheng'de 造林整地
'zha'chang 渣场
'zheng'chang'qin'shi 正常侵蚀
'zhi'bei'fu'gai'lv 植被覆盖率
'zhong'ji'qin'shi'ji'mian 终极侵蚀基面
'zhong'li'qin'shi 重力侵蚀
'zhu'jie'hao 竹节壕
