'ai'ai'duan'hang'yan 哀哀断行雁
'ceng'you'ying'hao'neng'gong'ci 曾有英豪能共此
'ceng'zhi'dong'feng'ye'luan'jia 曾值东风谒鸾驾
'cha'gan'fan'ruan 茶甘饭软
'cha'ji'bian'li'jin'hu'chi 插棘编篱谨护持
'cha'ji'ye'ye'qian'niu'hua 插髻烨烨牵牛花
'chai'bu'tian'wu'zi'feng'tu 拆补天吴紫凤图
'chai'lang'yi'zhao'kong 豺狼一朝空
'chai'men'xiang'dui'bu'shang'che 柴门相对不上车
'chai'tou'feng'hong'su'shou 钗头凤红酥手
'chan'fang'shi'tuo'su 禅房时托宿
'chan'que'jun'shan'xiang'shui'ping 刬却君山湘水平
'chan'tui'yan'jian'guo'shi'wu 蝉蜕岩间果是无
'chan'yu'he'ru'pu'tao'gong 单于合入蒲萄宫
'chang'an'bu'dao'shi'si'zai 长安不到十四载
'chang'an'dao 长安道
'chang'an'diao'chan'duo 长安貂蝉多
'chang'an'luo'ye'fen'ke'sao 长安落叶纷可扫
'chang'chang'zi'tan'yu'chou'yi 伥伥自叹欲畴依
'chang'di'xing'jin'gu'he'pen 长堤行尽古河濆
'chang'ge'zhu'hu'qi'lian'bei 长戈逐虎祁连北
'chang'jiang'cong'shu'lai 长江从蜀来
'chang'kong'mai'shan'qiu 常恐埋山丘
'chang'kong'xian'gou'ma 常恐先狗马
'chang'kong'ye'han'hua'suo'mo 常恐夜寒花索寞
'chang'men'yuan 长门怨
'chang'nian'shu'ke'nian 长年殊可念
'chang'shi'nian'ci'qi'sheng'ying 常时念此气生瘿
'chang'shi'ping'feng'xie'wu'yi 常使屏风写无逸
'chang'sui'a'mu'gong'sang'ma 常随阿母供桑麻
'chang'wang'qin'ji'yun 怅望秦稽云
'chang'xiang'cong'jun'shi 常想从军时
'chang'xiang'si'mian'cang'ran 长相思面苍然
'chang'xiang'si'yun'qian'zhong 长相思云千重
'chang'yi'bei'chen'xiang'xian'chou 长揖北辰相献酬
'chang'yu'wu'hua'xin 长与物华新
'chao'can'ou'guo'mai'yu'shi 朝餐偶过卖鱼市
'chao'fan'chang'mu'pu 朝饭长木舖
'che'sheng'ma'sheng'xuan'ke'zhen 车声马声喧客枕
'chen'an'jiu'diao'qiu 尘暗旧貂裘
'chen'chui'gong'jia'mi 晨炊躬稼米
'chen'tou'an'cheng'bei 尘头暗城北
'chen'tu'fei'gan'sheng'ke're 尘土肺肝生客热
'chen'you'geng'geng'yu'wang'sheng 沉忧耿耿欲忘生
'chen'zi'yi'gan'wang'ju'dao 臣子义敢忘巨盗
'cheng'bai'he'zu'lun 成败何足论
'cheng'feng'xiang'wu'cong'tian'xia 乘风翔舞从天下
'cheng'gong'yi'xie'hou 成功亦邂逅
'cheng'nan'du'wu'shao'bu'ji 城南杜五少不羁
'cheng'nan'sao'shou'li'shuai'weng 城南搔首立衰翁
'cheng'nan'xiao'mo'you'feng'chun 城南小陌又逢春
'cheng'shang'xie'yang'hua'jiao'ai 城上斜阳画角哀
'cheng'xiang'ci'qian'chun'ri'mu 丞相祠前春日暮
'cheng'zhong'fan'xiong'qian'wan'hu 城中繁雄千万户
'cheng'zhong'fei'ge'lian'wei'ting 城中飞阁连危亭
'cheng'zhong'yao'shu'lian'ru'xia 城中妖姝脸如霞
'cheng'zui'xia'san'ba 乘醉下三巴
'chi'bian'hong'liao'liang'san'zhi 池边红蓼两三枝
'chi'cun'wei'shi'chan'yi'zhong 尺寸未施谗已众
'chi'fa'diao'ling'sui'yue'chi 齿发凋零岁月驰
'chi'fu'shou'qi'nu 耻复守妻孥
'chi'huo'liao'hu'tu 炽火燎狐兔
'chi'huo'tou'tong'bu'zi'zhi 齿豁头童不自知
'chi'jiu'dong'lin'he'sheng'zi 持酒东邻贺生子
'chi'qi'yu'you'bing 驰骑谕幽并
'chi'ri'xing'tian'wu'bu'zhi 赤日行天午不知
'chi'shou'qi'jing'bu'shi'kong 赤手骑鲸不施鞚
'chi'shou'ye'hu'mao'san'san 赤手曳虎毛毵毵
'chi'xian'shen'zhou'man'rong'di 赤县神州满戎狄
'chi'xiang'dong'jun'geng'qi'lian 耻向东君更乞怜
'chi'yi'ye'zou'jie 驰驿夜奏捷
'chi'yi'yu'seng'yi'bu'xi 持以与僧亦不惜
'chi'yu'bo'bo'sui'gou'chu 池鱼鱍鱍随沟出
'chi'zha'yin'wu'qi'tun'lu 叱吒喑呜气吞虏
'chong'chong'hong'shu'qiu'shan'wan 重重红树秋山晚
'chong'de'xiang'jing'zhai'lv'kui 舂得香粳摘绿葵
'chong'he'tang'zhong'he'qi'xi 冲和堂中和气袭
'chong'sheng'zeng'hao'meng 虫声憎好梦
'chong'yang 重阳
'chong'yu'chong'feng'bu'pa'han 冲雨冲风不怕寒
'chou'bin'dian'xin'shuang 愁鬓点新霜
'chou'di'qu'tang'guan'shang'cao 愁抵瞿塘关上草
'chou'wo'xing'hai'zui 愁卧醒还醉
'chu'bao'bian'feng'zhao'shi'tou 初报边烽照石头
'chu'cheng 楚城
'chu'cheng'xi'feng'jin 出城西风劲
'chu'chu'wen'yu'chang 处处闻渔唱
'chu'chu'xuan'chuang'lin'jin'ping 处处轩窗临锦屏
'chu'jian'chuang'qian'san'si'hua 初见窗前三四花
'chu'jiang'lin'lin'lv'ru'niang 楚江鳞鳞绿如酿
'chu'men'sao'shou'chuang'ping'sheng 出门搔首怆平生
'chu'ren'gu'duo'chan 楚人固多孱
'chu'rong'jiu'zhan'qin 初容酒醆亲
'chu'ru'bian'hua'bu'ke'ce 出入变化不可测
'chu'sai'qu 出塞曲
'chu'shi'yi'biao'qian'zai'wu 出师一表千载无
'chu'shi'yi'biao'tong'jin'gu 出师一表通今古
'chu'shi'yi'biao'zhen'ming'shi 出师一表真名世
'chu'sui'san'hu'neng'wang'qin 楚虽三户能亡秦
'chu'yi'yun'xia'xing 初疑云罅星
'chu'zhong'ju'pan'can 厨中具盘餐
'chuan'feng'zhi'zhao'dong'luo'gu 传烽直照东骆谷
'chuan'jiong'feng'lie'mian 川迥风裂面
'chuan'qian'huan'cheng'xiao'lu'chan 穿堑环城笑虏孱
'chuan'shi'bu'xian'wei'yu'shi 穿市不嫌微雨湿
'chuan'wen'lin'liao'qian'li'yuan 传闻霖潦千里远
'chuan'xi'zu'ding'he'nan'bei 传檄足定河南北
'chuang'fei'ze'xu'ming 窗扉则虚名
'chuang'hun'dun'jian'chou'shu'ke 窗昏顿减雠书课
'chui'chuang'da'jiao'kuang'duo'ze 槌床大叫狂堕帻
'chui'di'yu'long'jin'chu 吹笛鱼龙尽出
'chui'jia'mu'gui'ye'zhang 吹笳暮归野帐
'chun'feng'shi'song'xiao'shao'sheng 春风时送箫韶声
'chun'feng'you'zuo'wu'qing'ji 春风又作无情计
'chun'pan'chun'jiu'nian'nian'hao 春盘春酒年年好
'chun'ru'jiu 春如旧
'chun'shen'nong'jia'geng'wei'zu 春深农家耕未足
'chun'wan'lian'jiang'feng'yu 春晚连江风雨
'chun'ye'du'shu'gan'huai 春夜读书感怀
'chun'yi'reng'ku'pin 鹑衣仍苦贫
'ci'di'hua'jiu'qu 次第画九衢
'ci'lao'zhi'jin'yuan'bu'si 此老至今元不死
'ci'le'ning'fu'you 此乐宁复有
'ci'shen'chang'jian'pin 此身常贱贫
'ci'shen'he'shi'shi'ren'wei 此身合是诗人未
'ci'shen'xing'zuo'ji'shan'tu 此身行作稽山土
'ci'sheng'shui'liao 此生谁料
'ci'sheng'zai'jian'ying'wu'qi 此生再见应无期
'ci'shi'qu'jin'xiong'zhong'chou 此时驱尽胸中愁
'ci'shi'tang'bu'zuo 此诗倘不作
'ci'shui'xin'yang'man'man'ping 刺水新秧漫漫平
'ci'xin'zhi'wo'qi'fei'tian 此心知我岂非天
'ci'xing'you'zai 此兴悠哉
'ci'yan'guo'bu'xu 此言果不虚
'ci'yi'kong'bu'sui 此意恐不遂
'ci'ze'wu'cao'wei'yi'tao 此责吾曹未易逃
'ci'zei'he'neng'xue'zhong'guo 此贼何能穴中国
'ci'zhi'jing'cuo'tuo 此志竟蹉跎
'cong'jiao'da'shi'bai'tian'gong 从教打湿败天公
'cong'jiao'su'yan'zeng'shu'fang 从教俗眼憎疏放
'cong'jin'ruo'xu'xian'cheng'yue 从今若许闲乘月
'cong'jun'xi'shu'nan'shan'bian 从军昔戍南山边
'cong'lai'suo'shi'du'jun'wang 从来所恃独君王
'cong'qi'san'shi'jie'qin'ren 从骑三十皆秦人
'cong'ren'wu'yi'xin 从人无一欣
'cu'sui'zhen'tong'xia'ban'lun 徂岁真同下阪轮
'cu'ta'shan'lin'fa'hu'tu 蹴踏山林伐狐兔
'cu'zeng'da'bu'yi'yu'dong 粗缯大布以御冬
'cui'cheng'qing'lei 催成清泪
'cui'hua'dong'xun'wu'shi'nian 翠华东巡五十年
'cui'huan'chu'ren'liao'hu'tu 催唤厨人燎狐兔
'cui'wei'duo'jie'ju 崔嵬多杰句
'cun'di'chi'tian'jie'ku'bing 寸地尺天皆苦兵
'cun'nan'cun'bei'bo'gu'sheng 村南村北鹁鸪声
'cun'wang'zhong'zai'ren 存亡终在人
'cun'xu'dong'nei'chou 村墟冻馁稠
'cun'yu'an'heng'men 村雨暗衡门
'cuo'tuo'bin'yi'qiu 蹉跎鬓已秋
'da'chuang'feng'yu'zheng'san'geng 打窗风雨正三更
'da'feng'zheng'bei'qi 大风正北起
'da'guan'hou'jian'che'ji'gu 达官侯见车击毂
'da'hu'ba'zhi'si'ye'zhan 大呼拔帜思野战
'da'hu'wen'bai'bu 大呼闻百步
'da'hu'yong'ma'lie 大呼拥马鬣
'da'peng'que'yao'ding'han'niu 大烹却要鼎函牛
'da'piao'man'zhu'sui'suo'qiu 大瓢满贮随所求
'da'qiu'zhu'chang'yi'qian'bu 打球筑场一千步
'da'san'chen'cang'jian 大散陈仓间
'da'san'guan'tou'you'yi'qiu 大散关头又一秋
'da'shi'de'ju'lun 大事得具论
'da'shi'gong'zhi'sheng'shi'zhui 达士共知生是赘
'da'shua'wei'qiao'chi 大刷渭桥耻
'da'xiao'ge'san'gui 大笑各散归
'da'xue'sai'kong'mi'yuan'jin 大雪塞空迷远近
'da'yi'du'shu'sheng 答以读书声
'dai'chui'ba'huang'liang'xu'qian'shen 待炊罢黄粱徐欠伸
'dai'de'lin'ya'jie'chi'hai 待得林鸦接翅还
'dan'bei'bin'se'cheng'ku'cao 但悲鬓色成枯草
'dan'dan'bei'shan'hu 耽耽北山虎
'dan'hen'shi'bu'jin 但恨诗不进
'dan'jian'dong'di'yin'shan'lai 但见动地银山来
'dan'kong'wei'wu'ji 箪空畏午饥
'dan'ling'yi'nian'yu'tian'tong 但令一念与天通
'dan'xin'shang'shui'ming 丹心尚谁明
'dan'xin'zi'xiao'yi'ran'zai 丹心自笑依然在
'dan'you'si'wu'wen 但忧死无闻
'dan'yue'ye'chang'ti'du'yu 但月夜常啼杜宇
'dang'hu'ye'zhi'sheng'yi'ya 当户夜织声咿哑
'dang'nian'hui'cao'zhang'yang'fu 当年悔草长杨赋
'dang'nian'wan'li'mi'feng'hou 当年万里觅封侯
'dang'nian'ye'dian'ti'shi'chu 当年野店题诗处
'dang'ri'he'ceng'qing'fu'chun 当日何曾轻负春
'dang'shi'dian'wu'cheng'hua'zei 当时典午称猾贼
'dao'bang'qiang'fu'qu'he'zhi 道傍襁负去何之
'dao'chuan'huang'zhong'you'hu'cang 盗穿荒冢有狐藏
'dao'nie'ye'huang'jing 捣櫱夜潢经
'dao'ping'zhuo'jiu'xi'yu'bei 倒瓶浊酒洗余悲
'dao'xie'huang'jin'zhi 倒泻黄金卮
'de'jiu'you'neng'shuang'lian'hong 得酒犹能双脸红
'de'wei'ren'ci'ze 得位忍辞责
'deng'cheng 登城
'deng'cheng'kan'feng'huo 登城看烽火
'deng'gao'wang'xi'feng 登高望夕烽
'deng'jian'nan'xi'chuan'men'gan'huai 登剑南西川门感怀
'deng'ni'xian'tai 登拟岘台
'deng'qian'ci'tu'hu'dao'yan 灯前此图忽到眼
'deng'qian'lan'bi'ti'xian'qing 灯前揽笔涕先倾
'deng'qian'mu'li'sui'fei'xi 灯前目力虽非昔
'deng'shang'xin'ting 登赏心亭
'deng'ying'ban'gu'chou 灯影伴孤愁
'di'ang'fan'duan'cha 低昂泛断槎
'di'dian'duan'bian'zhen'ke'xu 墬典断编真可续
'di'jin'han'qin'qi'su'hao 地近函秦气俗豪
'di'li'shui'zhi'zhuang'shi'xin 笛里谁知壮士心
'di'lian'qin'yong'chuan'yuan'zhuang 地连秦雍川原壮
'di'lu'dou'jie'jian'tu'cha 地炉豆秸煎土茶
'di'shi'sui'ren'zuo'xu'mang 底事随人作许忙
'di'tou'kui'hu'chang 低头媿虎韔
'dian'bin'shuang'xin 点鬓霜新
'dian'di'lian'zao'mu 点滴连早暮
'dian'jiang'chun'cai'yao'gui'lai 点绛唇采药归来
'diao'yu'zhuo'yin'si 钓鱼斫银丝
'die'dang'bu'nai'wei'guan'fu 跌宕不耐微官缚
'die'lian'hua'li'xiao'yi'zuo 蝶恋花离小益作
'die'lian'hua'tong'ye'chen'piao'qiong'ye'yu 蝶恋花桐叶晨飘蛩夜语
'die'lian'hua'yu'miao'lan'ting'jin'gu'lu 蝶恋花禹庙兰亭今古路
'ding'jun'shan'qian'han'shi'lu 定军山前寒食路
'ding'zhi'bu'zuo'bai'tou'xin 定知不作白头新
'dong'bing'huang'he'kai'yu'zhang 东并黄河开玉帐
'dong'cheng'sheng'li'zu'zheng'xiong 东城盛丽足争雄
'dong'dou'shi'zhai'shen'ming'ao 东都实宅神明隩
'dong'du'er'tong'zuo'hu'yu 东都儿童作胡语
'dong'du'gong'que'yu'cuo'e 东都宫阙郁嵯峨
'dong'feng'e 东风恶
'dong'guan 东关
'dong'hu'xin'zhu 东湖新竹
'dong'nuan 冬暖
'dong'qian'nan'mo'wu'qiong'le 东阡南陌无穷乐
'dong'ting'chun'se'zhuang'sui'wen'zhang 洞庭春色壮岁文章
'dong'yan'o'qing'shi 冻研哦清诗
'dong'ye'du'shu'shi'zi'yu 冬夜读书示子聿
'dong'ye'wen'yan'you'gan 冬夜闻雁有感
'dong'yi'zai'gong'shuang'mao'ying 东夷再贡霜毛鹰
'dong'zheng'da'gu'gua'gao'fan 东征打鼓挂高帆
'dou'jiu'gao'ge'zi'xiao'kuang 斗酒高歌自笑狂
'dou'jiu'qing'yi'qi 斗酒倾意气
'du'du'shi 读杜诗
'du'gong'si'shi'bu'cheng'ming 杜公四十不成名
'du'li'du'shi 读李杜诗
'du'li'zhao'pen'chi 独立照盆池
'du'shi 读史
'du'shu'ben'yi'zai'yuan'yuan 读书本意在元元
'du'shu'er'shou'xuan'yi'shou 读书二首选一首
'du'shu'li'jian'gu'ren'mian 读书历见古人面
'du'tao'shi 读陶诗
'du'ting'huang'ji'lei'man'yi 独听荒鸡泪满衣
'du'wang'he'fang'dao'mai'du 独往何妨刀买犊
'du'xue'wu'yu'lun 独学无与论
'du'xun'mao'dian'gu'xin'niang 独寻茅店沽新酿
'du'yan'luo'jin'lei'ru'xi 独掩罗巾泪如洗
'du'yi'xuan'zhi'lv'jue'bian 读易悬知屡绝编
'du'yue'qin'han'kui'yu'tang 度越秦汉窥虞唐
'du'zi'xi'suo'guan 杜子昔所馆
'duan'bei'ling'luo'tai'ju'bian 断碑零落苔俱遍
'duan'fa'bu'jin'sao 短发不禁搔
'duan'ju'jian'jue'cong'ren'lan 端居渐觉从人嬾
'duan'shan'yu'yu'zi'sheng'yan 断山欲雨自生烟
'duan'ting'hu'zhong'xian'cai'chun 短艇湖中闲采莼
'duan'xi'shi'chi'nong'zuo'mo 端溪石池浓作墨
'duan'yun'bei'shan'lai 断云北山来
'dui'ci'bu'neng'yan 对此不能咽
'dui'hu'man'chuang'qun'cong'ji 堆笏满床群从集
'dui'hua'ba'jiu'xue'yun'jie 对花把酒学酝藉
'dui'jiu 对酒
'dui'jiu'tan 对酒叹
'dui'shi'you'san'kui 对食有三喟
'duo'cheng'ye'ta'huang'he'bing 夺城夜蹋黄河冰
'duo'jin'wei'ji 躲尽危机
'duo'qing'shui'si'nan'shan'yue 多情谁似南山月
'duo'xi'heng'shuo'fu 多昔横槊赋
'e'qiong'duan'you'zi 厄穷端有自
'er'diao'kong'zi'guang'tou'lu 珥貂空自逛头颅
'er'lai'cong'jun'tian'han'bin 尔来从军天汉滨
'er'lai'shi'wu'nian 尔来十五年
'er'nv'he'zu'gu 儿女何足顾
'er'shi'bao'ci'zhi 二十抱此志
'er'shi'si'nian'neng'ji'xu 二十四年能几许
'er'tong'dong'xue'nao'bi'lin 儿童冬学闹比邻
'er'tong'sui'xiao'fang'weng'kuang 儿童随笑放翁狂
'er'wei'long 耳未聋
'er'yue'shi'yan'shang 二月侍燕觞
'er'yue'ying'hua'man'lang'zhong 二月莺花满阆中
'fa'mao'xiao'sa'ji'chu'ping 发毛萧飒疾初平
'fan'gong'yi'yi'bao'zeng'sun 烦公一一报曾孙
