'ba'zi 八字
'ji'hai 己亥
'ji'mao 己卯
'ji'si 己巳
'ji'wei 己未
'ji'you 己酉
'jia'chen 甲辰
'jia'se'ge 稼穑格
'jia'shang'guan 假伤官
'jia'shen 甲申
'jia'wu 甲午
'jia'xu 甲戌
'jia'yin 甲寅
'jia'zi 甲子
'jian'feng'jin 剑锋金
'jian'zhen'xing 荐枕星
'jin'bai'shui'qing 金白水清
'jin'bo'jin 金箔金
'jin'kong 金空
'jin'mu'jian'ge 金木间隔
'jin'shen'ge 金神格
'jing'lan'cha'ge 井栏叉格
'kong'wang 空亡
'ku'lu 库禄
'liang'gan'bu'za 两干不杂
'liang'shen'cheng'xiang 两神成象
'liu'jia'qu'qian 六甲趋乾
'liu'ren'qu'gen 六壬趋艮
'liu'yi'shu'gui 六乙鼠贵
'liu'yin'zhao'yang 六阴朝阳
'long'yin'hu'xiao 龙吟虎啸
'lu'ma'tong'xiang 禄马同乡
'lu'pang'tu 路旁土
'lu'tou'cai 禄头财
'lu'zhong'huo 炉中火
'luo'xing'tao'hua 裸形桃花
'ma'ben'cai'xiang 马奔财乡
'ma'tou'dai'jian 马头带剑
'mo'chi'yong'quan 墨池涌泉
'mu'huo'jiao'hui 木火交辉
'mu'kong 木空
'nian'shang'bi'jie 年上比劫
'nian'shang'pian'cai 年上偏财
'nian'shang'pian'guan 年上偏官
'nian'shang'pian'yin 年上偏印
'nian'shang'qi'sha 年上七煞
'nian'shang'shang'guan 年上伤官
'nian'shang'shi'shen 年上食神
'nian'shang'zheng'cai 年上正财
'nian'shang'zheng'guan 年上正官
'nian'shang'zheng'yin 年上正印
'pi'lei'huo 霹雷火
'pian'cai 偏财
'pian'guan 偏官
'pian'yin'duo'shi 偏印夺食
'ping'di'mu 平地木
'po'lu 破禄
'qi'ming'cong'sha 弃命从杀
'qiang'nei'tao'hua 墙内桃花
'qiang'wai'tao'hua 墙外桃花
'qing'guo'qing'cheng 倾国倾城
'qu'zhi'ge 曲直格
'quan'zhong'shui 泉中水
'ren'chen 壬辰
'ren'qi'long'bei 壬骑龙背
'ren'shen 壬申
'ren'wu 壬午
'ren'xu 壬戌
'ren'yin 壬寅
'ren'zi 壬子
'ri'cang'pian'cai 日藏偏财
'ri'dai'bi'jie 日带比劫
'ri'dai'shang'guan 日带伤官
'ri'dai'shi'shen 日带食神
'ri'dai'zheng'cai 日带正财
'ri'dai'zheng'guan 日带正官
'ri'dai'zheng'yin 日带正印
'ri'de'ge 日德格
'ri'fan'sui'jun 日犯岁君
'ri'gui'ge 日贵格
'ri'lu'gui'shi 日禄归时
'ri'ren'ge 日刃格
'ri'shang'pian'yin 日上偏印
'ri'yuan'bing'ding'huo 日元丙丁火
'ri'yuan'geng'xin'jin 日元庚辛金
'ri'yuan'jia'yi'mu 日元甲乙木
'ri'yuan'ren'gui'shui 日元壬癸水
'ri'yuan'wu'ji'tu 日元戊己土
'ri'zhu'tao'hua 日主桃花
'ri'zuo'du'sha 日坐独煞
'ri'zuo'shang'guan 日坐伤官
'run'xia'ge 润下格
'sang'men 丧门
'sang'song'mu 桑松木
'sha'zhong'jin 沙中金
'sha'zhong'tu 沙中土
'shan'tou'huo 山头火
'shan'xia'huo 山下火
'shang'guan 伤官
'shang'guan'jian'guan 伤官见官
'shang'guan'pei'yin 伤官佩印
'shang'guan'ru'mu 伤官入墓
'shang'guan'shang'jin 伤官伤尽
'shang'guan'tao'hua 伤官桃花
'shang'guan'yong'cai 伤官用财
'shang'shi'xie'xiu 伤食泄秀
'shen'sha'er'ting 身杀二停
'shi'dai'bi'jie 时带比劫
'shi'dai'pian'yin 时带偏印
'shi'dai'shang'guan 时带伤官
'shi'dai'shi'shen 时带食神
'shi'dai'zheng'guan 时带正官
'shi'dai'zheng'yin 时带正印
'shi'er'di'zhi 十二地支
'shi'er'zhu'xing'su 十二主星宿
'shi'liu'mu 石榴木
'shi'sha'gui'ku 时煞归库
'shi'shang 食伤
'shi'shang'pian'cai 时上偏财
'shi'shang'qi'sha 时上七煞
'shi'shang'tu'xiu 食伤吐秀
'shi'shang'zheng'cai 时上正财
'shi'shen 食神
'shi'shen 十神
'shi'shen'dai'he 食神带合
'shi'shen'dai'lu 食神带禄
'shi'shen'wang'bian 食神旺变
'shi'shen'zhi'sha 食神制杀
'shi'tian'gan 十天干
'shui'kong 水空
'si'mu'ku 四墓库
'si'sheng'fang 四生方
'si'wei'chun'quan 四位纯全
'si'zheng'fang 四正方
'si'zhu 四柱
'song'bai'mu 松柏木
'sui'dai'zheng'ma 岁带正马
'sui'de'zheng'guan 岁德正官
'sui'yun'bing'lin 岁运并临
'tai'sui 太岁
'tai'yang 太阳
'tai'yin 太阴
'tan'cai'huai'yin 贪财坏印
'tan'he'wang'guan 贪合忘官
'tao'hua 桃花
'tao'hua'dai'ren 桃花带刃
'tao'hua'jie 桃花劫
'tao'hua'sha 桃花煞
'ti'gang'ke'nian 提纲克年
'tian'de 天德
'tian'di'de'he 天地德合
'tian'gan 天干
'tian'gan'lian'zhu 天干连珠
'tian'gan'shun'shi 天干顺食
'tian'gou 天狗
'tian'he'shui 天河水
'tian'shang'huo 天上火
'tian'xi 天喜
'tian'yuan'an'lu 天元暗禄
'tian'yuan'yi'qi 天元一气
'tian'yuan'zuo'cai 天元坐财
'tian'yuan'zuo'lu 天元坐禄
'tian'yuan'zuo'sha 天元坐煞
'tu'kong 土空
'wu'chen 戊辰
'wu'gui 五鬼
'wu'sha'zhan'hua 五煞詹花
'wu'shang'tu 屋上土
'wu'shen 戊申
'wu'wu 戊午
'wu'xu 戊戌
'wu'yin 戊寅
'wu'zi 戊子
'xiao'shen'duo'shi 枭神夺食
'xin'chou 辛丑
'xin'hai 辛亥
'xin'mao 辛卯
'xin'si 辛巳
'xin'wei 辛未
'xin'you 辛酉
'xing'he'ge 刑合格
'xuan'wu'dang'quan 玄武当权
'yan'shang'ge 炎上格
'yang'ji'zhu'she 羊击猪蛇
'yang'liu'mu 杨柳木
'yang'ren'jia'sha 羊刃驾杀
'yang'si'yin'sheng 阳死阴生
'yi'chou 乙丑
'yi'hai 乙亥
'yi'mao 乙卯
'yi'si 乙巳
'yi'wei 乙未
'yi'you 乙酉
'yin'mu'yao'shou 印墓夭寿
'yin'shou'hu'shen 印绶护身
'yin'xing 印星
'yong'shen 用神
'you'yi'you'ma 有驿有马
'yuan'yang'he 鸳鸯合
'yue'dai'pian'guan 月带偏官
'yue'dai'zheng'guan 月带正官
'yue'de 月德
'yue'shang'bi'jie 月上比劫
'yue'shang'pian'cai 月上偏财
'yue'shang'pian'yin 月上偏印
'yue'shang'shang'guan 月上伤官
'yue'shang'shi'shen 月上食神
'yue'shang'zheng'cai 月上正财
'yue'shang'zheng'yin 月上正印
'zhen'shang'guan 真伤官
'zheng'cai 正财
'zheng'guan 正官
'zheng'guan'wu'ji 正官五忌
'zhi'chen'yi'zi 支辰一字
'zhuan'lu'ge 专禄格
'zi'wei 紫微
'zi'wu'shuang'bao 子午双包
'zi'yao'si'ge 子遥巳格
'zi'yao'si'lu 子遥巳禄
