'ban'dian 斑点
'zhan'kai'ji 展开剂
'zhan'kai'shi 展开室
'zhe'guang'lv'jian'ce'qi 折光率检测器
'zhe'he'ban'gao 折合板高
'zheng'xiang'ye'xiang'se'pu'fa 正相液相色谱法
'zhi'bei'bao'ceng'se'pu'fa 制备薄层色谱法
'zhi'bei'ye'xiang'se'pu'fa 制备液相色谱法
'zhi'bei'ye'xiang'se'pu'yi 制备液相色谱仪
'zhi'se'pu'fa 纸色谱法
'zhong'wen 中文
'zhu'hou'fan'ying'qi 柱后反应器
'zhu'liu'shi 柱流失
'zhu'shang'fu'ji 柱上富集
'zhu'shang'jian'ce 柱上检测
'zhu'she'beng 注射泵
'zhu'shou'ming 柱寿命
'zhu'tian'chong'ji 柱填充剂
'zhu'wai'ti'ji 柱外体积
'zhu'wai'xiao'ying 柱外效应
'zhu'ye'xiang'se'pu'fa 柱液相色谱法
'zi'wai'ke'jian'guang'jian'ce'qi 紫外可见光检测器
'zong'ti'xing'neng'jian'ce'qi 总体性能检测器
'zu'he'zhu 组合柱
