'ai'cai'ci 爱菜词
'cuo'e'guai'shi'yi'yun'jian 嵯峨怪石倚云间
'da'dou'shui'bu'zhu'yan'liang 大都谁不逐炎凉
'da'jiao'mo'po'lang 大脚墨婆浪
'da'ming'men'wai'chao'tian'ke 大明门外朝天客
'da'ye'pian'ming'yu 大叶偏鸣雨
'dai'yue'kan'hua'bie'yang'zi 带月看花别样姿
'dan'sha'qi'shi'qian'nian'yao 丹砂岂是千年药
'dan'wu'weng'shan'yao 淡雾滃山腰
'dan'yuan'lao'si'hua'jiu'jian 但愿老死花酒间
'dan'yuan'ren'ren'zhi'ci'wei 但愿人人知此味
'dang'chu'yi'jian'hao'zhi'cheng 当初一见好至诚
'dao'di'zhong'xu'you'san'chang 到底终须有散场
'de'suo'tou'shi'qie'suo'tou 得缩头时且缩头
'de'yi'fan'feng'bian'ke'shou 得一帆风便可收
'de'yi'ri'xian'wu'liang'fu 得一日闲无量福
'deng'huo'huang'ji'xi'yu'zhong 灯火荒鸡细雨中
'deng'qian'fu'fu'yue'tong'yuan 灯前夫妇月同圆
'deng'shan 登山
'deng'shao'yue'xia'yue'ru'yin 灯烧月下月如银
'deng'wei'shan'bian'qi'bao'tan 邓尉山边七宝滩
'di'sheng'xie'gua'xi'yang'yan 笛声斜挂夕阳烟
'di'tou'zhao'jing'tuo'sha'jin 低头照井脱纱巾
'di'zhai'fang'yuan'ren'bu'zai 地宅方圆人不在
'dong'han'xia're'zui'tan'dang 冬寒夏热最叹当
'dong'ting'huang'ye'jian 洞庭黄叶间
'dou'ji'zou'gou'xi'yang'jie 斗鸡走狗夕阳街
'du'mu'qiao'bian'yi'shu'gen 独木桥边倚树根
'du'qu'li'hua'bei'shang'xue 杜曲梨花杯上雪
'du'wo'can'deng'lou'ye'chang 独卧残灯漏夜长
'du'you'mu'tong'niu'bei'yin 独有牧童牛背隐
'du'yu'sheng'bei 杜宇声悲
'du'yu'sheng'sheng 杜宇声声
'duan'yang'jing'du'chu'jiang'mei 端阳竟渡楚江湄
'dui'jiu'kong'si'yi'dian'hong 对酒空思一点红
'dui'yue'kan'hua'you'suo'si 对月看花有所思
'duo'qing'you'zuo'yi'fan'chou 多情又作一番愁
'duo'qing'yue'zhao'hua'jian'lu 多情月照花间露
'duo'shao'hua'qian'yue'xia'ke 多少花前月下客
'duo'shao'ming'ti'zhu'shu'jian 多少名题竹树间
'duo'shao'tian'ya'wei'gui'ke 多少天涯未归客
'er'sun'zhang'da'wo'nan'liu 儿孙长大我难留
'fang'xin'you'zhan'feng 芳心又展风
'fei'di'sheng'ge'sai'she'shen 沸地笙歌赛社神
'fen'die'huang'feng'ge'zi'chou 粉蝶黄蜂各自愁
'fen'fen'hua'shi'cheng'wu'lai 纷纷花事成无赖
'fen'fen'yu'li'hui'yuan'tui 粉粉雨里毁垣颓
'fen'ming'man'jin'wei'ping'li 分明蛮锦围屏里
'feng'dong'hua'zhi'tan'yue'ying 风动花枝探月影
'feng'lian'jin'fang'shi 讽炼金方士
'feng'ren'bian'shuo'hui'shao'yin 逢人便说会烧银
'feng'ru'wu'shan'zou'yu'xiao 凤入巫山奏玉箫
'feng'yu'jiang'dong'yue'run'san 风雨江东月润三
'fu'gui'rong'hua'mo'qiang'qiu 富贵荣华莫强求
'fu'qiong'yue'xia'xun'hua'bu 扶筇月下寻花步
'fu'sheng'ju'san'shi'fu'ping 浮生聚散是浮萍
'fu'shu'qi'lai'ren'bu'jie 拂曙起来人不解
'gan'huai 感怀
'gao'di'ru'hua'hao'xi'shan 高低如画好溪山
'gao'tai'ming'yue'zhao'hua'zhi 高台明月照花枝
'ge'ge'xing'ren'wen'jiu'jia 个个行人问酒家
'ge'hua'kui'yue'wu'duo'ying 隔花窥月无多影
'ge'li'shang'shi'jing'xin'wei 蛤蜊上市惊新味
'ge'zi'hui'tou'kan'hou'tou 各自回头看后头
'gong'an'san'sheng'bai'gu'chan 公案三生白骨禅
'gong'fei'ye'you'tu 宫妃夜游图
'gong'ming'rang'yu'ying'xiong'li 功名让与英雄立
'gu'duo'yan'tou'zhu'jiu'xiang 榾柮烟头煮酒香
'gu'ren'xing'chu'qing'tai'leng 古人行处青苔冷
'gu'ren'you'zhe'da'yi'zai 古人有这达矣哉
'gu'shi'kai'yuan'zhong'mu'dan 故事开元重牡丹
'gu'su'cheng'wai'yi'mao'wu 姑苏城外一茅屋
'gu'teng'yin'li'xiao'wang'sun 古藤阴里啸王孙
'gu'ting'jing'zi'you 孤亭景自幽
'gu'yu'hua'zhi'hao'shu'gu 谷雨花枝号鼠姑
'gu'yuan'san'jing'tu'you'cong 故园三径吐幽丛
'guan'da'qian'duo'xin'zhuan'you 官大钱多心转忧
'guan'wa'guan'suo'xi'shi'jing 馆娃官锁西施井
'guang'yin'ji 光阴急
'gui'lai'yi'li'dai'cang'yan 归来一笠带沧烟
'gui'yue'hua'chuan'ying'bei'ci 桂月花传郢北词
'hai'ren'ren'hai'ji'shi'xiu 害人人害几时休
'hai'tang'mei'ren'tu 海棠美人图
'hai'tang'ting'yuan'you'chun'shen 海棠庭院又春深
'han'liu'jin'you'he 寒溜浸幽壑
'han'ze'ru'dao're'ru'zhi 寒则如刀热如炙
'hao'hua'hao'yue'zhi'duo'shao 好花好月知多少
'hao'hua'nan'zhong'bu'chang'kai 好花难种不长开
'he'bi'ku'xin'song'gei'ren 何必苦心送给人
'he'shen'shi'tian'luo'hua'shi 和沈石田落花诗
'he'shi'gui'gu'li 何时归故里
'he'shi'jia'ren'zhong'gan'shang 何事佳人重感伤
'he'shi'jing'fei'ye'ban'kai 何事荆扉夜半开
'he'shi'tian'xian'sheng'luo'hua'shi'qi'shi'san 和石田先生落花诗其十三
'he'ta'xiao'yi'chang 和她笑一场
'he'xu'ku'ku'yong'ji'mou 何须苦苦用机谋
'he'xu'ri'ye'ku'ying'ying 何须日夜苦蝇营
'he'yi'di'xing'xian 何以地行仙
'hen'sha'mu'tong'bian'bu'qi 恨杀牧童鞭不起
'hong'man'tai'jie'lv'man'zhi 红满苔阶绿满枝
'hong'qiao'di'ying'lv'chi'xie 红桥低影绿池斜
'hong'shu'qing'shan'fei'bai'yun 红树青山飞白云
'hong'xing'shao'tou'gua'jiu'qi 红杏梢头挂酒旗
'hong'yan'guang'tui'san'sheng'gu 红颜光蜕三生骨
'hou'hui'nan'qi 后会难期
'hou'hui'nan'zhi 后会难知
'hu'jing'shuang'he'lei 忽惊双鹤泪
'hu'shang'shui'tian'ren'bu'yao 湖上水田人不要
'hu'ta'xiao'ting'guo'hu'qu 呼它小艇过湖去
'hu'wen'xian'zong'yi'zhao'zhi 忽闻仙踪一朝至
'hua'can'hai'you'yue'cui'shi 花残还有月催诗
'hua'fa'qian'zhi'yue'yi'lun 花发千枝月一轮
'hua'fa'yue'zhong'xiang'man'shu 花发月中香满树
'hua'hun'niang'jiu'tao'hua'jiu 花魂酿就桃花酒
'hua'ji 画鸡
'hua'ji'wan'zhi'fei'yi'dao 画楫万枝飞鹢道
'hua'luo'hua'kai'nian'fu'nian 花落花开年复年
'hua'mei'si'ren'lin'yue'jing 花美似人临月镜
'hua'qi'fen'fang'yue'zheng'rao 花气芬芳月正饶
'hua'qian'ren'shi'qu'nian'shen 花前人是去年身
'hua'qian'yue'bu'yan'ren'pin 花前月不厌人贫
'hua'qian'yue'xia'de'gao'ge 花前月下得高歌
'hua'qian'zhuo'jiu'chang'gao'ge 花前酌酒唱高歌
'hua'que'he'qing'yue'he'yi 花却何情月何意
'hua'shi'ying'dao'hua'nan'gong 画师应道画难工
'hua'xia'qing'chuan'nong'yue'xiao 花下轻传弄月箫
'hua'xia'xiao'hun 花下销魂
'hua'xia'zhuo'jiu'ge 花下酌酒歌
'hua'xiang'yue'se'liang'xiang'yi 花香月色两相宜
'hua'xiao'ren'sheng'ye'shi'dai 花笑人生也是呆
'hua'xiu'yue'se'ye'chen'chen 花羞月色夜沉沉
'hua'xue'fei'san'qing'xiao'li 花雪飞散青霄里
'hua'ying'yue'po'ruo'wei'rong 花迎月魄若为容
'hua'yue'xia'hao'ju'lian'yin 花月下好句联吟
'hua'yue'yin'xiao'lian'zhu'ti'shi'yi'shou'qi'ba 花月吟效连珠体十一首其八
'hua'yue'yin'xiao'lian'zhu'ti'shi'yi'shou'qi'er 花月吟效连珠体十一首其二
'hua'yue'yin'xiao'lian'zhu'ti'shi'yi'shou'qi'liu 花月吟效连珠体十一首其六
'hua'yue'yin'xiao'lian'zhu'ti'shi'yi'shou'qi'qi 花月吟效连珠体十一首其七
'hua'yue'yin'xiao'lian'zhu'ti'shi'yi'shou'qi'san 花月吟效连珠体十一首其三
'hua'yue'yin'xiao'lian'zhu'ti'shi'yi'shou'qi'shi 花月吟效连珠体十一首其十
'hua'yue'yin'xiao'lian'zhu'ti'shi'yi'shou'qi'shi'yi 花月吟效连珠体十一首其十一
'hua'yue'yin'xiao'lian'zhu'ti'shi'yi'shou'qi'si 花月吟效连珠体十一首其四
'hua'yue'yin'xiao'lian'zhu'ti'shi'yi'shou'qi'wu 花月吟效连珠体十一首其五
'hua'zhi'zao'yu'you'zao'feng 花枝遭雨又遭风
'hua'zhong'bu'zhi'ri'yue'duan 花中不知日月短
'hua'zhong'xing'le'yue'zhong'mian 花中行乐月中眠
'hua'zi'fang'fei'yue'zi'hua 花自芳菲月自华
'huan'lai'yi'bu'chi 欢来意不持
'huang'cun'feng'yu'za'ji'ming 荒村风雨杂鸡鸣
'huang'hua'wu'zhu'wei'shui'rong 黄花无主为谁容
'huang'jin'bai'wan'shui'xi'dong 黄金百万水西东
'huang'tian'lao'zao'an'pai'ding 皇天老早安排定
'huang'ye'guan'he'yan'ying'lai 黄叶关河雁影来
'huang'ye'ling'long'ying'luo'hui 黄叶玲珑映落晖
'hui'jiao'jie'gu'che'ming'cui 悔教羯鼓彻明催
'huo'wei'yue'zhu'wei'hua'zhu 或为月主为花主
'huo'yi'xi'an'huo'yi'dong 或移西岸或移东
'ji'hui'que'yue'hai'yuan'yue 几回缺月还圆月
'ji'ju'hua'zhong'chang 几句话衷肠
'ji'lai'chi'fan'juan'lai'mian 饥来吃饭倦来眠
'ji'quan'ren'jia'zi'yi'cun 鸡犬人家自一村
'ji'xu'gu'jiu'jiao'qing'dong 急须沽酒浇清冻
'ji'xu'man'ba'jin'zun'dao 急需满把金樽倒
'ji'zhi'ci'wei'yi'ye'jing 技知此味艺业精
'jia'ren'chun'shui'yi'han'zhang 佳人春睡倚含章
'jia'ren'dui'yue'tu 佳人对月图
'jia'ren'jian'yu'fa'jiao'chen 佳人见语发娇嗔
'jia'ren'ming'zi'hao'jing'lian 佳人名字号经莲
'jia'ren'xiao'qi'chu'lan'fang 佳人晓起出兰房
'jiang'hua'rou'sui'zhi'lang'qian 将花揉碎掷郎前
'jiang'nan'shan'guo'zhao'hui'jing 江南山郭朝晖静
'jiang'nan'xing 江南行
'jiang'shang'you'lu'yu 江上有鲈鱼
'jiao'huan'wei'jiu'you'fen'li 交欢未久又分离
'jiao'zhan'ri'yue'wu'chang'ce 胶粘日月无长策
'jiao'zhe'xiao'ming'er'di'sheng'ying 叫着小名儿低声应
'jie'xu'tui'yi'bi'tan'zhi 节序推移比弹指
'jie'yu'hua'yao'yue'xia'feng 解语花摇月下风
'jin'ba'jin'qian'mai'zhi'fen 尽把金钱买脂粉
'jin'jie'li'luo'kan'qiu'feng 尽借篱落看秋风
'jin'ren'you'ge'li'bai'shi 今人犹歌李白诗
'jin'ri'hua'kai'you'yi'zhi 今日花开又一枝
'jin'ri'ming'nian'shui'de'zhi 今日明年谁得知
'jin'ri'shu'sheng'gan'wang'shui 今日书生敢望谁
'jin'sheng'da'guan'you'li'hai 尽胜达官忧利害
'jin'ye'yue'yuan'hua'hao'chu 今夜月圆花好处
'jin'zhao'fen'die'guo'lin'jia 今朝粉蝶过邻家
'jin'zhao'hua'luo'cheng'qiu'cao 今朝花落成秋草
'jin'zhen'yu'zhi'nong'chun'si 金针玉指弄春丝
'jing'kan'bai'fa'yi'ru'chen 惊看白发已如尘
'jing'li'xing'hai'chun'gong'lao 镜里形骸春共老
'jing'qin'cu'luo'teng'hua 惊禽蹴落藤花
'jing'shi 警世
'jiu'dui'tu'mi'you'jin'you 酒对荼蘼有近忧
'jiu'qi'shou'ma'xing'ren'lu 酒旗瘦马行人路
'jiu'shi'chun'guang'yi'zhi'suo 九十春光一掷梭
'jiu'shi'zhao'guang'suo'tuo'shou 九十诏光梭脱手
'jiu'tian'xian'nv'xia'fan'chen 九天仙女下凡尘
'jiu'xing'zhi'zai'hua'qian'zuo 酒醒只在花前坐
'jiu'yang'fang'cao'di'you'you 久阳芳草笛悠悠
'jiu'zhan'hua'zhi'pin'zhe'yuan 酒盏花枝贫者缘
'jiu'zui'hai'lai'hua'xia'mian 酒醉还来花下眠
'ju'bi'zhe'wen'zhang 巨笔着文章
'ju'hua 菊花
'ju'tou'hong'ri'bai'yun'qi 举头红日白云起
'juan'sheng'chu'feng'shu 鹃声出枫树
'jun'he'bu'shao'zi'jia'yong 君何不烧自家用
'jun'shi'hua'xiang'jie'you'yuan 君识花香皆有缘
'kai'yuan'ren'zhu'zui'xiang'zhi 开元人主最相知
'kan'hua'pin'zhu'fen'fen'die 看花拼逐纷纷蝶
'kan'hua'qi'zao'yue'fang'xie 看花起早月方斜
'ke'fa'zi'zhong'liu 客发自中流
'ke'lian'die'fen'yu'feng'kuang 可怜蝶粉与蜂狂
'ke'xi'rong'yan'yong'bie'li 可惜容颜永别离
'ke'you'xiang'tong'yan'se'wu 可有相同颜色无
'ken'chang'li'ge'song'chun'qu 肯唱骊歌送春去
'ken'xian'dou'li'nang'qian'shao 肯嫌斗栗囊钱少
'ken'zhu'zhu'men'nai'dai'liu 肯逐朱门褦襶流
'kong'shan'ji'mo'ren'sheng'jue 空山寂寞人声绝
'kong'shan'jue'ren'ji 空山绝人迹
'kong'you'li'yu'lin'jia'bian 恐有鲤鱼鳞甲变
'kuang'chuang'zi'fu'mian'qing'zhou 匡床自拂眠清昼
'kuang'feng'zhou'yu'an'jiang'qian 狂风骤雨暗江千
'kuang'qie'tan'feng'mei'jing'he 况且叹逢美景何
'lai'de'quan'sheng'yin'gui'lu 赖得泉声引归路
'lai'jue'shu'ying'zuo'ri'qi 来决输赢昨日棋
'lai'wu'jin 来无尽
'lan'kai'zhuan'wo'ping'tian'lao 烂开赚我平添老
'lang'dao'bu'ru'hua'yao'tiao 郎道不如花窈窕
'lang'hu'zhong'jian'du'dao'jing 狼虎中间读道经
'lao'fu'chao'chu'kui'lao'qi 轑釜朝厨愧老妻
'lao'hou'si'liang'ying'bu'hui 老后思量应不悔
'le'ji'ci'nan'chen 乐极词难陈
'lei'hen'zi'jiu'qing'zhen'shi 泪痕渍酒清袗湿
'leng'luo'shu'li'qu'jing'zhong 冷落疏篱曲径中
'li'bai'cai'ming'tian'xia'qi 李白才名天下奇
'li'bai'neng'shi'fu'neng'jiu 李白能诗复能酒
'li'bai'qian'shi'yuan'you'yue 李白前时原有月
'li'bai'ru'jin'yi'xian'qu 李白如今已仙去
'li'bai'tu 李白图
'li'hua'feng'jing'niao'qi'zhi 梨花风静鸟栖枝
'li'hua'mu'yu'meng'hun'xiao 梨花暮雨梦魂销
'li'hua'shen'yuan'zi'duo'feng 梨花深院自多风
'li'ma'bian'shan'kan'yan'fei 立马边山看雁飞
'li'ma'xian'ting'di'yi'sheng 立马先听第一声
'li'zhui'mo'xiao'wu'yu'di 立锥莫笑无余地
'lian'bu'cheng'ci'nao'cha'ren 炼不成词恼剎人
'lian'bu'shang'jing'hua 联步上京华
'liang'feng'qing'bu'ye'tang'bian 凉风轻步野塘边
'liao'cheng'quan'sheng'se 潦凈泉声涩
'liao'de'nan'chuang'xia 料得南窗下
'liao'ying'yue'bu'xian'wo'chou 料应月不嫌我丑
'lin'bie'qian'ku'ding'ning 临别前苦叮宁
'lin'dong'xie'que'kan'hua'ban 邻东谢却看花伴
'lin'jie'si'shu'zhi'qian'pian 临阶思数脂千片
'lin'weng'pei'zuo'zi'lao'xia 邻翁陪坐自捞虾
'lin'weng'qie'he'cheng'qing'zao 邻翁挈盒乘清早
'lin'zhong'shi 临终诗
'ling'jie'huang'du'di'yi'ming 领解皇都第一名
'liu'dai'qin'ling'mai'guo'yuan 六代寝陵埋国媛
'liu'shui'shi 流水诗
'long'men'san'yue'yao'fei'teng 龙门三月要蜚腾
'lou'chu'jia'ren'fen'mian'lai 露出佳人粉面来
'lou'ke'yi'sui'xiang'zhuan'le 漏刻已随香篆了
'lu'chang'seng'si'xian'mei'kai 鹿场僧寺鲜莓开
'lu'shen'shu'mi'mi'jia 路深树密迷家
'lu'wei'xiao'xiao'ye'zhu'qiu 芦苇萧萧野渚秋
'luo'de'zi'jia'tou'bai'zao 落得自家头白早
'luo'hua'tu'yong 落花图咏
'luo'ri'shan'yu'bi 落日山逾碧
'luo'shui'shui'chuan'fu'li'shen 洛水谁传赋里神
'lv'chi'heng'jin'hong'qiao'ying 绿池横浸红桥影
'lv'chuang'han'wu'jing'yin'yin 绿窗含雾静愔愔
'lv'shu'han'chun'yu 绿树含春雨
'lv'yang'zhi'shang'zhuan'huang'li 绿杨枝上转黄鹂
'lv'yin'qing'hua'bai'yuan'ti 绿阴清画白猿啼
'ma'yi'ou'cheng'jian'wei'sao 麻已沤成茧未缫
'man'jie'zhu'cui'you'cun'nv 满街珠翠游村女
'man'lao'hai'nei'chuan'ming'zi 漫劳海内传名字
'man'shen'xue'bai'zou'jiang'lai 满身雪白走将来
'man'suo'feng'yu'du'gui'zhou 满蓑风雨独归舟
'man'wu'tao'hua'yi'zui'ren 满坞桃花一醉人
'man'xing'shi'shou'qi'si 漫兴十首其四
'mei'hua'yue'luo'jiang'nan'meng 梅花月落江南梦
'mei'jing'liang'chen'tang'zao'yu 美景良辰淌遭遇
'mei'jiu'xiao'chou'chou'bu'jian 美酒消愁愁不见
'mei'ren'dui'yue 美人对月
'mei'ren'jiao'tu 美人蕉图
'mei'zi'zhui'hua'jiao'yun'sun 梅子坠花茭孕笋
'men'qian'xi'shui'lv'lin'lin 门前溪水绿粼粼
'mian'dui'fei'hua'pa'yi'lou 面对飞花怕倚楼
'ming'bu'xian'shi'xin'bu'xiu 名不显时心不朽
'ming'nian'gou'guan'shi'he'ren 明年勾管是何人
'ming'nian'jin'ri'hua'kai'fou 明年今日花开否
'ming'ri'he'qiao'zhong'hui'shou 明日河桥重回首
'ming'ri'lai'kan'zhi'shi'shui 明日来看知是谁
'ming'wan'zi'lai'chi 茗碗自赉持
'ming'yue'hai'ru'li'bai'shi 明月还如李白时
'ming'yue'nan'jiang'zhao'jiu'e 明月难将照酒厄
'ming'yue'yi'kui'hua'yi'lao 明月易亏花易老
'mo'ba'chun'guang'fu'liu'shui 莫把春光付流水
'mo'chang'ren'san'ju'chang'xiu 陌场人散鞠场休
'mo'jiang'hua'yue'zuo'xun'chang 莫将花月作寻常
'mo'mo'chun'xin'yuan'suo'si 默默春心怨所私
'mo'shang'wu'xin'shou'gong'xie 陌上无心手共携
'mo'sun'xin'tou'yi'cun'tian 莫损心头一寸天
'mo'xian'ci'di'feng'bo'e 莫嫌此地风波恶
'mou'xie'yi'zhi'xin'zhu'mai 谋写一枝新竹卖
'mu'dan'shao'yao'dou'nan'bi 牡丹芍药都难比
'mu'dan'tu 牡丹图
'mu'mian'xin'bu'jiu'zheng'yi 木绵新补旧征衣
'na'shi'na'ri'ci'men'zhong 那时那日此门中
'na'yi'chi'bo'yuan'men'qian 衲衣持钵院门前
'nan'jiang'xin'shi'he'ren'shuo 难将心事和人说
'neng'fu'xiang'ru'yi'juan'you 能赋相如已倦游
'neng'shi'dang'dan'wu'shi'xian 能事挡弹五十弦
'ni'bu'chai'men'ye'bu'yi 泥补柴门叶补衣
'nian'hua'wan'yue'zui'liu'xia 捻花玩月醉留霞
'nian'nian'chang'qing'shang'hua'shi 年年长庆赏花时
'nian'nian'he'yue'zui'hua'zhi 年年和月醉花枝
'niao'sheng'hua'ying'liu'ren'zhu 鸟声花影留人住
'niu'lang'zhi'nv'nian'nian'hui 牛郎织女年年会
'nong'yue'yin'hua'you'ji'ren 弄月吟花有几人
'nong'zhi'ci'wei'shi'lin'ying 农知此味食廪盈
'nv'ren 女人
'ou'kan'hua'jing'hu'xiao'hun 偶看画景忽消魂
'ou'ran'sheng'ji'yu'qi'zhong 偶然生计寓其中
'pao'zhi'yu'jin'ding'ji'nian 抛掷于今定几年
'pin'shi'yin 贫士吟
'ping'kang'zhi'fen'zhi'duo'shao 平康脂粉知多少
'ping'sheng'bu'gan'qing'yan'yu 平生不敢轻言语
'ping'yuan'hong'ri'you'xi'xie 平原红日又西斜
'po'yi'shan'zhong'po'bu'qun 破衣衫中破布裙
'qi'dui'jing'zi'tian'bai'mei 起对镜自添百媚
'qi'liao'shi'shang'yi'qian'nian 岂料世上已千年
