'a'fu'lue'gu'shi 阿夫略顾视
'bao'shi'chang'yi'dao 饱食偿一刀
'bao'xu'yi'ku'tong'feng'yun 包胥一哭通风云
'bao'yan'po'ao'you'cang'qie 曝檐破袄犹藏箧
'bei'cheng'ma'jiu'xian'gui'fen 北城马厩先鬼坟
'bei'diao'you'tu'gu 悲吊有屠沽
'bei'fang'fan'zuo'jiao'long'zhai 北方翻作蛟龙宅
'bei'feng'ri'ye'qi'jiang'sheng 悲风日夜起江声
'bei'feng'zuo'ye'chui'lin'mang 北风昨夜吹林莽
'bei'fu'bi'luo'gai'di'yuan 背负碧落盖地圆
'bei'guo'jing'xing'chu 北郭经行处
'bei'huo'hou'huo'xing 焙火候火性
'bei'jiu'wei'jian'xin 杯酒慰艰辛
'bei'lai'shi'zuo'fan'cha'you 北来始作泛槎游
'bei'lai'tie'qi'jin'cheng'chuan 北来铁骑尽乘船
'bei'lian'zi'sai'san'qian'li 北连紫塞三千里
'bei'mang'pou'tu'yi'nan'liu 北邙抔土亦难留
'bei'ren'wu'lu'wang'zhu'yan 北人无路望朱颜
'bei'shu'yi'xi'yang 背树倚夕阳
'bei'si'chan'cheng'yu 北寺谗成狱
'bei'si'tu'niu'nai'bian'ku 背似土牛耐鞭苦
'bei'tang'fen'chu'ji'quan'qing 陂塘分出几泉清
'bei'zai'dong'hai'zhu'yan'ren 悲哉东海煮盐人
'bei'zhong'wan'lv'ming 杯中万虑冥
'ben'yin'dong'nei'po'wei'fei 本因冻馁迫为非
'bi'cha'shu 避茶树
'bi'chao'dun'zuo'bo'di'ni 避潮墩作波底泥
'bi'cheng'he'li'da 逼城河力大
'bi'ci'you'xi'xiang'ai'lian 彼此游戏相爱怜
'bi'gu'jing'jin'you 蔽谷境尽幽
'bi'hai'hong'chen'wen'lao'seng 碧海红尘问老僧
'bi'hai'yan'gui'jin 碧海烟归尽
'bi'kong'yi'jiu'xi'yang'kai 碧空依旧夕阳开
'bi'li'xuan'xuan'yi'qi'chen 筚篥喧喧驿骑尘
'bi'men'jia'zi'shu'wang'guo 闭门甲子书亡国
'bi'mo'wu'sheng'qi 笔墨无生气
'bi'nian'zao'da'shui 比年遭大水
'bi'qiu'xian'zi'kui 弊裘先自愧
'bi'shou'wu'ling'gong'mo'xiao 匕首无灵公莫笑
'bi'shou'xi'ru'qin 匕首西入秦
'bi'xing'ci'yan'tuo 比兴此焉托
'bi'xue'lan'ban'zhao'qing'shi 碧血斓斑照青史
'bi'xue'wei'xiao'jin'zhan'lei 碧血未消今战垒
'bian'chen'he'yu'qu 便嗔何与渠
'bian'chen'hun'lao'nu 便嗔昏老奴
'bian'chen'xiu'chi'wu 便嗔羞耻无
'bian'cheng'tai'zao'han 边城太早寒
'bian'chi'bang'lue'can'bu'zhi 鞭笞榜掠惨不止
'bian'di'guan'shan'xing'bu'de 遍地关山行不得
'bian'huai'yi'dai'yi'wu'cun 边淮一带已无村
'bian'ke'qi'chi'lao'yi'qiu 便可栖迟老一丘
'bian'kong'shen'xian'yi'du'cai 便恐神仙亦妒才
'bian'lin'lv'shui'xiang'zhu'yan 便临绿水想朱颜
'bian'lou'hui'wang'xue'lin'xun 边楼回望削嶙峋
'bian'qiang'jian'yi'nan 边墙渐以南
'bian'shi'you'qin'huang 鞭石有秦皇
'bian'suo'lv'zhu'wei'nei'di 遍索绿珠围内第
'bian'yang'pian'shi'chu'tang'qi 弁阳片石出塘栖
'bian'yang'yu'cong'hou'zhe'bian 鞭羊欲从后者鞭
'bie'yan'pian'xiang'jian'shi'bei 别颜偏向见时悲
'bie'you'shen'si'chou'bu'de 别有深思酬不得
'bin'bian'yi'pian'tian'shan'xue 鬓边一片天山雪
'bing'fu'bu'guo'tou 病妇布裹头
'bing'he'si'yue'dong'chu'xiao 冰河四月冻初消
'bing'huang'man'yan'tu'shui'hui 兵荒满眼图谁绘
'bing'huo'zhi'ru'chong'wu'ya 秉火直入冲乌鸦
'bing'lai'bu'lai'ji'sha'wo 兵来不来饥杀我
'bing'lie'chang'he'ye'you'sheng 冰裂长河夜有声
'bing'nong'yi'yi'fen 兵农一以分
'bing'quan'xuan'zhong'he 冰泉悬众壑
'bing'ru'yu'sheng'zhong 并入雨声中
'bing'shan'qing 冰山倾
'bing'xiao'wei'xiang'sheng'bo'lan 冰消委巷生波澜
'bo'de'gu'zhong'shi'xiang'chuan 博得孤忠史相传
'bo'de'qian'tang'shi'qing'hu 博得钱塘十顷湖
'bo'de'zhi'fu'huan 博得制府欢
'bo'lang'xia'huang'niu 波浪下黄牛
'bo'mu'jin'ting'shui'qi'hun 薄暮津亭水气昏
'bo'ruan'tan'zheng'shang'jiu'lou 擘阮弹筝上酒楼
'bo'shi'yi'guo'chen 舶师亦国臣
'bo'tao'shi'jiao'hui 波涛势交汇
'bo'tong'chi'bu'guan'meng'tou 僰僮尺布惯蒙头
'bo'wang'kong'cheng'fan'hai'cha 博望空乘泛海槎
'bo'yang'hu'he'gan'jiang'liu 波阳湖合赣江流
'bo'zui'xing'lai'ju'hu'cheng 薄醉醒来句忽成
'bu'ba'huang'jin'mai'hua'gong 不把黄金买画工
'bu'bi'jiao'ren'qi 不必鲛人泣
'bu'bu'sheng'feng'yun 步步生风云
'bu'chang'qiao'ge'chang'zhao'ge 不唱樵歌唱棹歌
'bu'cheng'mai'zui'xin'ran'zuo 不成买醉欣然坐
'bu'chu'cun 不出村
'bu'ci'xin'ku'wei'jun'xing 不辞辛苦为君行
'bu'ci'zhu'feng'chui 不辞竹风吹
'bu'dai'er'mai'tian'tou'chun 不待二麦田头春
'bu'dao'bian'feng'shuo'xue'han 不道边风朔雪寒
'bu'dao'bu'jiang'ru'bu'zei 不道捕匠如捕贼
'bu'dao'shui'qiong'xing'bu'zhi 不到水穷行不止
'bu'de'qi'ping'ye'mo'ming 不得其平也莫鸣
'bu'du'chi'yi'bian'xing'ming 不独鸱夷变姓名
'bu'fan'shi'chi'ru'fei'niao 布帆十尺如飞鸟
'bu'fan'shi'fu'po'kong'xing 布帆十幅破空行
'bu'gu'fei'fei'zhao'mu'ming 布谷飞飞朝暮鸣
'bu'hao'yi'ren'tan'ke'guo 不好诣人贪客过
'bu'ji'mei'ren'si 不纪美人死
'bu'ji'zhu'san'shang'you'xiong 不及朱三尚有兄
'bu'jia'chan'yu'jun'bu'zhi 不嫁单于君不知
'bu'jian'diao'lan'gong'jiang'sha 不见雕栏共绛纱
'bu'jian'ji'wu'zhuo'yu'li 不见饥乌啄余粒
'bu'jian'ju'fa'cen'ci'san'bai'pian 不见句法参差三百篇
'bu'jian'lang'ya'da'dao'wang 不见琅琊大道王
'bu'jian'lin'jia'lao 不见邻家老
'bu'jian'shan'zhong'lu 不见山中路
'bu'jian'wang'sun'you'ji'nian 不见王孙又几年
'bu'jian'zhong'yuan'you'zhan'che 不见中原有战车
'bu'jin'lei'xia'kui'ping'sheng 不禁泪下愧平生
'bu'jue'zhou'ru'ye 不觉舟如叶
'bu'kan'chao'shi'dou'fei'gu 不堪朝市都非故
'bu'kan'chong'hu'ji 不堪充虎饥
'bu'kan'dong'wang'shang'gan'ge 不堪东望尚干戈
'bu'kan'hui'shou'wang'gu'pu 不堪回首望菰蒲
'bu'lai'quan'nong'nong'yi'geng 不来劝农农亦耕
'bu'luo'yong'jiang'jun 部落拥将军
'bu'nai'geng'xun'jiang'zong'zhai 不奈更寻江总宅
'bu'pa'guan'fu'dui'qian'chi 不怕官府堆钱迟
'bu'pao'an'wen'zhe 布袍安稳着
'bu'qing'yi'de'du 不请亦得睹
'bu'qiu'an'mu'chuai'huang'tian 不求按亩踹荒田
'bu'ran'dao'pang'xi'di'zheng'wu'xian 不然道旁隙地正无限
'bu'ran'zao'hua'zong'you'qian'shou'yan 不然造化纵有千手眼
'bu'ren'xiang'dong'liu 不忍向东流
'bu'ru'que'jiu'cheng'zhong'si 不如却就城中死
'bu'ru'you'huan'zuo 不如忧患作
'bu'sha'nan'yao'fu'bi'gong 不杀难邀复辟功
'bu'shang'li'ling'tai 不上李陵台
'bu'shi'ye'shen'neng'du'xing 不是夜深能独醒
'bu'si'mi'lou'luo'qi'jin 不似迷楼罗绮尽
'bu'sui'xian'qu'luo'ren'jian 不随仙去落人间
'bu'wei'qian'chao'chu'han'liu 不为前朝楚汉流
'bu'wei'qu'tan'zuo'ke'xing 不为瞿昙作客星
'bu'wen'bo'la'zhuan'kan'yi 不闻拨剌转堪疑
'bu'wu'shao'chui'yan 蔀屋少炊烟
'bu'xie'ji'qi'gong 不屑计奇功
'bu'xie'zhen'cuo'xie'ji'shu 不携珍错携鸡黍
'bu'xin'jiang'nan'bai'wan'hu 不信江南百万户
'bu'xin'ren'jian'you'e'fu 不信人间有饿夫
'bu'xue'qin'zheng'he'zhao'se 不学秦筝和赵瑟
'bu'yi'wei'bi'gan'piao'peng 布衣未必感飘蓬
'bu'yi'zhong'gu'hui'cheng'ming 布衣终古悔成名
'bu'ying'reng'hen'kong'dou'guan 不应仍恨孔都官
'bu'yu'shi'nu'xiong'feng'zai 部余石砮雄风在
'bu'yu'xing'ren'wan'li'bie 不与行人绾离别
'bu'zhe'fu 布者服
'bu'zhi'shi'yue'jiang'han'zhong 不知十月江寒重
'bu'zhi'shui'jiao'sha'ren'duo 不知谁较杀人多
'bu'zhi'yin'liao'nie'cheng'gen 不知淫潦啮城根
'bu'zhi'yu'lu'liang'feng'ji 不知玉露凉风急
'bu'zhu'jiang'tao'beng'di'an 不住江涛崩荻岸
'bu'zu'chang'zu'fu 不足偿租赋
'bu'zuo'han'shi'qiu 不作汉时秋
'cai'cha'hai'zhi'cha 采茶还制茶
'cai'cha'nv 采茶女
'cai'hua'xiang'guo'xiu'zhou'cheng 菜花香过秀州城
'cai'sang'nv'zi'zhi'yu'nan 采桑女子智于男
'cai'sheng'wen'zi'ji'feng'bo 才生文字即风波
'cai'shi'qing'feng'yong'cui'pan 采石晴峰涌翠盘
'can'can'nan'jin'dang 惭惨难禁当
'can'chun'feng'song'ke 残春风送客
'can'hun'ming'ye'huo 残魂明夜火
'can'jiang'su'shou'fen'san'xi 惭将素手分三席
'can'kui'qing'liu'zhao'ke'yan 惭愧清流照客颜
'can'meng'luo'qing'huai 残梦落清淮
'can'seng'bai'fei'zhong 残僧拜废钟
'can'shan'luo'jian'che'you'si 蚕山落茧车有丝
'can'shi'ji'shi'jian'qi'zhong 蚕事绩事兼其中
'can'sui'wu'mi'dai'ren'ku 残岁无米贷人苦
'can'ye'yi'cun'xu 残叶一村虚
'can'yu'ben'fan'cai 惭予本凡才
'can'yue'xiao'feng'xian'zhang'lu 残月晓风仙掌路
'can'zhao'xi'feng'bai'xia'men 残照西风白下门
'cang'bo'huai'hai'dong'liu'shui 沧波淮海东流水
'cang'bo'jie'da'huang 沧波接大荒
'cang'hai'jin'zhui'zhong'ji'mo 沧海金椎终寂寞
'cang'lang'xue'se'hao 沧浪雪色好
'cang'long'ri'mu'hai'xing'yu 苍龙日暮还行雨
'cang'mang'gu'e'zhou 苍茫古鄂州
'cang'mang'hui'shou'wang 苍茫回首望
'cao'feng'shu'sa'sa 草风疏飒飒
'cao'gen'ji'sha'ji 草根及沙际
'cao'jian'ma'jue'shi'kan'xiu 曹奸马谲实堪羞
'cao'jian'shi'you'na'gan'ren 草间时有纳肝人
'cao'lv'ping'tian'bu'shi'chun 草绿平田不是春
'cao'mu'song'bei'jia 草木送悲笳
'cao'rong'chu'hai'gu'li'you'gan'wu'shou'xuan'yi'shou 曹溶初还故里有感五首选一首
'cao'rong'huai'zhu'xi'chang 曹溶怀朱锡鬯
'cao'tang'he'mian'feng'jian'cheng 草堂盍面峰间塍
'cao'yin'gu'bei'kou'zhong'qiu 曹寅古北口中秋
'cao'zhen'ji'du'wei'shui'diao'huai'yin'hou 曹贞吉渡潍水吊淮阴侯
'cao'zhen'ji'xuan'cheng'ku'yu 曹贞吉宣城苦雨
'ce'dong'gong'e'bao'jiu'en 策动宫娥报旧恩
'ce'duo'qi'peng'xian'xi'duo 侧舵欹篷险巇多
'ceng'ceng'yuan'shu'fu'qing'ji 层层远树浮青荠
'ceng'cong'qing'shi'diao'gu'zhong 曾从青史吊孤忠
'ceng'kan'han'huo'qi 层槛含火器
'cha'bian'se 茶变色
'cha'xiang'chen 茶香沉
'cha'xiang'qi 茶香起
'cha'ye'bi 茶叶碧
'cha'ye'hei 茶叶黑
'cha'ye'huang 茶叶黄
'cha'ye'qing 茶叶青
'chai'che'xiang'xi'feng'yuan'liang 柴车向夕逢元亮
'chai'lang'bai'zhou'chu 豺狼白昼出
'chang'an'fu'gui'yu'cong'jiao 长安富贵玉骢骄
'chang'an'hua'ge'ya'qu'shu 长安画阁压氍毹
'chang'bai'xiong'dong'bei 长白雄东北
'chang'chan'zhu'chu'shuang'miao'duan 长镵斸处霜苗短
'chang'di'dong'lie'gong'nan'jiu 长堤冻裂功难就
'chang'duan'huang'jin'tai'xia'ke 肠断黄金台下客
'chang'duan'zun'qian'yu'wan'liu 肠断尊前玉腕骝
'chang'e'lao'da'wu'gui'chu 嫦娥老大无归处
'chang'feng'mai'yun'mang'qian'li 长风霾云莽千里
'chang'feng'shun'xi'guo'jing'kou 长风瞬息过京口
'chang'gan'fu'yi'wu'se'xin 长竿缚衣五色新
'chang'jiang'dai'sha'huang'ke'lian 长江带沙黄可怜
'chang'jiang'ju'lang'zheng'ren'lei 长江巨浪征人泪
'chang'jiang'liu'yuan'meng 长江流远梦
'chang'jiang'yi'cun'shen 长将一寸身
'chang'kan'bai'ri'xia'wu'cheng 长看白日下芜城
'chang'kong'dong'dao'you'zi'tong 常恐东道由兹通
'chang'li'kai'gu'qi 长犁开古碛
'chang'lu'yu'yi'yuan 长路迂以远
'chang'nian'tun'sheng'fu'yao'shou 长年吞声复摇手
'chang'nian'yao'lu'zhi 长年摇橹至
'chang'qiao'fu'shui'mian 长桥浮水面
'chang'shan'ping'yuan'an'zai'zai 常山平原安在哉
'chang'shan'zhi'yu'shan 常山至玉山
'chang'shui'tang'nan'san'ri'yu 长水塘南三日雨
'chang'wang'an'suo'zhi 怅望安所之
'chang'wang'san'e'jiu'qiu'se 怅望三峨九秋色
'chang'wen'qing'guo'yu'qing'cheng 尝闻倾国与倾城
'chang'xiang'zun'qian'bei'lao'da 长向尊前悲老大
'chang'xiao'yuan'niao'jing 长啸猿鸟惊
'chang'yan'gu'shan'fei 长掩故山扉
'chang'zuo'jiang'nan'meng'li'ren 长作江南梦里人
'chao'chang'bo'ping'an 潮长波平岸
'chao'chang'gao'shi'se'si'hui 怊怅篙师色似灰
'chao'heng'er'xi'zong 朝横而夕纵
'chao'ju'feng'su'gu'yi'ran 巢居风俗故依然
'chao'lai'bie'zou'xin'fan'qu 朝来别奏新翻曲
'chao'lai'gui'si'nong'ru'jiu 朝来归思浓如酒
'chao'lai'tian'yu'bai 潮来天宇白
'chao'niao'xu'sheng'dan'feng'chu 巢鸟须生丹凤雏
'chao'she'he'bian'lu'qi'liang 朝涉河边露气凉
'chao'shi'gui'zhu'jiang 朝事归诸将
'chao'song'xie'yang'luo 潮送斜阳落
'chao'ti'lan'chu 朝提篮出
'chao'ting'kao'ke'cui'ke'zhong 朝廷考课催科重
'chao'tou'an'nie'wang'dun'mu 潮头暗啮王敦墓
'chao'tou'zhou'dao'si'shan'cui 潮头骤到似山摧
'chao'yu'xia 朝雨下
'che'fei'hui'ge'ru'feng'sao 撤扉毁阁如风扫
'che'ma'suo'bu'dao 车马所不到
'che'tian'feng'huo'zhao'xu'tai 彻天烽火照胥台
'che'ye'yue'wu'yan 彻夜月无言
'chen'chen'shui'fu'liu'guang'cai 沉沉水府留光彩
'chen'chen'tan'yan 陈忱叹燕
'chen'gong'yin'cun'ju'ji'shi'wu'shou'xuan'liang'shou 陈恭尹村居即事五首选两首
'chen'gong'yin'du'qin'ji 陈恭尹读秦纪
'chen'gong'yin'gan'huai'shi'qi'shou'xuan'liang'shou 陈恭尹感怀十七首选两首
'chen'gong'yin'hu'qiu'ti'bi 陈恭尹虎丘题壁
'chen'gong'yin'mu'mian'hua'ge 陈恭尹木棉花歌
'chen'gong'yin'sui'gong 陈恭尹隋宫
'chen'gong'yin'ya'men'ye'san'zhong'ci 陈恭尹崖门谒三忠祠
'chen'gong'yin'ye'zhong 陈恭尹邺中
'chen'shang'bei'gu'lou 晨上北固楼
'chen'shi'wu'you'shi'jiu'hai 尘世无由识九还
'chen'shu'tong'bi'qin'ting'ku 陈书痛比秦庭哭
'chen'tong'jie'yuan'wu 沉痛结冤诬
'chen'wei'song'er'ri'xue'bu'zhi 陈维崧二日雪不止
'chen'wei'song'huai'zhou'sui'mu'gan'huai'si'shou'xuan'yi'shou 陈维崧怀州岁暮感怀四首选一首
'chen'wei'song'xiao'fa'zhong'mu 陈维崧晓发中牟
'chen'wei'song'yi'gui'chi'wu'shi'er'shou'xuan'yi'shou 陈维崧忆贵池吴师二首选一首
'chen'xin'sui'yue'huang'tang'guo 称心岁月荒唐过
'chen'zhang'dou'ting'shi'cui'wei 尘涨都亭失翠微
'chen'zui'jun'wang'ye'yan'pin 沉醉君王夜宴频
'cheng'bi'shui'wei'xing 乘彼睡未醒
'cheng'bi'xi'yang'zhong 城闭夕阳中
'cheng'cha'wu'han'shi 乘槎无汉使
'cheng'guo'jia'jia'rao'lv'pin 城郭家家绕绿蘋
'cheng'guo'lian'fan'qiang 城郭连帆樯
'cheng'huan'lai'qi'xian 承欢赖妻贤
'cheng'huang'gu'shu'li'yun'gen 城荒孤树立云根
'cheng'li'huang'shan'cheng'wai'xi 城里荒山城外溪
'cheng'lian'qin'shui'xuan'he'bei 城连沁水喧河北
'cheng'nan'ma'jiu'jin'da'hai 城南马厩近大海
'cheng'shang'feng'gao'zhan'bai'sha 城上风高飐白沙
'cheng'shang'feng'yun'you'hu'shu 城上风云犹护蜀
'cheng'tou'gu'jiao'ting 城头鼓角停
'cheng'wan'jiao'sheng'tong'yan'sai 城晚角声通雁塞
'cheng'xia'fang'ma'ma'san'xing 城下放马马散行
'cheng'xia'kong'di'duo'cao'sheng 城下空地多草生
'cheng'xia'kong'jiang'xiang'bei'liu 城下空江向北流
'cheng'xiang'ci'tang'xu'ji'mo 丞相祠堂虚寂寞
'cheng'xiang'fen'fen'zhao'chi'duo 丞相纷纷诏敕多
'cheng'yu'nan'qu'du'xi'dong 城隅南去独西东
'cheng'yu'shi'gu'ren 称予是故人
'cheng'yun'yu'feng'huo'ke'shang 乘云驭风或可上
'cheng'zhong'da'guan'lin'guang'tang 城中大官临广堂
'cheng'zhong'jiu'nong'bo'tuo'hao 城中酒浓馎饦好
'chi'ban'xiong'xiong'xing'you'jiao 赤瓣熊熊星有角
'chi'bu'feng'qun'cheng'xi'chang 尺布缝裙称膝长
'chi'dao'chui'yang'jia'qi'lou 驰道垂杨夹绮楼
'chi'dao'ru'zhong'chu 持刀入中厨
'chi'di'qian'hu'shi 尺地千弧矢
'chi'di'you'tu'jie'yong'yi 赤地有土皆涌溢
'chi'dun'shu'xiao'feng 鸱蹲树啸风
'chi'er'bu'shi'bo'tao'xian 痴儿不识波涛险
'chi'guan'xie'yang'lv'yin'fei 池馆斜阳绿荫肥
'chi'he'wen'an'xiang 池荷闻暗香
'chi'jiao'duan'yi'ban'zai'yao 赤脚短衣半在腰
'chi'mi'bai'yan'you'zi'zu 赤米白盐犹自足
'chi'ri'chan'shan'yao 赤日缠山腰
'chi'shao'lian'tian'ye'qi'yao 赤烧连天夜气遥
'chi'she'you'ru'huo 赤舌有如火
'chi'wu'cun'chu'fei'niao'bian 尺吴寸楚飞鸟边
'chi'yi'you'yi'hen 鸱夷有遗恨
'chi'you'pen'yao'wu 蚩尤喷妖雾
'chong'guan'yi'nu'wei'hong'yan 冲冠一怒为红颜
'chong'piao'zuo'fan'li'zuo'geng 舂莩作饭藜作羹
'chong'yi'shi'en'ze 宠异施恩泽
'chou'chang'jiang'guan'bai'fa'sheng 惆怅江关白发生
'chou'chang'li'huang'xi 惆怅立荒蹊
'chou'chou'zai'men'hu 仇雠在门户
'chou'jue'shu'lou'heng'chui'sheng 愁绝戍楼横吹声
'chou'jue'wang'shi'kan'bu'dao 愁绝王师看不到
'chou'jun'bai'yu'pan 愁君白玉盘
'chou'kan'jing'kou'san'jun'kui 愁看京口三军溃
'chou'lai'zhi'zi'yan 愁来只自言
'chou'ren'ge'wo'chang 抽刃割我肠
'chou'sha'yu'lan'cheng 愁杀庾兰成
'chou'sheng'mo'shang'huang'cong'qu 愁生陌上黄骢曲
'chou'shi'shi'chou'yi'kang'kai 抽矢誓雠已慷慨
'chou'shuo'mei'hua'xi'xi'kai 愁说梅花细细开
'chou'ting'guan'sai'bian'chui'jia 愁听关塞遍吹笳
'chou'xin'hu'gua'xi'xie'yue 愁心忽挂西斜月
'chou'yin'feng'yu'shen 愁因风雨深
'chu'bu'jin'wu'qian 初捕金五千
'chu'chu'chun'shan'jiao'hua'mei 处处春山叫画眉
'chu'dao'ruo'su'jing 初到若夙经
'chu'gong'yong'sao'dai'mei'xin 楚宫慵扫黛眉新
'chu'guan'zheng'de'bu'hui'tou 出关争得不回头
'chu'guo'xiao'se'wei 出郭晓色微
'chu'jian'ge'jing'cha 初见各惊诧
'chu'kan'bai'lv'sheng'qi'xian 初看白缕生栖贤
'chu'kan'luo'ri'chen'bo'hong 初看落日沉波红
'chu'kan'yun'er'yun 出看云而云
'chu'lin'qing'qing'yuan 出林清磬圆
'chu'men'fang'yun'ti 出门方陨涕
'chu'men'yao'he'bo 出门邀河伯
'chu'ren'gu'fen'jun 楚人固焚麇
'chu'ru'bai'yun'luan'zhao'shou 出入白云乱招手
'chu'sai 出塞
'chu'shi'deng'chu'di 出世登初地
'chu'shi'gao'ting'shi'wei'yang 出使皋亭事未央
'chu'tian'di'ya'ping'wu'wai 楚天低压平芜外
'chu'tian'nong'shu'shi'yan'mi 楚天浓树湿烟迷
'chu'wei'qi'xia'su 初为栖霞宿
'chu'wei'wu'tou'wu'xian'qing 楚尾吴头无限情
'chu'xiao'bei'di'chen 初消北地尘
'chu'xue'deng'gao'wang'zhong'shan 出穴登高望众山
'chu'you'zhi'xiang'long'tou'geng 锄耰只向陇头耕
'chu'yun'yan'yue'liang'tiao'tiao 楚云燕月两迢迢
'chu'zhao'zuo'zhi'er 出爪作之而
