'a'na'qu 阿那曲
'chang'ming'nv 长命女
'chang'ming'nv'ling 长命女令
'chang'qiao'yue 长桥月
'chang'sheng'le 长生乐
'chang'shou'le 长寿乐
'chang'tiao'xiao'ling 唱调笑令
'chang'ting'yuan 长亭怨
'chang'ting'yuan'man 长亭怨慢
'chang'xiang'si 长相思
'chang'xiang'si'ling 长相思令
'chao'tian'lan 朝天懒
'chao'tian'le 朝天乐
'chao'tian'zi 朝天子
'chao'zhong'cuo 朝中措
'chen'zui'dong'feng 沉醉东风
'cheng'tou'yue 城头月
'chi'bi'ci 赤壁词
'chi'zao'zi 赤枣子
'chong'die'jin 重叠金
'chou'chun'lai 愁春来
'chou'chun'wei'xing 愁春未醒
'chou'feng'yue 愁风月
'chou'nu'er 丑奴儿
'chou'nu'er'jin 丑奴儿近
'chou'nu'er'ling 丑奴儿令
'chou'nu'er'man 丑奴儿慢
'chou'yi'lan 愁倚阑
'chou'yi'lan'gan'ling 愁倚阑干令
'chou'yi'lan'ling 愁倚阑令
'chu'gong'chun'man 楚宫春慢
'chu'sai 出塞
'chu'sheng'qi 杵声齐
'chu'tian'yao 楚天谣
'chu'yun'shen 楚云深
'chuan'bo'zhao 川拨棹
'chuan'yan'yu'nv 传言玉女
'chui'bi'liu 垂碧柳
'chui'liu'wen 吹柳紊
'chui'si'diao 垂丝钓
'chui'yang 垂阳
'chui'yang'liu 垂杨柳
'chun'cao'bi 春草碧
'chun'chu'lin 春初临
'chun'cong'tian'shang'lai 春从天上来
'chun'feng'niao'nuo 春风袅娜
'chun'guang'hao 春光好
'chun'gui'yuan 春归怨
'chun'li'jing 春丽景
'chun'nong 春弄
'chun'qing 春晴
'chun'qu'ye 春去也
'chun'se'man 春色满
'chun'shan'lei 春衫泪
'chun'sheng'cui 春声啐
'chun'sheng'man 春声满
'chun'tuan'yuan 春团圆
'chun'xia'liang'xiang'qi 春夏两相期
'chun'xiao'qu 春宵曲
'chun'xiao'qu 春晓曲
'chun'xin'dang 春心荡
'chun'xue'wen'zao'mei 春雪问早梅
'chun'ying'zhuan 春莺转
'chun'you 春游
'chun'yun'yuan 春云怨
'chun'zao'hu'shan 春早湖山
'cu'hu'lu 醋葫芦
'cu'shui 簇水
'cui'hua'le 催花乐
'cui'hua'yin 翠华引
'cui'lou'yin 翠楼吟
'cui'xue 催雪
'cui'yu'yin 翠羽吟
'cui'yuan'zhi 翠园枝
'cun'li'zhu'gu 村里逐鼓
'cun'yi'yuan 村意远
'da'chun 大椿
'da'dao'jiang'jun 大刀将军
'da'jiang'cheng 大江乘
'da'jiang'dong'qu 大江东去
'da'jiang'xi 大江西
'da'jiang'xi'shang'qu 大江西上曲
'da'pu 大酺
'da'sheng'le 大圣乐
'da'you 大有
'dai'ma'hang 带马行
'dan'feng'yin 丹凤吟
'dan'huang'liu 淡黄柳
'dao'cheng'gui 道成归
'dao'chui'liu 倒垂柳
'dao'dao'ling 叨叨令
'dao'lian'zi 捣练子
'dao'lian'zi'ling 捣练子令
'dao'yin 导引
'de'chun'ling'man 得春令慢
'de'sheng'ling 得胜令
'deng'yue'jiao'hui 灯月交辉
'di'chun'tai 帝春台
'di'di'jin 滴滴金
'di'hong 鞮红
'di'yi'hua 第一花
'dian'jiang'chun 点绛唇
'dian'pai'er 点牌儿
'dian'qian'cui 殿前催
'dian'qian'huan 殿前欢
'dian'ying'tao 点樱桃
'diao'chuan'di 钓船笛
'diao'jue'er 掉角儿
'diao'qiu'huan'jiu 貂裘换酒
'diao'yan'ling 吊严陵
'die'lian'hua 蝶恋花
'die'luo'hua 叠萝花
'ding'er 丁儿
'ding'feng'bo 定风波
'ding'feng'liu 定风流
'ding'xi'fan 定西番
'ding'xiang'jie 丁香结
'dong'du'shen 洞渎神
'dong'feng'chui'jiu'mian 东风吹酒面
'dong'feng'di'yi'zhi 东风第一枝
'dong'feng'han 东风寒
'dong'feng'qi'kan'li 东风齐看力
'dong'hu'yue 东湖月
'dong'ping'yin 东平引
'dong'po'yin 东坡引
'dong'ting'chun'se 洞庭春色
'dong'xian 东仙
'dong'xian'ci 洞仙词
'dong'xian'ge 洞仙歌
'dong'xian'ge'man 洞仙歌慢
'dong'yang'ge 东阳歌
'dong'yuan'le 东原乐
'dong'zhong'xian 洞中仙
'dou'an'chun 斗鹌鹑
'dou'bai'cao 斗百草
'dou'bai'hua 斗百花
'dou'chan'juan 斗婵娟
'dou'ji'hui 斗鸡回
'dou'ye'huang 豆叶黄
'du'jiang'yun 渡江云
'du'jiao'ling 独脚令
'du'wei'niang 杜韦娘
'du'yi'lou 独倚楼
'du'yu 杜宇
'dui'yu'huan 对玉环
'duo'jin'biao 夺锦标
'duo'li 多丽
'ei'nai'qu 欸乃曲
'er'lang'shen 二郎神
'er'se'lian 二色莲
'er'shi'shi 二十时
'er'shi'si'hui 二十四会
'fa'jia'dao'yin 法驾道引
'fan'bu'suan 番卜算
'fan'cui'xiu 翻翠袖
'fan'hu'bing 犯胡兵
'fan'hua 犯花
'fan'lan'zhou 泛兰舟
'fan'ma'wu'xi'feng 番马舞西风
'fan'qiang'zi 番抢子
'fan'qing'bo'pian 泛情波偏
'fan'qing'bo'zhai'bian 泛情波摘遍
'fan'xiang'ling 翻香令
'fang'cao 芳草
'fang'lu 防露
'fang'xin'ku 芳心苦
'fei'lai'feng 飞来峰
'fei'xue'man'qun'shan 飞雪满群山
'fen'die'er 粉蝶儿
'fen'die'er'man 粉蝶儿慢
'feng'chi'yin 凤池吟
'feng'da'song'man 风大松慢
'feng'die'ling 风蝶令
'feng'gu'fei 凤孤飞
'feng'guang'hao 风光好
'feng'gui'yun 风归云
'feng'huang'jian 凤凰间
'feng'huang'tai'shang'yi'chui'xiao 凤凰台上忆吹箫
'feng'lai'chao 凤来朝
'feng'le'lou 丰乐楼
'feng'liu'zi 风流子
'feng'lou'chun 凤楼春
'feng'lou'yin 凤楼吟
'feng'ma'er 风马儿
'feng'nian'rui 丰年瑞
'feng'qi'wu 凤棲梧
'feng'qi'wu'tong 凤棲梧桐
'feng'qiao'zhu 风敲竹
'feng'qiu'huang 凤求凰
'feng'ru'song 风入松
'feng'shi'chun 凤时春
'feng'xian'yin 凤仙引
'feng'xiao'yin 凤萧吟
'feng'yu'bei 凤御杯
'feng'zhong'liu 风中柳
'feng'zhong'liu'ling 风中柳令
'fo'ni'chang 佛霓裳
'fu'jin'chai 付金钗
'fu'ma'lang 福马郎
'fu'ni'chang 拂霓裳
'fu'rong'qu 芙蓉曲
'fu'rong'yue 芙蓉月
'fu'shou'qian'chun 福寿千春
'fu'zui'qu'chun'han 扶醉去春寒
'gan'cao'zi 甘草子
'gan'en'duo 感恩多
'gan'en'duo'ling 感恩多令
'gan'he'ye 干荷叶
'gan'huang'en 感皇恩
'gan'huang'en'man 感皇恩慢
'gan'ting'qiu 感庭秋
'gan'zhou'bian 甘州遍
'gan'zhou'ge 甘州歌
'gan'zhou'ling 甘州令
'gan'zhou'qu 甘州曲
'gan'zhou'zi 甘州子
'gao'chun'lai 告春来
'gao'ping'tan'fang'xin 高平探芳新
'gao'shan'liu'shui 高山流水
'gao'yang'tai 高阳台
'ge'lian'ting 隔帘听
'ge'ling 歌令
'ge'nong 个侬
'ge'pu'lian'jin 隔浦莲近
'ge'pu'lian'jin'pai 隔浦莲近拍
'ge'pu'qu 葛浦曲
'ge'xi'mei'ling 隔溪梅令
'ge'xi'qi'ling 隔溪栖令
'geng'lou'zi 更漏子
'gong'wu'du'he 公无渡河
'gong'zhong'san'tai 宫中三台
'gong'zhong'tiao'xiao 宫中调笑
'gu'di'ling 鼓笛令
'gu'di'man 鼓笛慢
'gu'ji 古记
'gu'luan 孤鸾
'gu'mei'jiu 沽美酒
'gu'mei'qu 古梅曲
'gu'qing'bei 古倾杯
'gu'tiao'xiao 古调笑
'gu'yan'er 孤雁儿
'gu'yang'guan 古阳关
'gu'zhu'ma 古竹马
'gua'jin'suo 挂金索
'gua'mo'li 瓜茉莉
'gua'ting'qiu 挂庭秋
'guan'he'ling 关河令
'guang'han'qiu 广寒秋
'guang'han'zhi 广寒枝
'gui'ba'le 归巴乐
'gui'chao'huan 归朝欢
'gui'dian'qiu 桂殿秋
'gui'guo'yao 归国谣
'gui'guo'yao 归国遥
'gui'hua'ming 桂花明
'gui'hua'ming 桂华明
'gui'hua'zhen'nan'zhi 桂花镇南枝
'gui'ping'yao 归平遥
'gui'qu'lai 归去来
'gui'qu'nan 归去难
'gui'qu'qu 归去曲
'gui'sai'bei 归塞北
'gui'san'tai 鬼三台
'gui'yuan'wu'meng 闺怨无梦
'gui'zhi'qiu 桂枝秋
'gui'zhi'xiang 桂枝香
'gui'zi'yao 归自谣
'gui'zi'yao 归字谣
'gun'xiu'qiu 滚绣球
'guo'jian'xie 过涧歇
'guo'jiang'long 过江龙
'guo'lang'er'jin'pai 郭郎儿近拍
'guo'lang'er'man 郭郎儿慢
'guo'long'men 过龙门
'guo'long'yao 聒龙谣
'guo'men'dong 国门东
'guo'qin'lou 过秦楼
'guo'xiang'man 国香慢
'hai'guan'zi 还冠子
'hai'jing'le 还京乐
'hai'tang'chun 海棠春
'hai'tang'chun'ling 海棠春令
'hai'tang'hua 海棠花
'hai'tang'hua'ling 海棠花令
'hai'tian'kuo'chu 海天阔处
'han'gong'chun 汉宫春
'han'gong'chun'man 汉宫春慢
'han'gu 寒姑
'han'lian'xin 寒连新
'han'shi'ci 寒食词
'han'song'tan 寒松叹
'han'ting'qiu 撼庭秋
'hao'guan'yin 好观音
'hao'hua'shi 好花时
'hao'jie'jie 好姐姐
'hao'li'xiang 好离乡
'hao'nv'er 好女儿
'hao'shi'guang 好时光
'hao'shi'jin 好事近
'he'chong'tian 鹤冲天
'he'chuan 河传
'he'da'ling 喝大令
'he'du'shen 河渎神
'he'gan'bei 荷干杯
'he'hua'mei 荷花媚
'he'huan 合欢
'he'ma'yi'zhi'hua 喝马一枝花
'he'man'zi 何满子
'he'man'zi 河满子
'he'na'qu 纥那曲
'he'sheng'chao 贺圣朝
'he'sheng'chao'ying 贺圣朝影
'he'xi'chao 贺熙朝
'he'xin'lang 贺新郎
'he'xin'liang 贺新凉
'he'ye'bei 荷叶杯
'he'ye'pu'shui'mian 荷叶铺水面
'hei'qi'nu 黑漆弩
'hen'chun'shi 恨春时
'hen'chun'xiao 恨春宵
'hen'lai'chi 恨来迟
'heng'chun'ling 恒春令
'heng'tang'lu 横塘路
'heng'yun 横云
'hong'chuang'jiong 红窗迥
'hong'chuang'shui 红窗睡
'hong'chuang'ting 红窗听
'hong'chuang'ying 红窗影
'hong'chun'tao'li 烘春桃李
'hong'lin'qin'jin 红林擒近
'hong'lou'yin 红楼引
'hong'mei'yin 红梅引
'hong'niang'zi 红娘仔
'hong'niang'zi 红娘子
'hong'qing 红情
'hong'qing'lv'yi 红情绿意
'hong'xing'xie'chun'guang 红杏泄春光
'hou'ting'hua 后庭花
'hou'ting'hua'po'zi 后庭花破子
'hou'ting'yan 后庭宴
'hu'dao'lian 胡捣练
'hu'die'er 蝴蝶儿
'hu'shan'hao 壶山好
'hu'shan'qing 胡山青
'hu'tian'xiao 壶天晓
'hu'yin'zi 胡音子
'hu'zhong'tian 壶中天
'hu'zhong'tian'man 壶中天慢
'hu'zhou 胡州
'hua'e'mei 画娥眉
'hua'fa'qin'yuan'chun 花发沁园春
'hua'fan 花犯
'hua'fan'nian'nu 花犯念奴
'hua'fei'hua 花非花
'hua'he'mei 华荷媚
'hua'jian'yi 花间意
'hua'jin'tang 画锦堂
'hua'lou'kong 画楼空
'hua'ping'chun 画屏春
'hua'qian'yin 花前饮
'hua'qing'yin 华清引
'hua'shang'yue'ling 花上月令
'hua'shen'shen 花深深
'hua'tang'chun 画堂春
'hua'tang'chun'man 画堂春慢
'hua'tong'xiang 话桐乡
'hua'xi'bi 花溪碧
'hua'xiang'rong 花相容
'hua'xin'dong 花心动
'hua'xu'yin 华胥引
'hua'xue'man'dui'shan 花雪满堆山
'hua'zhao'lang 画招郎
'hua'zi'luo 花自落
'huai'dian'chun 淮甸春
'huai'jiu'you 怀旧游
'huan'chao'luan'feng 换巢鸾凤
'huan'chun'chou 唤春愁
'huan'sha'xi 浣沙溪
'huan'xi'sha 浣溪沙
'huan'xi'xing 浣溪行
'huang'he'qing'man 黄河清慢
'huang'he'rao'bi'shu 黄鹤绕碧树
'huang'he'yin 黄鹤引
'huang'jin 黄金
'huang'jin'lv 黄金缕
'huang'ying'er 黄莺儿
'huang'zhong'yue 黄钟乐
'hui'bo'ci 回波词
'hui'bo'le 回波乐
'hui'chun'man 挥春墁
'hui'lan'fen'yin 惠兰芬引
'hui'po'le 回婆乐
'hui'xin'yuan 回心院
'hun'jiang'long 混江龙
'hun'luo'yi 混罗衣
'ji'he'xiang 芰荷香
'ji'jiao'zi 鸡叫子
'ji'qun'yao 击裙腰
'ji'sheng'cao 寄生草
'ji'tian'shen 祭天神
'ji'xian'bin 集贤宾
'ji'xiang'si 极相思
'jia'ren'zui 佳人醉
'jia'se 佳色
'jia'shan'hao 家山好
'jia'shi'xiang 加侍香
'jian'di'song 涧底松
'jian'lan 减兰
'jian'long'men 见龙门
'jian'luo'qun 溅罗裙
'jian'mu'dan 剪牡丹
'jian'qi'jin 剑器近
'jian'qi'jin 剑气近
'jian'xiang'yun 剪湘云
'jian'zhao'xia 剪朝霞
'jian'zheng'pao 剪征袍
'jian'zi'huan'xi'sha 减字浣溪沙
'jian'zi'mu'lan'hua 减字木兰花
'jiang'cheng'mei'hua'yin 江城梅花引
'jiang'cheng'zi 江城子
'jiang'cheng'zi'man 江城子慢
'jiang'dou'chun 绛都春
'jiang'er'shui 江儿水
'jiang'huang'long 绛黄龙
'jiang'mei'yin 江梅引
'jiang'nan'chun 江南春
'jiang'nan'chun'man 江南春慢
'jiang'nan'hao 江南好
'jiang'nan'liu 江南柳
'jiang'nan'yi 江南忆
'jiang'ru'lian 江如练
'jiang'shen'zi 江神子
'jiang'tao'chun 绛桃春
'jiang'ting'yuan 江亭怨
'jiang'yue'jian'zhong'shan 江月见重山
'jiang'yue'ling 江月令
'jiao'he'xiang 茭荷香
'jiao'pi'pa 搅琵琶
'jie'chun'feng 解春风
'jie'hong 解红
'jie'huo'ling 解火令
'jie'lian'huan 解连环
'jie'pei'huan 解佩环
'jie'pei'ling 解佩令
'jie'xian'bin 接贤宾
'jie'yuan'jie 解冤结
'jin'bi'fu'rong 金碧芙蓉
'jin'chan'dao 锦缠道
'jin'cuo'dao 金错刀
'jin'feng'gou 金凤钩
'jin'feng'tiao 金凤调
'jin'fu'tu 金浮图
'jin'hua'xiang 锦花香
'jin'huan'dai 金欢带
'jin'jiao'ye 金蕉叶
'jin'ju'dui'fu'rong 金菊对芙蓉
'jin'ju'xiang 金菊香
'jin'lv'ci 金缕词
'jin'lv'ge 金缕歌
'jin'lv'qu 金缕曲
'jin'ming'chi 金明池
'jin'ming'chun 金明春
'jin'ren'peng'lu'pan 金人捧露盘
'jin'shang'hua 锦上花
'jin'tang'chun 锦堂春
'jin'tang'chun'man 锦堂春慢
'jin'yan 禁烟
'jin'yuan'chun 锦园春
'jin'zhan'dao'chui'lian 金盏倒垂帘
'jin'zhan'zi 金盏子
'jin'zhang'chun 锦帐春
'jin'zi'jing 金字经
'jing'long'deng 景龙灯
'jing'tian'hua 敬天花
'jing'zhong'ren 镜中人
'jing'zhou'ting 荆州亭
'jiu'chong'chun'se 九重春色
'jiu'chong'chun'se'wan'nian 九重春色万年
'jiu'hui'chang 九回肠
'jiu'neng'gui 九能归
'jiu'quan'zi 酒泉子
'jiu'ri 九日
'jiu'zhang'fan 九张帆
'ju'hua'tian 菊花天
'ju'hua'xin 菊花新
'ju'jie'ling 锯解令
'juan'chun'kong 卷春空
'juan'xun'fang 倦寻芳
'juan'zhu'lian 卷珠帘
'jun'bu'wu 君不悟
'jun'lai'lu 君来路
'kai'ge 凯歌
'kai'yuan'le 开元乐
'kan'hua'hui 看花回
'kong'chun'ling 控春令
'kong'hou'qu 箜篌曲
'kong'ting'ri'mu 空亭日暮
'ku'xiang'si 酷相思
'kuai'huo'nian 快活年
'kuai'huo'nian'jin'pai 快活年近拍
'kuai'huo'san 快活三
'kuan'can'hong 款残红
'kun'ming'chi 昆明池
'kun'xiu'tan 崐绣毯
'la'mei'hua 腊梅花
'la'mei'xiang 腊梅香
'la'qian'mei 腊前梅
'lan'gan'wan'li'xin 阑干万里心
'lan'hua'mei 懒画眉
'lan'ling'wang 兰陵王
'lan'zheng'pa 揽挣琶
'lang'li'lai'sha 浪里来煞
'lang'tao'sha 浪淘沙
'lang'tao'sha'ling 浪淘沙令
'le'ling 乐令
'le'shi 乐世
'le'xun'qu 乐逊曲
'le'zhong'bei 乐中悲
'lei'hong'yun 泪红云
'lei'yue 酹月
'li'bie'nan 离别难
'li'cui'xiu 离翠袖
'li'ge'yi'die 骊歌一叠
'li'ku'hai 离苦海
'li'luan 离鸾
'li'ting'yan 离亭宴
'li'ting'yan 离亭燕
'li'ting'yan 离庭宴
'li'ting'yuan 离亭怨
'li'xiang'ling 离香令
'li'zhi'xiang'jin 荔枝香近
'lian'bo'ming 怜薄命
'lian'dan'sha 炼丹砂
'lian'fang'chun'man 恋芳春慢
'lian'qing'shen 恋情深
'lian'xiang'qin 恋香衾
'lian'zhi'li 连枝理
'liang'ling 梁令
'liang'tong'xin 两同心
'liang'zhou'ling 凉州令
'liang'zhou'ling 梁州令
'liang'zhou'ling'die'yun 梁州令叠韵
'lin'jiang'xian 临江仙
'ling'bo'qu 凌波曲
'ling'long'si'fan 玲珑四犯
'ling'long'wang 玲珑王
'ling'qing'zhao 泠青沼
'liu'chang'chun 柳长春
'liu'chou 六丑
'liu'chu'xin 柳初新
'liu'chun'ling 留春令
'liu'han'yan 柳含烟
'liu'jia 留家
'liu'ke'zhu 留客住
'liu'liu'feng 六六峰
'liu'me'ling 六么令
'liu'me'xu 六么序
'liu'se'huang 柳色黄
'liu'se'xin 柳色新
'liu'shao'chun 柳梢春
'liu'shao'qing 柳梢青
'liu'yao'qing 柳腰轻
'liu'ye'er 柳叶儿
'liu'zhi'qiu 柳枝秋
'liu'zhou'ge'tou 六州歌头
'long'shan'hui 龙山会
'long'tou'quan 陇头泉
'long'tou'yue 陇头月
'long'yin'qu 龙吟曲
'lou'shang'qu 楼上曲
'lu'hua 露华
'lu'hua'chun'man 露华春慢
'lu'hua'man 露华慢
'lu'lu'jin'jing 辘轳金井
'lu'lu'xian'ying 辘轳仙影
'lu'tiao 录调
'lun'tai'zi 轮台子
'luo'fei'yuan 洛妃怨
'luo'fu'mei 罗敷媚
'luo'fu'ye'ge 罗敷夜歌
'luo'gong'qu 罗唝曲
'luo'hua'shi 落花时
'luo'mei'feng 落梅风
'luo'si'niang 络丝娘
'luo'yang'chun 洛阳春
'lv'jin'jin 缕金金
'lv'luan'gui'ling 绿鸾归令
'lv'meng'wu'feng'qing 绿孟舞风轻
'lv'tou'ya 绿头鸭
'lv'yao 绿腰
'lv'yi 绿意
'ma'jia'chun'man 马家春慢
'ma'lang'er 麻郎儿
'mai'bei'tang 迈陂塘
'mai'bei'tang 买陂塘
'mai'hua'sheng 卖花声
'mai'hua'sheng'sha 卖花声煞
'mai'xiu'liang'qi 麦秀两岐
'man'chao'huan 满朝欢
'man'guan'hua 满官花
'man'jiang'hong 满江红
'man'juan'chou 慢卷紬
'man'lu'hua 满路花
'man'lu'hua'zhuo'pai 满路花捉拍
'man'ting'fang 满庭芳
'man'ting'hua 满庭花
'man'ting'shuang 满庭霜
'man'yuan'chun 满院春
'man'yuan'hua 满园花
'mei'feng'bi 眉峰碧
'mei'he'liu 梅和柳
'mei'hua'ju 梅花句
'mei'hua'yin 梅花引
'mei'nong'ying 梅弄影
'mei'ren'chun 美人春
'mei'wu 眉妩
'mei'yi'xie 梅已谢
'mei'yue'yuan 梅月圆
'mei'zi'huang'shi'yu 梅子黄时雨
'meng'fu'rong 梦芙蓉
'meng'hai'liang 梦还凉
'meng'heng'tang 梦横塘
'meng'hun'xiang 梦魂香
'meng'jiang'kou 梦江口
'meng'jiang'nan 梦江南
'meng'xian'you 梦仙游
'meng'xing'yun 梦行云
'meng'yang'zhou 梦扬州
'meng'yu'ren'yin 梦玉人引
'mi'shen'yin 迷神引
'mi'xian'yin 迷仙引
'miao'er'xiu 苗儿秀
'ming'suo 鸣梭
'ming'yue'sheng'nan'pu 明月生南浦
'ming'yue'xie 明月斜
'ming'yue'yin 明月引
'ming'yue'zhao'gu'zhou 明月棹孤舟
'ming'yue'zhu'lai 明月逐来
'ming'yue'zhu'ren'lai 明月逐人来
'mo'shan'xi 蓦山溪
'mo'shang'hua 陌上花
'mo'shang'lang 陌上郎
'mo'si'gui 莫思归
'mo'yu'er 摸鱼儿
'mo'yu'zi 摸鱼子
'mu'hu'sha 穆护砂
'mu'hua'tian 暮花天
'mu'huang'en 沐皇恩
'mu'lan'hua 木兰花
'mu'lan'hua'ling 木兰花令
'mu'lan'hua'man 木兰花慢
'mu'qie 木笡
'mu'shan'xi 暮山溪
'mu'yun'bi 暮云碧
'nan'ge'zi 南歌子
'nan'ke'zi 南柯子
'nan'lou'ling 南楼令
'nan'ping'yin 南平引
'nan'pu 南浦
'nan'pu'yue 南浦月
'nan'xiang'zi 南乡子
'ne'zha'ling 哪吒令
'nei'jia'jiao 内家娇
'ni'chang'zhong'xu'di'yi 霓裳中序第一
'ni'shang'yu'yi 霓裳羽衣
'nian'jia'shan'po 念家山破
'nian'li'qun 念离群
'nian'liang'you 念良游
'nian'nu'jiao 念奴娇
'nian'xiang'qin 念香衾
'niao'ming'jian 鸟鸣涧
'nong'hua'yu 弄花雨
'nv'guan'zi 女冠子
'nv'guan'zi'man 女冠子慢
'ou'xiang'feng 偶相逢
'pa'chun'gui 怕春归
'pai'ge 排歌
'pai'qiu'chang 拍球场
'pan'an'tai 攀鞍态
'pao'qiu'le 抛球乐
'pao'xiu'qiu 抛绣球
'peng'lai'ge 蓬莱阁
'pi'pa'xian 琵琶仙
'pian'zhou'xun'jiu'yue 扁舟寻旧约
'pin'ling 品令
'pin'ye'le 贫也乐
'pin'zai'jiu 频载酒
'ping'gong'chun 萍宫春
'po'luo'men 婆罗门
'po'luo'men'yin 婆罗门引
'po'qi'zhen 破齐阵
'po'zhen'le 破阵乐
'po'zhen'zi 破阵子
'po'zi'ling 破字令
'pu'fen'die 扑粉蝶
'pu'hu'die 扑蝴蝶
'pu'hu'die'jin 扑蝴蝶近
'pu'tian'le 普天乐
'pu'xian'ge 普贤歌
'qi'liang'fan 凄凉犯
'qi'liang'tiao 凄凉调
'qi'luo'xiang 绮罗香
'qi'niang'zi 七娘仔
'qi'niang'zi 七娘子
'qi'qin'yuan 绮秦怨
'qi'shi 戚氏
'qi'tian'le 齐天乐
'qi'ye'yue 期夜月
'qian'chun'ci 千春词
'qian'nian'tiao 千年调
'qian'qiu'jie 千秋节
'qian'qiu'sui 千秋岁
'qian'qiu'sui'yin 千秋岁引
'qian'qiu'wan'sui 千秋万岁
'qiang'jin'jiu 将进酒
'qiao'mu'cha 乔木查
'qiao'pai'er 乔牌儿
'qie'zuo'ling 且坐令
'qin'diao 琴调
'qin'diao'xiang'si'yin 琴调相思引
'qin'se'xiang'si'yin 琴瑟相思引
'qin'yuan'chun 沁园春
'qing'bei 倾杯
'qing'bo'yin 清波引
'qing'chang'chun 庆长春
'qing'chun'gong 庆春宫
'qing'chun'shen 庆春深
'qing'chun'shi 庆春时
'qing'chun'sui 庆春岁
'qing'chun'ze 庆春泽
'qing'chun'ze'man 庆春泽慢
'qing'ci 情词
'qing'dong'yuan 庆东原
'qing'feng'ba'yong'lou 清风八咏楼
'qing'ge'er 青哥儿
'qing'ge'er 青歌儿
'qing'gong'chun 庆宫春
'qing'he'feng 清和风
'qing'jiang'qu 情江曲
'qing'jiang'xing 清江行
'qing'jiu'chang 情久长
'qing'men'yin 青门引
'qing'pian'hao 晴偏好
'qing'ping'diao 清平调
'qing'ping'le 清平乐
'qing'qian'qiu 庆千秋
'qing'qing'chao 庆清朝
'qing'qing'chao'man 庆清朝慢
'qing'qing'chun 庆青春
'qing'se'ru'qing'shan 晴色入青山
'qing'shan'shi 青衫湿
'qing'shan'shi'bian 青山湿遍
'qing'shang'yuan 清商怨
'qing'tian'jiu 情天久
'qing'tong'tian 庆同天
'qing'xing'er 青杏儿
'qing'xuan'he 庆宣和
'qing'yu'an 青玉案
'qing'yun'yuan 青云怨
'qiong'tai 琼台
'qiu'bo'mei 秋波媚
'qiu'guang'man'mu 秋光满目
'qiu'ji 秋霁
'qiu'jing'li 秋景丽
'qiu'qian'suo 秋千索
'qiu'rui'xiang 秋蕊香
'qiu'se'heng'kong 秋色横空
'qiu'shui 秋水
'qiu'si'hao 秋思耗
'qiu'si'ye 秋思夜
'qiu'xiao'yin 秋宵吟
