'ban'qun 半群
'duo'xiang'shi'xi'shu 多项式系数
'duo'xiang'shi'zhan'kai'ding'li 多项式展开定理
'duo'zhi'ming'ti'luo'ji 多值命题逻辑
'er'fen'tu 二分图
'er'jin'zhi'dui'chen'xin'dao 二进制对称信道
'er'nan'tui'li 二难推理
'er'xiang'shi'bian'huan 二项式变换
'er'xiang'shi'ding'li 二项式定理
'er'xiang'shi'xi'shu 二项式系数
'er'yuan'guan'xi 二元关系
'fan'bian'han'zi 反变函子
'fan'chou 范畴
'fan'dui'chen'xing 反对称性
'fan'quan'tu 泛圈图
'fan'shang'jie 泛上界
'fan'tong'gou 反同构
'fan'yan 反演
'fang 方
'fang'she'ping'mian 仿射平面
'fei'biao'zhun'luo'ji 非标准逻辑
'fei'jie'he'dai'shu 非结合代数
'fei'ma'zi 废码字
'fei'te'zhi'zhi 非特指值
'fen'li'gui'ze 分离规则
'fen'lie'yu 分裂域
'fen'pei'ge 分配格
'fen'zu'ma 分组码
'fou'ding'hou'jian'shi 否定后件式
'fu'gai 覆盖
'fu'gai'shu 覆盖数
'fu'he 复合
'fu'he'yun'suan 复合运算
'fu'zhi 赋值
'fu'zhu'fu'hao 辅助符号
'ge 格
'ge'bian 割边
'ge'dian 割点
'ge'ti'bian'yuan 个体变元
'ge'tong'tai 格同态
'ge'zi'long'yuan'li 鸽子笼原理
'gen'yu 根域
'gong'li'xi'tong 公理系统
'gong'shi 公式
'gong'yin'zi 公因子
'gu'dian'wan'quan'de 古典完全的
'gu'dian'xiang'rong'de 古典相容的
'guan'lian 关联
'guan'lian'gong'li 关联公理
'guan'lian'ju'zhen 关联矩阵
'guang'yi 广义
'gui'dao 轨道
'gui'lv 规律
'han'shu 函数
'han'zi 函子
'he 和
'he 核
'he'shi'gong'shi 合式公式
'heng'deng'zi'ran'bian'huan 恒等自然变换
'heng'jie'she'ji 横截设计
'hou'du 厚度
'hou'jian 后件
'hu'ji 弧集
'hu'su 互素
'huan 环
'huan'de'te'zheng 环的特征
'huan'fang 幻方
'hui'lu 回路
'ji 基
'ji 积
'ji 迹
'ji'chu'tu 基础图
'ji'da'li'xiang 极大理想
'ji'da'ping'mian'tu 极大平面图
'ji'da'wai'ping'mian'tu 极大外平面图
'ji'da'yuan 极大元
'ji'fan'chou 积范畴
'ji'he'de'hua'fen'shu 集合的划分数
'ji'he'shi 积和式
'ji'hu'xiang'deng'de 几乎相等的
'ji'ou'jiao'yan'fang'cheng 奇偶校验方程
'ji'ou'jiao'yan'ju'zhen 奇偶校验矩阵
'ji'ou'jiao'yan'ma 奇偶校验码
'ji'ou'jiao'yan'qi 奇偶校验器
'ji'shu 基数
'ji'shu'han'shu 计数函数
'ji'xiao 极小
'ji'xiao'duo'xiang'shi 极小多项式
'ji'xiao'xiang 极小项
'jia 价
'jia'fa'yuan'li 加法原理
'jia'qiang'de'ge'zi'long'yuan'li 加强的鸽子笼原理
'jia'she 假设
'jia'yan'san'duan'lun 假言三段论
'jian 箭
'jian'dan'tu 简单图
'jian'hua'gui'ze 简化规则
'jian'yan'cuo'wu 检验错误
'jiao 交
'jiao'huan'ban'qun 交换半群
'jiao'huan'huan 交换环
'jiao'huan'tu 交换图
'jiao'ji 交集
'jiao'yan'wei 校验位
'jiao'yan'zi 校验子
'jiao'yun'suan 交运算
'jie 阶
'jie'he 接合
'jie'he'dai'shu 结合代数
'jie'he'zi 结合子
'jie'kou 截口
'jie'li'xiang 阶理想
'jie'shi'zhen 解释真
'jing'sai'tu 竞赛图
'jiu 纠
'jiu'duo'cuo'ma 纠多错码
'jiu'zheng'cuo'wu 纠正错误
'ju'li 距离
'ju'li'chuan'di'tu 距离传递图
'ju'xing 矩形
'ju'zhen'biao'shi 矩阵表示
'kai'guan'wang'luo 开关网络
'ke'biao'shi'han'zi 可表示函子
'ke'da'guan'xi 可达关系
'ke'fen'kuo'yu 可分扩域
'ke'fen'yuan 可分元
'ke'man'zu'de 可满足的
'ke'neng'shi'jie 可能世界
'ke'yin'zi'hua'de 可因子化的
'ke'zeng'lu 可增路
'ke'zhong'pai'lie 可重排列
'ke'zhong'zu'he 可重组合
'kong'guan'xi 空关系
'kong'ji 空集
'kong'ji'cun'zai'gong'li 空集存在公理
'kong'tu 空图
'kuai 块
'kui'ge 亏格
'kuo'tu 扩图
'kuo'yu 扩域
'la'hui 拉回
'lei 类
'li'fa'shi'bei'lun 理发师悖论
'li'san 离散
'li'xiang 理想
'li'xin'lv 离心率
'lian'jie'de 连接的
'lian'tong'du 连通度
'lian'tong'fen'zhi 连通分支
'lian'tong'tu 连通图
'lian'xu'tong 连续统
'liang'ci 量词
'liang'ci'li'lun 量词理论
'lin'ji 邻集
'lin'jie'cheng'fa 邻接乘法
'lin'jie'ju'zhen 邻接矩阵
'lin'jie'yun'suan 邻接运算
'ling'dui'xiang 零对象
'ling'hua'zi 零化子
'ling'yin'zi 零因子
'ling'yuan'yun'suan 零元运算
'long 笼
'lu 路
'luo'ji'deng'jia 逻辑等价
'luo'ji'yun'han 逻辑蕴涵
'lv'xing'shang'wen'ti 旅行商问题
'lv'zi 滤子
'ma 码
'ma'chang 码长
'ma'lv 码率
'ma'yuan 码元
'ma'zi 码字
'man'she 满射
'man'tai'she 满态射
'mi'han'zi 幂函子
'mi'ji 幂集
'mian 面
'ming'ti 命题
'ming'ti'bian'liang 命题变量
'ming'ti'chang'liang 命题常量
'ming'ti'han'shu 命题函数
'mo'tai'luo'ji 模态逻辑
'mo'tai'ming'ti'luo'ji'xi'tong 模态命题逻辑系统
'mo'tong'tai 模同态
'mo'xing 模型
'nei'mian 内面
'nei'zhi'he 内直和
'ni'guan'xi 逆关系
'ni'tai'she 逆态射
'ni'xiang'ji'xian 逆向极限
'ni'xu'guan'xi 拟序关系
'ni'xu'ji 拟序集
'ni'yun'suan 逆运算
'ni'zi'ran'bian'huan 逆自然变换
'niu'mo 扭模
'niu'yuan 扭元
'nv'sheng'wen'ti 女生问题
'ou'ji'li'de'suan'fa 欧几里德算法
'ou'shi'zheng'huan 欧氏整环
'pan'jue'guo'cheng 判决过程
'pei'dui'gong'shi 配对公式
'pei'ji 陪集
'pei'ji'tou 陪集头
'pi'pei 匹配
'pian'han'shu 偏函数
'pian'xu'guan'xi 偏序关系
'ping'fan'tu 平凡图
'ping'fan'zi'qun 平凡子群
'ping'heng'bu'wan'quan'qu'zu'she'ji 平衡不完全区组设计
'ping'mian'tu 平面图
'ping'xing 平行
'ping'xing'lei 平行类
'pu'ban'jing 谱半径
'qian'jian 前件
'qian'ru 嵌入
'qian'shu'fan'shi 前束范式
'qiao 桥
'qu'jian 区间
'qu'zu'she'ji 区组设计
'quan 圈
'quan'cheng'bi'bao 全称闭包
'quan'cheng'liang'ci 全称量词
'quan'cheng'te'zhi'gui'ze 全称特指规则
'quan'cheng'tui'guang'gui'ze 全称推广规则
'quan'fang'zhen'huan 全方阵环
'quan'guan'xi 全关系
'quan'ji 全集
'quan'ji 圈基
'quan'ju'zhen 圈矩阵
'quan'kong'jian 圈空间
'quan'pai'lie 全排列
'quan'se'shu 全色数
'quan'se'shu'cai'xiang 全色数猜想
'quan'tu 全图
'quan'xiang'liang 圈向量
'quan'xu'ji 全序集
'quan'zhi 圈秩
'quan'zhuo'se 全着色
'que'ding'de 确定的
'qun 群
'qun'ma 群码
'rong'yu'wei 冗余位
'rong'yu'xing'yuan'ze 冗余性原则
'ruo'fan'dui'chen'de 弱反对称的
'san'bei'chong'fu'ma 三倍重复码
'san'ci'jiao'dai'qun 三次交代群
'san'yuan'xi 三元系
'san'yuan'xi'da'ji 三元系大集
'san'zhi'ming'ti'luo'ji 三值命题逻辑
'se'shu 色数
'sen'lin 森林
'shai'fa'gong'shi 筛法公式
'shang'dai'shu 商代数
'shang'he 上核
'shang'ji 上积
'shang'ji 商集
'shang'mo 商模
'shang'qun 商群
'shang'xiang 上象
'sheng'cheng'guo'cheng 生成过程
'sheng'cheng'han'shu 生成函数
'sheng'cheng'ju'zhen 生成矩阵
'sheng'cheng'shu 生成树
'sheng'cheng'zi'tu 生成子图
'shi'duan 始端
'shi'jian'xu'lie 时间序列
'shi'lie'shi 矢列式
'shou'suo 收缩
'shou'xian'ming'ti'xing'shi 受限命题形式
'shu 数
'shu 树
'shu'xue'jie'gou 数学结构
'shuang'mo 双模
'shuang'she 双射
'si'yuan'shu 四元数
'su'yu 素域
'te'yi'yuan 特异元
'te'zheng 特征
'te'zheng'duo'xiang'shi 特征多项式
'te'zheng'han'shu 特征函数
'te'zhi'zhen'zhi 特指真值
'ti 梯
'ti'huan'ding'li 替换定理
'tiao'jian 条件
'tong'dao 通道
'tong'gou'fan'chou 同构范畴
'tong'gou'tai'she 同构态射
'tong'tai 同态
'tong'yong'bao'luo'dai'shu 通用包络代数
'tong'yong'jie'gou 通用结构
'tong'yu'guan'xi 同余关系
'tu 图
'tu'de'bi'bao 图的闭包
'tu'de'bing 图的并
'tu'de'cha'shu 图的叉数
'tu'de'di'ka'er'ji 图的笛卡儿积
'tu'de'jiao 图的交
'tu'de'lian 图的联
'tu'de'mi 图的幂
'tu'de'pu 图的谱
'tu'de'qun 图的群
'tu'de'shou'suo 图的收缩
'tu'de'te'zheng'zhi 图的特征值
'tu'de'tong'gou 图的同构
'tu'de'tong'pei 图的同胚
'tu'de'tong'tai 图的同态
'tu'de'xi'fen 图的细分
'tu'de'xian'qun 图的线群
'tu'de'zi'tong'gou'qun 图的自同构群
'tu'xu'lie 图序列
'tu'zhi 图秩
'tuan 团
'tuan'shu 团数
'tui'chu 推出
'tui'li'gui'ze 推理规则
'wai'dai'shu 外代数
'wai'mian 外面
'wai'ping'mian'tu 外平面图
'wai'yan'gong'shi 外延公式
'wan'mei'tu 完美图
'wan'quan'er'fen'tu 完全二分图
'wan'quan'ge 完全格
'wan'quan'ma 完全码
'wan'quan'tu 完全图
'wan'quan'xing'ding'li 完全性定理
'wang'que'han'zi 忘却函子
'wei'ci 谓词
'wei'fen'dai'shu 微分代数
'wei'yi'fen'jie 唯一分解
'wei'yi'fen'jie'zheng'yu 唯一分解整域
'wu'bei'chong'fu'ma 五倍重复码
'wu'biao'hao'tu 无标号图
'wu'niu'mo 无扭模
'wu'qiong'gong'li 无穷公理
'wu'se'ding'li 五色定理
'wu'xian'kuo'yu 无限扩域
'wu'xian'qun 无限群
'wu'xiang'tu 无向图
'xi'shu 系数
'xi'tong 系统
'xiang'ban'yuan 相伴元
'xiang'deng'gong'li 相等公里
'xuan'ze'gong'li 选择公里
'xun'huan'ban'qun 循环半群
'xun'huan'dan'yuan'ban'qun 循环单元半群
'xun'huan'qun 循环群
'xun'huan'tu 循环图
'yi'yuan'guan'xi 一元关系
'yi'yuan'yun'suan 一元运算
'yin'li 引理
'you'ban'sui'han'zi 右伴随函子
'you'biao'hao'tu 有标号图
'you'dan'yuan'de'huan 有单元的环
'you'ke'xiao'de 右可消的
'you'ling'yin'zi 右零因子
'you'mei'shu'cai'xiang 优美树猜想
'you'mei'tu 优美图
'you'yin'zi 右因子
'yu'fa'xiang'rong 语法相容
'yu'yi'xiang'rong 语义相容
'yu'zhi 余秩
'zhen'bao'han'guan'xi 真包含关系
'zhen'lv'zi 真滤子
'zhen'zheng'yin'zi 真正因子
'zhen'zhi'biao 真值表
'zhen'zhi'biao'ji'shu 真值表技术
'zhen'zhi'han'shu 真值函数
'zhen'zi'qun 真子群
'zheng'chang'zhuo'se 正常着色
'zheng'chu 整除
'zheng'gui'xing 正规形
'zheng'huan 整环
'zheng'jiao'biao 正交表
'zheng'jiao'la'ding'fang 正交拉丁方
'zheng'shu'de'fen'chai'shu 整数的分拆数
'zheng'xiang'ji'xian 正向极限
'zheng'ze'biao'shi 正则表示
'zheng'ze'gong'li 正则公理
'zheng'ze'he'qu'fan'shi 正则合取范式
'zheng'ze'tu 正则图
'zheng'ze'xi'qu'fan'shi 正则析取范式
'zhi 秩
'zhi'he 直和
'zhi'huan'qun 置换群
'zhi'jie'hou'ji 直接后继
'zhi'jie'xian'xing 直接先行
'zhi'jing 直径
'zhi'shu 指数
'zhi'yu 值域
'zhong'duan 终端
'zhong'guo'you'di'yuan'wen'ti 中国邮递员问题
'zhong'jie'dui'xiang 终结对象
'zhong'wen 中文
'zhong'xin 中心
'zhou'chang 周长
'zhu'li'xiang 主理想
'zhu'li'xiang'zheng'huan 主理想整环
'zhuang'tai'zhuan'yi'han'shu 状态转移函数
'zhun'su'xun'huan'mo 准素循环模
'zhuo'se 着色
'zhuo'se'wen'ti 着色问题
'zi 字
'zi'ban'qun 子半群
'zi'bu'tu 自补图
'zi'chu'huan 子除环
'zi'dai'shu 子代数
'zi'fan'chou 子范畴
'zi'fan'de 自反的
'zi'gong'shi 子公式
'zi'guan'xi 子关系
'zi'huan 子环
'zi'ji 子集
'zi'mu 子模
'zi'qun 子群
'zi'ran'bian'huan 自然变换
'zi'ran'tong'gou 自然同构
'zi'ran'tui'li'xi'tong 自然推理系统
'zi'tong'gou 自同构
'zi'tong'tai 自同态
'zi'tong'tai'huan 自同态环
'zi'tu 子图
'zi'you'bian'yuan 自由变元
'zi'you'chu'xian 自由出现
'zi'you'dan'yuan'ban'qun 自由单元半群
'zi'you'yuan 自由元
'zi'yu 子域
'zi'zheng'huan 子整环
'zi'zhi'ji 子直积
'zu'he'shu 组合数
'zui'da'gong'yin'zi 最大公因子
'zui'da'pi'pei 最大匹配
'zui'xiao'ju'li 最小距离
'zui'xiao'yuan 最小元
'zuo'ban'sui'han'zi 左伴随函子
'zuo'ke'xiao'de 左可消的
'zuo'pei'ji 左陪集
'zuo'yong 作用
