'ai'ai'san'zi'yu 哀哀三字狱
'liang'an'feng'guang'gu'ji'chen 两岸风光古迹陈
'liang'nian'ban'jun'gong 两年半竣工
'liang'xiao'fei'jun'zi 量小非君子
'liang'xiu'qing'feng'lai'qu 两袖清风来去
'liao'dong'hua'he'gui'lai'ri 辽东化鹤归来日
'liao'dong'yue'jun'ma 辽东跃骏马
'liao'gong'xi'shi'yan 辽宫昔时燕
'lie'zhan'gong'cun'si'hai'bei 烈战功存四海陂
'lin'ye'qing'ming'yue'se'kai 临夜晴明月色开
'ling'lei'yi'pou'tu 零泪一抔土
'ling'nan'xu'yue'jin 岭南续跃进
'ling'nan'you'tian'chi 岭南有天池
'ling'tuo'dui'dui'guo 铃驮队队过
'ling'yu'ri'ye'chang 囹圄日夜长
'liu'de'feng'gong'wan'gu'cun 留得丰功万古存
'liu'de'hao'qing'zuo'chu'qiu 留得豪情作楚囚
'liu'de'ren'ren'hua'su'hang 留得人人话苏杭
'liu'de'ying'ming'wan'gu'chui 留得英名万古垂
'liu'guang'ning'yu'nv 流光凝玉女
'liu'lang'si'qu'ba'tu'kong 刘郎死去霸图空
'liu'xi'shui'bu'liu 流溪水不流
'liu'you'wen'shan'si'shou'shi 留有文山四首诗
'liu'zuo'jin'ri'xiu 留作今日羞
'long'men'shi'ku 龙门石窟
'long'sha'jiu'shi'shang'xin'de 龙沙旧是伤心地
'long'zheng'hu'dou'feng'yun'hui 龙争虎斗风云会
'lu'gou'xiao'yue'tian'fei'he 芦沟晓月天飞鹤
'lu'hai'kong'jun'qi'fen'jin 陆海空军齐奋进
'lu'man'man'qi'xiu'yuan'yi 路漫漫其修远矣
'lu'shan'qiu'yi'duo 庐山秋意多
'lu'shan'qiu'yu 庐山秋雨
'lu'shan'yun'wu'cha 庐山云雾茶
'lu'xian'gen'duan'zheng 路线根端正
'lu'zhong'ren'kun'you'yu'weng 芦中人困有渔翁
'luo'gang'shan'xia'luo'gang'ci 罗岗山下罗岗祠
'lv'shui'chuan'you'gu 绿水穿幽谷
'lv'wo'juan'di 绿我涓滴
'lv'ye'qing'cong'ying'hua'tai 绿叶青葱映画台
'lv'zhu'qing'shan'ying'zao'xia 绿竹青杉映早霞
'ma'ri'shi'bian'jiao'xun'da 马日事变教训大
'ma'shang'yin'hu'qi'zhan'zheng 马上喑呼起战征
'mai'shan'zhu'wu'kai'shi'she 买山筑屋开诗社
'man'di'gan'ge'jin'yi'ding 满地干戈今已定
'man'jiang'hong 满江红
'man'tang'gong'hua'zhong'xing'shi 满堂共话中兴事
'man'yan'feng'guang'xing'qu'rao 满眼风光兴趣饶
'man'zhou'jing'nei 满洲境内
'mang'mang'da'di'yuan'nan'xiao 茫茫大地愿难销
'mang'mang'da'ye'xi'yun'feng 茫茫大野喜云封
'mao'die'hui'hui'xiang'guo'pian 耄耋恢恢乡国篇
'mei'ci'chu'shi'gan'zeng'xing 每次出师感赠行
'mei'dang'jue'cha'you'rong'shi 每当觉察忧戎事
'mei'ren'zai'san'pen 每人栽三盆
'meng'zhu'xun'wei'yi'dai'xiong 盟主洵为一代雄
'mi'de'yi'shan'xiao'dao'jia 觅得依山小道家
'mi'shi'tan'xin'yu'te'chang 密室谈心语特长
'mi'tian'yun'wu'zi'pai'huai 迷天云雾自徘徊
'mi'wu'tian'liang'shi 密雾添凉湿
'mian'gen'shu'qian'li 绵亘数千里
'min'sheng'zui'nian'kuang'feng'hou 民生最念狂风后
'min'zu'duo'shao'shi 民族多少事
'ming'ri'ge'tian'ya 明日各天涯
'ming'shan'xiu'ye'zhan'yun'feng 名山秀野战云封
'ming'yue'lin'you'hei 明月临幽黑
'ming'yue'qing'tian'bu'suan'kuang 明月青天不算狂
'ming'zhi'hou'shi'fen'nan'shuo 明知后事纷难说
'mo'jiang'sheng'li'gui'lin'ge 莫将胜利归麟阁
'mo'mei 墨梅
'mo'tian'gao'ling 摩天高岭
'mo'zhu'zhong'yuan'zao'ri'qing 默祝中原早日清
'mu'xue'chao'shuang 暮雪朝霜
'na'liang'ren'ji'liao 纳凉人寂寥
'na'ri'cong'rong 那日从容
'na'zhi'guo'shi'chu'nan'guan 那知国士出南关
'nai'fan'an'bu'de'ren'xin 奈翻案不得人心
'nan'bei'qu'chi'xiao'jiang 南北驱驰骁将
'nan'chang'ba'yi'qi'yi'ji'nian'guan 南昌八一起义纪念馆
'nan'di'yi'wu'han 南地已无寒
'nan'dian'ai'you'jie'li'bie 南滇爱友嗟离别
'nan'er'kang'ri'si'sha'chang 男儿抗日死沙场
'nan'er'shang'xiong'fei 男儿尚雄飞
'nan'man'yan'yun 南满烟云
'nan'ni'wan'ji'xing 南泥湾纪行
'neng'lian'xiong'bing'dong'gui'shen 能练雄兵动鬼神
'neng'shu'neng'hua'jian'neng'chang 能书能画兼能唱
'ni'du'fu'zhu'jiang'shi'gan'shi'wu'shou 拟杜甫诸将诗感时五首
'ni'he'meng'bang'cui'chou'lu 拟合盟邦摧丑虏
'ni'shun'shu'tu'jin'gu'qing 逆顺殊途今古情
'ni'zei'ji'zheng'tao 逆贼稽征讨
'nian'nian'di'zhu'tai'feng'xi 年年抵住台风袭
'nian'nian'yu'zhuang'zhi 廿年余壮志
'nian'nian'zheng'dou'bi'ren'lai 年年争斗逼人来
'nian'nu'jiao 念奴娇
'nong'fu'xi'yu'feng'chui'qu 农夫喜雨风吹去
'nong'yuan'jia'gong'zhi 农园加工制
'pan'chi'pang'bo 泮池磅礴
'pan'gui'lai 盼归来
'pei'ban'jia'bin'xun'gu'ji 陪伴佳宾寻古迹
'pei'xiu'shi'zai'huan'xin'tian 培修十载换新天
'pei'yang'ren'cai'bai'lian'jin 培养人材百炼金
'peng'lai'ci'ri'huang'liang'shen 蓬莱此日荒凉甚
'peng'lai'xin'ye'mi'xian'shan 蓬莱昕夜觅仙山
'peng'niao'jiang'tu'nan 鹏鸟将图南
'pin'zhe're'xue 拼着热血
'ping'cang'yu 凭苍宇
'ping'diao'jing'qiu'zhi'jie'hui 凭吊经秋只劫灰
'po'hai'hong'tai'yang 迫害红太阳
'po'jiu'yi'wu'hua'shang'shi 破旧已无花上市
'po'sui'shen'zhou'ri'yi'xun 破碎神州日已曛
'pu'tao'jie'zi'lv'cheng'yin 葡萄结子绿成阴
'qi'ba 其八
'qi'er 其二
'qi'jue'liang'shou 七绝两首
'qi'liang'bu'mei'jing'tong'xiao 凄凉不寐竟通宵
'qi'liu 其六
'qi'lv'yuan'zhu 七律园竹
'qi'pei'shuo 旗旆烁
'qi'qi 其七
'qi'rang'wo'nu'luan'cheng'kuang 岂让倭奴乱逞狂
'qi'san 其三
'qi'shi'li'zhi'yao 七十里之遥
'qi'shuang'le'xiao'yao 气爽乐逍遥
'qi'si 其四
'qi'ting'gu'lun'wei'zuo'lang 汽艇鼓轮微作浪
'qi'tun'wan'li'ru'hu 气吞万里如虎
'qi'wu 其五
'qi'xian'tian'du'zhu 奇险天都著
'qi'xin'yu'gong'sheng'tian'lun 戚欣与共胜天伦
'qi'xu'zi'ji'yan'yun'hei 气嘘紫极燕云黑
'qi'yi 其一
'qi'yi'e'nan'ji'zhi'jun 起义鄂南即治军
'qi'yi'shi'cheng'ba'yue'cha 起义师乘八月槎
'qi'zou'kai'ge'hai 齐奏凯歌还
'qian'dan'shu'zhuang'yuan'guo'se 浅淡梳妆原国色
'qian'feng'guo'bei'ping 前锋过北平
'qian'kun'liang'zao'zheng'chu'xin 乾坤两造政初新
'qian'li'ji'xin'shi 千里寄新诗
'qian'ling'shan'shang'wang'gui'yang 黔灵山上望贵阳
'qian'ling'shan'xia'lie'shi'bei 黔灵山下烈士碑
'qian'qiu'han'ye'tong'tian'yong 千秋汉业同天永
'qian'shen'he'shi'ge'tian'min 前身合是葛天民
'qian'zai'xu'ling'ying'you'hen 千载胥灵应有恨
'qiang'dao'shan'shuo 枪刀闪烁
'qiang'liang'zi'di'san'cheng'ma 强梁子弟三乘马
'qiang'lin'dan'yu'sheng'ya'li 枪林弹雨生涯里
'qiang'she'jin'shen'chang'jiu'liang 强舍金身偿旧粮
'qiao'li'da'qian'jun 巧力打千钧
'qiao'shang'kan'yun'chu'yuan'cen 桥上看云出远岑
'qie'chi'meng'bi'shu'qi'jing 且持梦笔书奇景
'qie'kan'cheng'kong'xing'wan'li 且看乘空行万里
'qin'yuan'chun 沁园春
'qing'bin'wu'duan'yu'bai'tou 青鬓无端欲白头
'qing'dan'chuan'xiang'yuan 清淡传香远
'qing'fang'shui'de'sheng'lan'hua 清芳谁得胜兰花
'qing'fen'zheng'qi'chuan'dang'shi 清芬正气传当世
'qing'huan'yi'dian'bu'wei'kuang 清还一点不为狂
'qing'kan'ren'min'jian'ye'huang 请看人民建业煌
'qing'lin'yong'ju'chuan 青林拥巨川
'qing'ming'jie'che'guo'jia'xing 清明节车过嘉兴
'qing'ming'ri 清明日
'qing'nian'zi'di'duo'hao'jun 青年子弟多豪俊
'qing'shan'shu'si'wei 青山竖四围
'qing'shi'chui'ming'xing'zi'xiang 青史垂名姓字香
'qing'song'ao'gu'ding'ru'shan 青松傲骨定如山
'qing'wang'zhu'qi'feng 晴望诸奇峰
'qing'xin'wei'guo'zhi'wu'wei 倾心为国志无违
'qing'ya'ren'ju'chang'suo'yu 清雅人居畅所欲
'qing'yu'hong 擎玉虹
'qing'yu'jie'yue'mu 晴雨皆悦目
'qiu'dao'mang'shi'gui'hou'xian 秋到忙时贵后先
'qiu'guang'wei'jin'feng'yan'jin 秋光未尽烽烟尽
'qiu'ren'de'dao'bu'xu'sheng 求仁得道不虚生
'qiu'shan'hong'ye'ri'zhang'zhuo 秋山红叶日彰灼
'qiu'shou'qi'yi'zai'nong'cun 秋收起义在农村
'qiu'xing'ba'shou'yong'du'fu'yuan'yun 秋兴八首用杜甫原韵
'qiu'zhi'xin'qie'qu'huang'pu 求知心切去黄埔
'qu'guo'tu'shen'qu'zi'hen 去国徒深屈子恨
'qu'ren'kou 驱稔寇
'qu'zhi'jiang'jie'wang'ying'shu 取之将竭网应疏
'quan'kuang'fei'men'qian 犬狂吠门前
'quan'yao'wei'qi'lian 犬摇尾乞怜
'quan'zai'quan'zai 犬哉犬哉
'que'yi'xing'jun'ying'juan'shu 却忆行军迎眷属
'qun'cai'ke'cheng'tian 群材可撑天
'qun'er'zheng'qu'lan'yang'tou 群儿争取烂羊头
'qun'shan'zhuo'zhuo'jiu'fen'zhi 群山濯濯纠纷峙
'qun'xun'qi'fu'qian 逡巡起伏迁
'qun'zhong'ju'huan'ying 群众俱欢迎
'qun'zhou'feng'zhu'yi 群舟风逐移
'rao'rang'pin'nian'dong'han'jing 扰攘频年动汉旌
'ren'bie'jiao'er'zai'qiang'bao 忍别娇儿在襁褓
'ren'jian'he'di'wu'zha'zi 人间何地无渣滓
'ren'jian'wan'shi'chu'jian'xin 人间万事出艰辛
'ren'min'qin'jian'xin'lao'shen 人民勤俭辛劳甚
'ren'min'zuo'zhu'fei'jing'ying 人民作主费经营
'ren'quan'zai'zhu'zhong'ren'jian 人权再铸重人间
'ren'ren'xi'yue'ying'gui'ke 人人喜悦迎归客
'ren'ren'ying'yong 人人英勇
'ren'shuo'ling'nan'you'zao'chun 人说岭南有早春
'ren'xin'xin'wei'wan'fang'tong 人心欣慰万方同
'ren'you'bu'ke 忍又不可
'ren'zai'bai'yun'nei 人在白云内
'reng'zi'pan'gen'zhong'cao'bang 仍自盘根众草傍
'ri'ben'di'guo'zhu'yi 日本帝国主义
'ri'fei'guo'nei 日匪国内
'ri'fei'si'bu'yuan 日匪死不远
'ri'fei'xin'dan'jing 日匪心胆惊
'ri'guang'yan'shang'wang'tai'peng 日光岩上望台澎
'ri'kou'qi'xiang'xi'er'bu'mei 日寇乞降喜而不寐
'ri'po'yun'tao'wan'li'hong 日破云涛万里红
'ri'wei'jun'qi 日伪军旗
'ri'xie'hu'pan'shi'guan'yu 日斜湖畔试观渔
'rong'jun'ge'ge'hao'wei'jia 荣军个个好为家
'rong'ma'jiang'nan'yu'xi'fen 戎马江南羽檄纷
'rong'ma'shao'nian'ban'tong'xue 戎马少年半同学
'rong'ma'sheng'ya'zhan'shi'mang 戎马生涯战事忙
'rong'tong'zhong'wai'bi'you'hao 融通中外笔尤豪
'rong'yi'he'ri'huan'jin'diao 戎衣何日换金貂
'ru'ci'bang'jiao'zhao'fan'li 如此邦交昭范例
'ru'ci'jiang'shan'wan'xing'ai 如此江山万姓哀
'ru'qiu'ying'yan'jun'ge'ke 入秋莺燕均各客
'ruo'de'chang'shi'yin 若得长时饮
'ruo'guan'yi'cong'rong 弱冠已从戎
'sa'sa'qiu'feng'dong'shang'lin 飒飒秋风动上林
'sa'zai'wei'ming'chang'sheng'hao 卅载威名常胜号
'sai'shang'qiu'feng'bei'zhan'ma 塞上秋风悲战马
'san'guan'si'wai'chui'yan'dan 三官寺外炊烟澹
'san'jiang'chu'qi'bing 三江出奇兵
'san'jiang'he'shui'le'shan'cheng 三江合水乐山城
'san'shi'qi'zai 三十七载
'san'xiang'wei'gang'pi'tou 三项为纲批透
'san'zai'ping'wu'xue'shang'ban 三载平芜血尚斑
'sang'luan'an'suo'ji 丧乱安所极
'sang'tian'bian'cang'hai 桑田变沧海
'sao'di'chu'men'zui'fo'ye 扫地出门罪佛也
'sao'kou'gui'lai'chang'da'feng 扫寇归来唱大风
'sao'shou'wang'yi'long 搔首望仪陇
'sha'chang'zhan'si'jun'he'hen 沙场战死君何恨
'sha'he'an'shang'zhong'he'tian 沙河岸上种禾田
'sha'le'xia'ming'han 杀了夏明翰
'sha'zhi'yi 杀之宜
'shan'cun'xin'yu'hou 山村新雨后
'shan'mu'ceng'zao'ri'kou'fen 山木曾遭日寇焚
'shan'nei'she'dian'zhan 山内设电站
'shan'shui'qu'zhong'yin 山水曲中音
'shan'shui'yong'zeng'guang 山水永增光
'shan'tui'dao'wei'shen 山頽道未伸
'shan'wai'bie'you'tian 山外别有天
'shan'zhong'ji'jing'san'shou 山中即景三首
'shang'bai'yun'shan 上白云山
'shang'bi'man'gou 伤毙满沟
'shang'jiang'xun'ming'ri'yue'gao 上将勋名日月高
'shang'ke'jing'ying'zuo'tu'qiu 尚可经营作菟裘
'shang'qian'ling'shan 上黔灵山
'shang'you'bi'tao'kai'bai'rui 尚有碧桃开白蕊
'shang'you'qing'shan'zai 尚有青山在
'shang'yu'yi'nie'jian'nan'shen 尚余遗孽艰难甚
'shao'nian'bo'lao'geng'qing'qin 少年波老更情亲
'shao'zhuang'fu'yun'shang 少壮扶云上
'she'hui'yi'qing'ren'xiang'le 社会一清人享乐
'she'hui'zhu'yi'you 社会主义优
'shei'yu'si'ren'kang'kai'tong 谁与斯人慷慨同
'shen'hai'dang'nian'xing'zi'biao 深海当年姓字标
'shen'jian'chong'tian'yao 神箭冲天耀
'shen'jing'bai'zhan'cui'qiang'di 身经百战摧强敌
'shen'shen'meng'li'du'chun'qiu 沈沈梦里度春秋
'shen'wu'fu'yang'ren'zong'heng 身无俯仰任纵横
'shen'zhou'bei'ban'dang 神州悲板荡
'shen'zhou'da'lu'qi'sen'sen 神州大陆气森森
'shen'zhou'kai'pi'zhong'huang'hua 神州开辟种黄花
'shen'zhou'luo'ri'qi'ai'hong 神州落日泣哀鸿
'shen'zhou'yue 神州跃
'sheng'li'de'hong'qi 胜利的红旗
'sheng'li'jiao'huo 胜利缴获
'sheng'si'wu'xu'yu 生死无须臾
'sheng'ye'sha'qiu 生也沙丘
'sheng'yu'wu'yue'hua 盛于五月花
'shi'bai'jiao'xun'shi'mang'dong 失败教训是盲动
'shi'bi'da'dao 势必打倒
'shi'cu'yi'yu'yi'mei'di 势蹙一隅依美帝
'shi'fou'jing'rao'bi'jiu'quan 是否惊扰避九泉
'shi'huang'da'zhong'mai'lao'yi 始皇大塚埋劳役
'shi'hui'tui'fan'guang'shi'ce 史秽推翻光史册
'shi'jin'nong'min'qian'zai'su 食尽农民千载粟
'shi'ku'fu'diao'gao'mei'shu 石窟浮雕高美术
'shi'ling'hong'mei'hua'li'xue 史岭红梅花沥血
'shi'mei'de'zi'ran 是美的自然
'shi'nian'feng'bi'shi'fan'mao 十年封闭始繁茂
'shi'nian'sheng'ju'cheng'ping'ri 十年生聚承平日
'shi'nian'yuan'wei'wei 十年愿未违
'shi'pian'xue'jiu 诗篇血就
'shi'pin'tie'xue'zhu'zhong'hua 誓拼铁血铸中华
'shi'ren'jue'xing'he'xu'fo 世人觉醒何须佛
'shi'shang'sui'yue'duan 世上岁月短
'shi'shi'chang'si'xi'yu'qian 世事常思细雨前
'shi'shi'cun 史诗存
'shi'shui'zhi'wei'ji 是谁知伟绩
'shi'tu'lang'ben'hai'yu'sao 豕突狼奔海宇骚
'shi'wei'cao'ye'qi'ying'hao 时危草野起英豪
'shi'xin'wei'guo'du'sheng'ping 矢心为国睹升平
'shi'yi'ren'chen'fu 适意任沉浮
'shi'zai'chun'feng'hua'yu 十载春风化雨
'shi'zai'jian'cheng'xin'zu'guo 十载建成新祖国
'shi'zheng'qiu'gao'you'ma'fei 时正秋高又马肥
'shi'zhi'sheng'xia'shan'shan'lv 时值盛夏山山绿
'shi'zi'ran'de'mei 是自然的美
'shou'ti'niao'ji'zou'huang'tai 兽蹄鸟迹走荒苔
'shou'ying'bi'tui'ru'qin'bing 首应逼退入侵兵
'shu'chuan'qin'ling'xin'zhuang'guo 蜀川秦岭新装过
'shu'dao'ceng'wei'tai'bai'xiang 蜀道曾为太白乡
'shu'di'ting'liu'bo 树底听流波
'shu'hu'yin'qing'yi 倏忽阴晴异
'shu'mi'zheng'shang'xue'fan'niu 数觅郑商学贩牛
'shu'sheng'bian'ying'qi'ru'hong 书生便应气如虹
'shu'tou'jing'su'niao 树头惊宿鸟
'shu'zeng'bo'ao'ya'zhou'lun'tan 书赠博鳌亚洲论坛
'shua'xin'jiu'guo'feng 刷新旧国风
'shuang'dan'dong'xiong'qi'lu'yu 双弹洞胸弃路隅
'shuang'tong'qiu'shui'ban'tian'ming 双瞳秋水伴天明
'shui'diao'ge'tou 水调歌头
'shui'kan'fan'tai'he 谁堪返太和
'shui'kuo'wan'feng'chun 水阔晚风纯
'shui'li'zhen'ke'bao 水利真可宝
'shui'xie'zai'shan'quan 水泻在山泉
'shui'yi'quan'liu'bo'zi'ping 水溢泉流波自平
'shui'yue'jing'hua'kong'se'xiang 水月镜花空色相
'shui'yun'san'fu'ku 谁云三伏苦
'si'ci'xing'wang'yi'er'xi 似此兴亡亦儿戏
'si'fu'he'xu'ji'mu'zhen 思妇何须急暮砧
'si'hai'qun'xian'ju 四海群贤聚
'si'hai'tong'zhi'bian 四海通知遍
'si'jun'ye'ye 思君夜夜
'si'mian'chu'ge 四面楚歌
'si'min'zheng'qiao'cui 斯民正憔悴
'si'nian'qiu'xi'wei'li'fan 四年囚系未离樊
'si'ren'qi'shang'xiong 斯人气尚雄
'si'shi'er'wan'mu 四十二万亩
'si'xing'ying'xiong'ru'gou'zhong 私幸英雄入彀中
'si'ye'sha'qiu 死也沙丘
'si'ye'xiao'xiao'feng'yu'ji 四野萧萧风雨急
'si'you'jiao'long'qi 似有蛟龙起
'song'bie'xiang'wu 送别相无
'song'chao'xian'ren'min'dai'biao'tuan'gui'guo 送朝鲜人民代表团归国
'song'dian'zhao'guang'zhou 送电照广州
'song'feng'shui'yue'qing'ru'xu 松风水月清如许
'song'jiang'feng'huo 松江烽火
'song'qing'bai'cui'gu'xiang'jing 松青柏翠故乡景
'song'zhan'you'bian'ge'zhuang'xing'bao'guo'jia 送战友编歌壮行保国家
'su'sheng'sheng'du'yu 诉声声杜宇
'sui'han'jing'jie'jin'song'bai 岁寒劲节矜松柏
'sui'le'ping'sheng'yi 遂了平生意
'sui'wan'ji'you'er'shou 岁晚寄友二首
'sui'wan'jun'shu'ji 岁晚军书急
'sui'wu'fu'xing'neng'mo'miao 随物赋形能墨妙
'sui'wu'mei'jiang'ma'niu'yang 遂无美蒋马牛羊
'suo'zhu'huang'long'kou 锁住黄龙口
'ta'ba'tou'di'xia 它把头低下
'ta'nian'tong'yin'long'jiang'wai 他年痛饮龙江外
'tai'shan'bu'suan'gao 泰山不算高
'tan'nang'ke'de'shou'jin'ma 探囊可得收金马
'tan'suo'ren'jian'zheng'dao 探索人间正道
'tan'wo'he'shan'qi'lei'hong 叹我河山泣泪红
'tan'xiao'shao'shi'qing 谈笑少时情
'tao'hong'liu'lv'hua'qian'shu 桃红柳绿花千树
'tao'xing'si'fang'wu'hu'zhou 逃形思放五湖舟
'ti'chang'xin'feng'shang 提倡新风尚
'ti'guo'fang'ke'ji'shi'ci'ji 题国防科技诗词集
'ti'jiang'wei'ping'yi'xiang 题蒋卫平遗像
'ti'xiao'ya'zhai 题晓雅斋
'tian'bao'qing'chi'yuan'shou'wang 天宝清池涴寿王
'tian'di'ji'ai'jiu 天地既爱酒
'tian'lang'qi'qing'lu'bu'mi 天朗气清路不迷
'tian'qi'qing'xin'shi'ba'shu 天气清新是巴蜀
'tian'ruo'bu'ai'jiu 天若不爱酒
'tian'shan'ling'shang'xue 天山岭上雪
'tian'shan'xue 天山雪
'tian'xia'kai'ge'sheng 天下凯歌声
'tian'xin'you'qi'zi'you'xin 天心佑启自由心
'tian'you'zhu'wu'yi 天游著武夷
'tian'yu'ji'yuan'dao'mei'zhou 天与机缘到美洲
'tian'zhong'zou'zhe 田中奏折
'tie'chuang'han'che 铁窗寒彻
'tie'dao'bing'tuan'zeng'lao'li 铁道兵团增劳力
'tie'gu'ao'feng 铁骨傲风
'tie'qi'kuang'biao'zheng'zong'heng 铁骑狂飚正纵横
'tie'qi'zong'heng 铁骑纵横
'tie'zhou'sao'er'guang 铁帚扫而光
'tong'chou'di'kai'kang'ri'kou 同仇敌忾抗日寇
'tong'shang'guo'ji'ju'jing'cheng 同商国计聚京城
'tong'shang'ming'yue'feng 同上明月峰
'tong'sheng'zhou'ma'han'jian'zui'bu'ke'rao 同声咒骂汉奸罪不可饶
'tong'yin'huang'long'jiu'shu'bei 痛饮黄龙酒数杯
'tong'zhi'kuai'lai 同志快来
'tong'zhi'qi'yong'yue 同志齐踊跃
'tong'zuo'gan'quan'yu 同作甘泉寓
'tou'bi'cong'rong'qu 投笔从戎去
'tou'ke'duan 头可断
'tu'di'yao'gui'nong'suo'you 土地要归农所有
'tu'shi'ji'liang 徒施伎俩
'tuan'jie'da'jin'jun 团结大进军
'tui'kai'hei'mu'jian'san'chi 推开黑幕剑三尺
'tuo'mao'xi'dong'feng 脱帽喜东风
'wan'gu'yun'zhui'dong 万崮云追动
'wan'li'nan'mei'shi'ri'hai 万里南美十日还
'wan'li'zhao'hun'jing'he'chu 万里招魂竟何处
'wan'liu'dao'yi 挽刘道一
'wan'peng'xue'feng'tong'zhi 挽彭雪枫同志
'wan'quan'qi'xiang'xin 万泉气象新
'wan'xiang'geng'zhao'su 万象更昭苏
'wan'xu'fan'ting'xian'sheng 挽续范亭先生
'wan'yan'rao'si'zhou 蜿蜒绕四周
'wan'yu'qian'yan'chi'zi'qing 万语千言赤子情
'wan'zhong'feng'qi 万众蜂起
'wan'zhong'tong'xin'yong'li'wei 万众同心用力微
'wan'zuo'quan'tong'zhi 挽左权同志
'wang'lai'ju'ju'xing 往来踽踽行
'wang'lin'mang'cong'cong'shi'gu'song 望林莽葱葱是古松
'wang'tian'du'feng'you'gan 望天都峰有感
'wang'tu'dao'tui 妄图倒退
'wang'yu 望雨
'wei'chang'bai'shan'shi'ci'xuan'suo'zuo 为长白山诗词选所作
'wei'cheng'tou'huo'bin'jia'shuang 围城偷活鬓加霜
'wei'fen'yun'suan'gong'wu'bi 微分运算功无比
'wei'fu'guo'xing 为复国兴
'wei'guan'dou'men'zhan'dou'sheng'li'ti'shi 为官陡门战斗胜利题诗
'wei'guan'yi'ren 为官一任
'wei'guo'wu'shi'hai'zi'li 为国无时还梓里
'wei'guo'zhi'xiu'zun'jian'lao 为国之休尊健老
'wei'jian'zheng'shi'xia'jiang'han 未见整师下江汉
'wei'jun'wu'chu'tao 伪军无处逃
'wei'le'ren'min'lai'jie'fang 为了人民来解放
'wei'liu'ya'zi'ti'shi 为柳亚子题诗
'wei'ren'xin'shi'zai'zheng'cheng 伟人心事在争城
'wei'shi'fei'yang'zhen'yuan'guan 威势飞扬镇远关
'wei'ye'zhuang'zhao'dai'suo'ti 为椰庄招待所题
'wei'you'run'zhi'gong'nong'jun 惟有润之工农军
'wei'yuan'xian'ni'gong'chu'yao 为援陷溺共除妖
'wei'zheng'xing'po'la 味正性泼辣
'wei'zheng'zai'qing'lian 为政在清廉
'wei'zu'guo'zhan'zheng 为祖国战争
'wen'ge'juan'feng'yun 文革卷风云
'wen'ri'ben'qi'xiang'gan'fu 闻日本乞降感赋
'wen'tang'liu'bie 温塘留别
'wen'ying'ling'an'zai 问英灵安在
'wen'zhang'bai'dai'ming 文章百代名
'wen'zhang'zhen'wu'zhi'yu 闻张振武之狱
'wo'bei'deng'lin'yi'le'kang 我辈登临亦乐康
'wo'bing'yue'feng'shuang 卧病阅风霜
'wo'chu'ru'shan 我初入山
'wo'he'xi'ci'tou 我何惜此头
'wo'ji'ru'shan 我既入山
'wo'jun'xiang'xi'zheng 我军向西征
'wo'jun'zhan'dou'hao 我军战斗好
'wo'le'lao'pen'zhu'xi'yang 我乐牢盆贮饩羊
'wo'ma'ren'zong'heng 我马任纵横
'wo'ru'ping'shan'chi'yi'bu 我入平山迟一步
'wo'wei'wen'tang'gu'yi'liu 我为温塘故意留
'wo'yu'yi'zhi'wei'bang'yang 我欲以之为榜样
'wu'bai'ping'fang'li 五百平方里
'wu'bei'dang'cuo'tuo 吾辈当蹉跎
'wu'er'nian'qian'bie'liu'qin 五二年前别六亲
'wu'fu'ke'gui'ren 无复可归仁
'wu'gai'ying'xiong'yi'qi 毋改英雄意气
'wu'li'qi'zhi'qing'si'shui 污吏岂知清似水
'wu'se'jing'qi'ying'ri'yin 五色旌旗映日殷
'wu'tai'gao'song'bai'yun'fei 五台高耸白云飞
'wu'ti'bai'zhan'yu'sheng'zhe 无题百战余生者
'wu'wen'nong'mo'zong'tu'lao 舞文弄墨总徒劳
'wu'xian'shang'xin'jie'hou'hua 无限伤心劫后话
'wu'zi'mu'chun'wu'yi'gan'huai 戊子暮春武夷感怀
'xi'dang'nian'fu'jian'shen'zhuang 喜当年富兼身壮
'xi'hu'sheng'jing 西湖盛景
'xi'hu'sheng'jing'liang'shou 西湖盛景两首
'xi'jian'shan'hua'lan'man 喜见山花烂漫
'xi'liu'xuan'ji'shi 溪流喧激石
'xi'mo'jiang'ji'mo'mo'pu 希魔将继墨魔仆
'xi'shu'pian'an'yong'zhe'ju 西蜀偏安庸者据
'xi'shu'zhi'yin'tai'ji'liao 西蜀知音太寂寥
'xi'weng'han'mo'ping 溪翁翰墨瓶
'xi'yang'jing'hao'jin'huang'hun 夕阳景好近黄昏
'xi'zheng'da'jun 西征大军
'xi'zheng'sheng'li'ge 西征胜利歌
'xi'zi'hu'bian'chun'yi'nong 西子湖边春意浓
'xia'qiu'hua'shi'yu 夏秋化时雨
'xia'xiang'qing'huang'dong'yue'xue 夏响青篁冬悦雪
'xian'jian'gen'ju'di 先建根据地
'xian'ren'dong'xia'chan'lan'hua 仙人洞下产兰花
'xian'sheng'geng'chu'qun 先生更出群
'xiang'cao 香草
'xiang'huo'jue'yuan'yu'po'miao 香火绝缘余破庙
'xiang'lu'shan'xia'guo'qing'che 香炉山下过轻车
'xiang'qi'wu'shao'nian 相期吾少年
'xiang'qian'meng'jin 向前猛进
'xiang'shan'you'ren'duo 香山游人多
'xiang'ying'shi'bu'chu'ting'lai 香盈十步出庭来
'xiang'yue'zai'hui'zai'song'hua 相约再会在松花
'xiang'zheng'quan'li'jie'xin'fa 相争权利皆新法
