'a'mu'bu'jia'nv 阿母不嫁女
'bai'zhan'you'sui'liu'wu'wei 百战犹随刘武威
'bai'zhang'qing'tan'yi'xie'gan 百丈清潭一泻干
'bai'zhong'chen'xiang'ting'pan'zhi 百种沉香亭畔枝
'bai'zhou'bo'ren'fan'ju'xiao 白昼搏人繁聚啸
'bai'zhou'xiao'ming'dao'ye'fen 白昼鸮鸣到夜分
'ban'he'shu'wu'sheng 半壑树无声
'ban'sheng'zuo'ji'xian'wei'shang 半生作计闲为上
'ban'shi'sheng'ren'ban'shi'gui 半是生人半是鬼
'ban'shi'zhao'yi'lai'san'dian 班师诏已来三殿
'ban'wen'bai'e'wei'zhong'ting 斑文白额委中庭
'ban'xi'yin'kai'yan 扮戏因开宴
'bao'chai'zhu'xiu'zun'qian'shang 宝钗珠袖尊前赏
'bao'che'luan'chou'sha'qiu'ye 鲍车乱臭沙丘野
'bao'dai'qiao'bian'bo 宝带桥边泊
'bao'de'pi'pa'ma'shang'dan 抱得琵琶马上弹
'bao'gou'he'ta'dian'qi'hou 宝构合沓殿其后
'bao'jian'chong'he 宝剑重合
'bao'liu'tian'shang'lai 暴流天上来
'bao'qi'jing'zhu'yao'seng'qu 宝气竟逐妖僧去
'bao'ying'hu'bian'ge'yu'feng 宝应湖边隔雨风
'bei'feng'bei'lai'jiang'nu'yong 北风北来江怒涌
'bei'feng'chui'cao'mao'xue'xing 北风吹草毛血腥
'bei'feng'chui'zhe'ting'qian'shu 悲风吹折庭前树
'bei'feng'sa'sa'cong'tian'lai 悲风飒飒从天来
'bei'feng'sa'sa'jiang'bo'lv 悲风飒飒江波绿
'bei'feng'shu'li'lai 悲风树里来
'bei'fu'meng'hu'shou'qiang'nu 背负猛虎手强弩
'bei'huan'yi'zui'xing 悲欢异醉醒
'bei'ji'guan'shan'kuo 北极关山阔
'bei'ji'wei'wei'tian'zhi'chi 北极巍巍天咫尺
'bei'li'chuan'tou'zi'cai'ling 背立船头自采菱
'bei'qiong'gu'song 贝琼孤松
'bei'qiong'han'ye 贝琼寒夜
'bei'qiong'mu'ling'xing 贝琼穆陵行
'bei'qiu'yu'wen'qiu'he'chu 悲秋欲问秋何处
'bei'she'dong'lin'wen'ku'sheng 北舍东邻闻哭声
'bei'xing'dao'shou'kong 杯行到手空
'bei'zai'bai'yang'xing 悲哉白杨行
'ben'zou'bi'xiao'he'wei'ye 奔走髀消何位业
'bi'duan'bian'huan'zhen'hai'ren 笔端变幻真骇人
'bi'feng'jiang'guan'du'gui'chi 避风江鹳独归迟
'bi'jian'ju'shi'duan'chang'shi 壁间俱是断肠诗
'bi'men'chun'jin'wu'ren'wen 闭门春尽无人问
'bi'men'chun'yu'hou 闭门春雨后
'bi'men'liao'fu'ai'qi'ming 闭门聊复爱其名
'bi'men'peng'hu'liang'san'jia 荜门蓬户两三家
'bi'qiu'you'dai'di'jing'chen 敝裘犹带帝京尘
'bi'tai'nian'jiu'an'bei'wen 碧苔年久暗碑文
'bi'xue'man'di'jie'shui'cang 碧血满地嗟谁藏
'bi'xue'shui'cai'shuang'shu'zai 碧血谁裁双树栽
'bi'yu'long'shou'zhe'qi'jiao 陛隅龙兽折其角
'bian'geng'lei'chao'yi'po'ce 变更累朝意叵测
'bian'gong'shang'wang'shi'mei'mu 边贡上王氏妹墓
'bian'gong'shi'liu'ye 边贡十六夜
'bian'gong'song'dou'xuan'jing 边贡送都玄敬
'bian'gong'ye'wen'shan'ci 边贡谒文山祠
'bian'shi'you'you'yi'suo'chang 便是悠悠亦所长
'bian'zhu'wei'chuan'ren'suo'zhi 编竹为船任所之
'bian'zhu'wei'li'geng'zai'ci 编竹为篱更栽刺
'bie'hen'zhuan'nan'ping 别恨转难平
'bie'hou'ji'nian'er'nv'da 别后几年儿女大
'bie'hou'jin'he'ru 别后今何如
'bie'jun'nai'he'xu 别君奈何许
'bie'lai'fu'qiu'shen 别来复秋深
'bie'lei'bu'ke'ren 别泪不可忍
'bie'shi'yu'wei'chi 别时鱼尾赤
'bie'yan'ming'hu'cao 别雁暝呼曹
'bing'jian'han'liu'dong'ou'qun 冰间寒溜动鸥群
'bing'jian'shi'zhi'shen'zai'xi 病间始知身在系
'bing'lun'bu'zai'tu 冰轮不载土
'bing'xiao'zhu'cui'wu'xin'rang 冰销珠翠污新壤
'bing'xin'lao'zi'jian 冰心老自坚
'bo'lao'bu'gu'ju'qian'xing 伯劳布谷俱潜形
'bo'ming'bu'ceng'pei'feng'nian 薄命不曾陪凤辇
'bo'ping'xian'li'shi'qin'shi 博平县里侍亲时
'bo'shao'jun'ku'fu'shi 薄少君哭夫诗
'bo'wan'fang'fei'jin 薄晚芳菲尽
'bu'bei'meng'tou'xue'mao'jiao 布被蒙头学猫叫
'bu'chou'qing'jing'yi 不愁清景移
'bu'ci'ben'zou'lao 不辞奔走劳
'bu'ci'ming'mu'gui'huang'ni 不辞瞑目归黄泥
'bu'ci'ta'che'chao'fu'mu 不辞踏车朝复暮
'bu'di'lei'qian'hang 不敌泪千行
'bu'fan'bai'yu'fu 布帆百余幅
'bu'fan'yi'bai'chi 布帆一百尺
'bu'fen'xiang'ming'kan 不分向明看
'bu'ge'bi'lin'yu'fan'li 不隔比邻与藩篱
'bu'guan'yin'rong'ge'si'sheng 不管音容隔死生
'bu'jian'dang'shi'fu'ji'she 不见当时富及奢
'bu'jian'dang'shi'zhe'kan'lang 不见当时折槛郎
'bu'jian'er'xiang'liu'shi'yu 不见尔乡刘侍御
'bu'jian'gu'xiang'ren 不见故乡人
'bu'jian'yu'ting'zhu'si'xiong 不见虞廷诛四凶
'bu'jian'zhu'ling'bai'lu'zhong 不见诸陵白露中
'bu'jin'su'wu'bai'ren'yi 不禁俗物败人意
'bu'jue'dao'chai'men 不觉到柴门
'bu'jue'hong'yan'zuo'diao'shou 不觉红颜坐雕瘦
'bu'kan'fu'xie'fu'yun'zhi 不堪复写拂云枝
'bu'neng'shi'lang'xiu'zuo'ke 不能使郎休作客
'bu'qian'nan'zhi'xiang'bei'chao 不遣南枝向北朝
'bu'ran'du'po'du'ling'wu 不然独破杜陵屋
'bu'ran'xiang'chuan'de'wen'bing 不然相传得瘟病
'bu'rang'kai'yuan'xu'yong'xin 不让开元许永新
'bu'ren'jian'yin'he 不忍见银河
'bu'rong'shu'qi'qin'ji'fu 不容暑气侵肌肤
'bu'ru'dan'shang'hua'zhang'zai 不如担上花长在
'bu'ru'gong'mu'qian 不如供目前
'bu'ruo'chu'sheng'cao 不若初生草
'bu'ruo'xin'ren'ma 不若新人骂
'bu'shi'zhe'hua'ren 不是折花人
'bu'si'chu'zheng'lu'jia'ji 不思初政戮家姬
'bu'si'cong'qian'bo'lang'sha 不似从前博浪沙
'bu'tuo'yin'qu'ku'nai'he 不脱阴区苦耐何
'bu'wei'ben'teng'ji 不畏奔腾急
'bu'wei'er'nv'bei 不为儿女悲
'bu'wei'jian'neng'mao'shen'gui 不谓兼能貌神鬼
'bu'wei'yuan'he'wei'sha'chong 不为猿鹤为沙虫
'bu'wen'yi'ri'duan'ren'xing 不闻一日断人行
'bu'xiang'tang'sheng'geng'wen'nian 不向唐生更问年
'bu'xin'fang'ming'zai'shi'xia 不信芳名在师下
'bu'xin'you'tian'chang'si'zui 不信有天常似醉
'bu'yi'cai'yan'jing 布衣才掩胫
'bu'ying'ji'chu'feng'chen'biao 不应既出风尘表
'bu'ying'xun'ci'di 不应询此地
'bu'yong'chang'jiang'xian'nan'bei 不用长江限南北
'bu'yong'ze'xing'lin 不用择行邻
'bu'zhao'jin'fan'gui 不照锦帆归
'bu'zhi'bie'yi'jiu 不知别已久
'bu'zhi'chun'se'zai'wu'guan 不知春色在吴关
'bu'zhi'feng'huang'shi'qin 不知凤凰是钦
'bu'zhi'jin'chun'lai 不知今春来
'bu'zhi'jun'yi'zhi'jiang'cheng 不知君亦至江城
'bu'zhi'shan'niao'zhuo'pi'pa 不知山鸟啄枇杷
'bu'zhi'shui'fang'hu'yan'ru 不知谁放呼延入
'bu'zhi'shui'jie'pao'you'huan 不知谁解抛忧患
'bu'zhi'tian'wai'yan 不知天外雁
'bu'zhi'you'yue'kong'zhong'xing 不知有月空中行
'bu'zhi'yu'lu'gong 不知雨露功
'bu'zuo'chang'jiu'ji 不作长久计
'bu'zuo'chen'ying'sheng 不作陈瑛生
'bu'zuo'jiao'chi'qu'lian'xi 不作骄痴取怜惜
'cai'cu'yi'xiang'pan 菜簇异乡盘
'cai'huang'you'que'dian'qi'wen 才荒犹缺奠妻文
'cai'luan'jin'ye'shu'liang'jia 彩鸾今夜属良家
'cai'qi'hua'gu'zuo'liang'tou 彩旗花鼓坐两头
'can'deng'dong'you'meng 残灯动幽梦
'can'kui'teng'luo'zheng'fu'tuo 惭愧藤萝争附托
'can'liu'chu'hao'yu'yu'hen 残流初耗雨余痕
'can'xing'shang'neng'qing 残兴尚能清
'can'yue'wei'shang'jiang'you'ming 残月未上江犹明
'cang'bo'jin'juan'jin'zun'li 沧波尽卷金尊里
'cang'e'bai'yang'zhao'mu'sai 苍鹅白羊朝暮赛
'cang'huang'ju'bo'guan 仓皇具薄棺
'cang'huang'wei'zhao'xi 仓皇为朝夕
'cang'jiang'ri'ri'dai'ren'gui 沧江日日待人归
'cang'jiang'yin'ma'bo'xian'jing 沧江饮马波先静
'cang'lang'he'chu'zhe'yu'zhou 沧浪何处着渔舟
'cang'mang'bu'ke'jie 苍茫不可接
'cang'mang'ye'se'qian'shan'yin 苍茫野色千山隐
'cang'ran'shang'can'tian 苍然上参天
'cang'shen'bu'jian'zhi'wen'sheng 藏身不见只闻声
'cang'zu'dan'you'kun'zhou'cui 仓卒但忧坤轴摧
'cao'ge'san'qing'yan 草阁散晴烟
'cao'jian'bai'qi'ru'qun'yang 草间拜泣如群羊
'cao'jian'yao'niao'jin'ji'si 草间妖鸟尽击死
'cao'lu'bu'ci'mang'ju'shi 草露不辞芒屦湿
'cao'sheng'gong'que'he'xiao'xiao 草生宫阙何萧萧
'ce'ce'you'ku'bei 恻恻犹苦悲
'ce'ce'zhong'ce'ce 恻恻重恻恻
'ce'chuang'you'zhi'jin 恻怆犹至今
'ce'ma'gu'cheng'xia 策马孤城下
'ce'mu'kui'qiu'sun 侧目窥秋隼
'ceng'bing'bu'he'shui 层冰布河水
'ceng'ji'ni'chang'xue'de'cheng 曾记霓裳学得成
'ceng'wei'zhang'wang'hu'jin'cheng 曾为张王护禁城
'chai'men'bie'jing'jiu 柴门别经久
'chai'men'zhu'shu'bian 柴门竹树边
'chan'yu'lie'huo'zhao'gan'quan 单于猎火照甘泉
'chan'yu'qin'yu'liu'meng'che 单于亲御六萌车
'chan'yu'sai'wai'shu'long'ma 单于塞外输龙马
'chan'yu'you'jie'lian'jiao'se 单于犹解怜娇色
'chan'yuan'ji'shui'liu 潺湲济水流
'chang'an'duo'di'sai'xiang'mo 长安夺地塞巷陌
'chang'an'feng'tu'shu'bu'e 长安风土殊不恶
'chang'an'nv'er'qiao'si'ren 长安女儿巧伺人
'chang'bian'zhong'ri'shi 长鞭终日施
'chang'cheng'wan'li'bu'fang'hu 长城万里不防胡
'chang'chuang'gong'zuo'qu'shu'zi 长床共坐氍毹紫
'chang'duan'dang'nian'guo'shi'en 肠断当年国士恩
'chang'duan'jin'sha'wan'li'lou 肠断金沙万里楼
'chang'duan'liang'gong'zhong'shuo'xue 肠断两宫终朔雪
'chang'feng'zheng'nu'hao 长风正怒号
'chang'ge'da'gu'shao'zhi'qian 唱歌打鼓烧纸钱
'chang'ge'du'sao'shou 长歌独搔首
'chang'gui'jin'jun'huang'jin'bei 长跪进君黄金杯
'chang'guo'da'yu'chuan 常过打鱼船
'chang'he'dong'liang'chen 阊阖动梁尘
'chang'hong'xi'gua'cai'yun'chou 长虹西挂彩云愁
'chang'huai'jie'shi'men 长淮接市门
'chang'jiang'wan'li'yuan'wu'jin 长江万里元无尽
'chang'kong'yi'dan'han'yuan'si 常恐一旦含冤死
'chang'le'gong'wei'wa'li'chang 长乐宫为瓦砾场
'chang'lin'wu'liu'yue 长林无六月
'chang'ling'song'qiu'yi'shi'wei 长陵松楸已十围
'chang'ling'wan'nian'bao'he'qing'ning'gong 长令万年保合清宁功
'chang'nian'mu'niu'bai'bu'you 长年牧牛百不忧
'chang'shi'dang'ling'jie 常时当令节
'chang'suo'ya'ya'qiu'si'mi 长梭轧轧秋丝密
'chang'xiao'du'deng'lou 长啸独登楼
'chang'yang'he'duo'shu 长养何多术
'chang'yin'dan'luo'xun 长吟但落曛
'chang'zai'xi'hu'yan'shui'bian 常在西湖烟水边
'chao'chui'zhou'yi'yu 朝炊粥一盂
'chao'hui'gu'jiu'cheng'nan'mo 朝回沽酒城南陌
'chao'lai'bu'jian'han'shi'cha 潮来不见汉时槎
'chao'lai'jiang'shui'hun 潮来江水浑
'chao'lai'ru'feng'yu 潮来如风雨
'chao'shi'jin'nian'hai'shang'gui 朝使今年海上归
'chao'ting'yang'jun'wei'sha'zei 朝廷养军为杀贼
'chao'yi'guan'yuan'guo 朝亦官员过
'chao'yuan'dui'li'yi'chu'cheng 朝元队里艺初呈
'che'ma'he'ren'wen'ji'liao 车马何人问寂寥
'chen'ai'bu'jian'zhang'jiang'tu 尘埃不见章江途
'chen'bi'tu'lai'hua'shan'xia 沉璧徒来华山下
'chen'bu'jian'feng'huang 晨不见凤凰
'chen'di'guan'lu'bang 陈第官路傍
'chen'ji'ru'shan'zhong 陈继儒山中
'chen'ji'ru'yue'xia'deng'jin'shan 陈继儒月下登金山
'chen'ji'yi'wo'ming 晨鸡咿喔鸣
'chen'qi'tong'chu'lie 晨起同出猎
'chen'qi'xi'qing'lu 晨起晞清露
'chen'qi'xue'zi'zhuang 晨起学姊妆
'chen'shi'gong'ming'dao'di'tian 尘世功名到底甜
'chen'xian'zhang'xiao'qi 陈献章晓起
'chen'xian'zhang'ya'shan'da'zhong'ci 陈献章厓山大忠祠
'chen'xian'zhang'yue'ma'shi'jun'tian'wen 陈献章阅马氏均田文
'chen'xiang'yan'nuan'bi'chuang'sha 沉香烟暖碧窗纱
'chen'zi'long'chu'xi'you'huai'wang'nv 陈子龙除夕有怀亡女
'chen'zi'long'du'kang 陈子龙督亢
'chen'zi'long'hui'zang'xia'yuan'gong 陈子龙会葬夏瑗公
'chen'zi'long'ming'fei'pian 陈子龙明妃篇
'chen'zi'long'qian'tang'dong'wang'you'gan 陈子龙钱塘东望有感
'chen'zi'long'qiu'ri'za'gan 陈子龙秋日杂感
'chen'zi'long'qiu'xi 陈子龙秋夕
'chen'zi'long'tu'zhong 陈子龙途中
'chen'zi'long'xiao'che'hang 陈子龙小车行
'chen'zi'long'ye'yi 陈子龙夜意
'cheng'ben'li'dian'yang'bing'qi 程本立滇阳病起
'cheng'bian'yi'jian'nan 成编亦艰难
'cheng'dong'xian'ren'lu 城东先人庐
'cheng'en'yi'nuo'jiu'yi'tong 承恩一诺九驿通
'cheng'feng'zhi'xia'song'jiang'xi 乘风直下松江西
'cheng'gong'yi'jiu'ru'shan'lin 成功依旧入山林
'cheng'jia'sui'fu'yang'tong'lu'dao'zhong 程嘉燧富阳桐庐道中
'cheng'jia'sui'gua'zhou'du'tou'feng'xue 程嘉燧瓜洲渡头风雪
'cheng'jia'sui'hua'liu'tan'bie 程嘉燧画柳叹别
'cheng'jia'sui'shan'ju'qiu'huai 程嘉燧山居秋怀
'cheng'li'feng'jun'jiao'wai'yu 城里逢君郊外语
'cheng'min'zheng'jia'chu'yi'quan'shen'xun 程敏政家畜一犬甚驯
'cheng'min'zheng'ma'wei'ba'jing 程敏政马嵬八景
'cheng'shang'shan'xing'rao'jian'kang 城上山形绕建康
'cheng'shi'liao'xi'zhi 乘时聊徙植
'cheng'tou'zuo'yong'rou'shi'ren 城头坐拥肉食人
'cheng'tuo'sheng'bei'ye'wei'yang 城柝声悲夜未央
'cheng'wai'zhi'min'xi'cheng'nei 城外之民徙城内
'cheng'xia'jia'jia'zhong'liu'zhi 城下家家种柳枝
'cheng'xiang'ying'ling'you'wei'xiao 丞相英灵犹未消
'cheng'zhong'ku'sheng'jie'cheng'wai 城中哭声接城外
'cheng'zhong'qi'wan'hu 城中七万户
'cheng'zhong'wan'wu'hui'meng'qi 城中万屋翚甍起
'chi'chu'dao'bang'jiu 踟蹰道傍久
'chi'er'ji'zhuo'zhen'ke'xiao 痴儿计拙真可笑
'chi'nuan'feng'si'zhe'liu'ya 池暖风丝着柳芽
'chi'shang'xin'qing'ou'du'guo 池上新晴偶独过
'chi'shou'wu'suo'ji 赤手无所赍
'chi'song'xiang'hou'zai'yan'xia 赤松相候在烟霞
'chi'su'lv'ti'hai'lv'zhi 尺素屡题还屡掷
'chi'yan'xin'zhuan'san'dian'qu 赤雁新传三殿曲
'chi'zhe'ruo'biao'xing'ruo'yun 驰者若飙行若云
'chong'chao'jin'zhang'kong 崇朝锦幛空
'chong'gui'hua'biao'bu'sheng'qing 重归华表不胜情
'chong'ji'xin'huan'bian 宠极心还变
'chou'chang'pi'hu'yan'shui'shang 惆怅甓湖烟水上
'chou'dui'dong'feng'gan'jiu'you 愁对东风感旧游
'chou'jue'jiang'nan'yu'zi'shan 愁绝江南庾子山
'chou'jue'ke'huai'hun'pa'jian 愁绝客怀浑怕见
'chou'que'chao'zan'bie'han'jia 抽却朝簪别汉家
'chou'ta'sha'ji'fa 愁他杀机发
'chou'yan'zu'wei'qing 愁言卒未倾
'chou'yi'zan'shi'ping 愁亦暂时平
'chou'yun'ya'di'shi'bu'fan 愁云压地湿不翻
'chu'men'mang'ran'he'suo'zhi 出门茫然何所之
'chu'mo'wang'ping'yuan 出没望平原
'chu'mo'wu'wan'kun 出没无完裈
'chu'ri'zhao'han'tao 初日照寒涛
'chu'ru'jun'qie'si 出入君箧笥
'chu'ru'ri'yue'kai'ping'meng 出入日月开帡幪
'chu'shan'tong'yuan'mai 出山通远脉
'chu'shou'reng'xian'zi'jin'en 出守仍衔紫禁恩
'chu'shui'yan'shan'wan'li'chang 楚水燕山万里长
'chu'tou'you'xin'fu 厨头有新妇
'chu'wu'wei'luan'ban'shi'yun 出雾危峦半是云
'chu'zhi'tang'ci'bi 初志傥此毕
'chu'zi'san'suo'zhi 出自三梭织
'chuan'chuan'dou'jie'wu'de'qian 船船斗捷巫得钱
'chuan'tou'zhuan'gang'pin 船头转港频
'chuan'wen'zheng'kong'dao'wu'er 传闻政恐到吾儿
'chuang'fei'zi'kai'wei'bu'shou 窗扉自开卫不守
'chuang'tou'sheng'yao'qiu'yi'mai 床头剩药求医卖
'chui'an'da'tong'cheng 吹暗大同城
'chui'deng'zhao'xiang'juan 垂灯照缃卷
'chui'hua'wu'tuo'lang 吹花误唾郎
'chui'lao'ben'zou'he'ceng'xi 垂老奔走何曾息
'chui'lao'huang'zhou'ke 垂老黄州客
'chui'tou'lang'ji'lei'huang'quan 垂头狼藉类黄犬
'chun'chao'san'zhe'lang'yun'kai 春潮三浙浪云开
'chun'cheng'deng'huo'jing 春城灯火静
'chun'cong'leng'jiu'pei 春从冷旧醅
'chun'feng'chui'ge'chang 春风吹葛长
'chun'feng'mo'xiang'du 春风莫相妒
'chun'feng'san'yue'liu 春风三月柳
'chun'feng'yi'ye'dao'heng'yang 春风一夜到衡阳
'chun'guang'yi'ye'wu'ren'jian 春光一夜无人见
'chun'gui'bu'ken'ting 春归不肯停
'chun'hong'wei'dan'dai'hen'can 春红微淡黛痕残
'chun'lai'shou'cheng'gu 春来瘦成骨
'chun'lai'wu'chu'bu'rong'rong 春来无处不茸茸
'chun'lai'zhao'ying'qin'huai'shui 春来照影秦淮水
'chun'rong'qiu'zi'wei 春荣秋自萎
'chun'se'ren'jian'zong'wei'zhi 春色人间总未知
'chun'se'zui'ba'ling 春色醉巴陵
'chun'shang'he'you'zao'ji'wen 春赏何由早寄闻
'chun'sheng'zai'gu'yu 春声在孤屿
'chun'shui'sheng'shi'yu'shu'qi 春水生时与树齐
'chun'si'xia'juan'shu'shui'qian 春丝夏绢输税钱
'chun'sui'ma'zu'sheng 春随马足生
'chun'yuan'jiu'wu'hui 春园就芜秽
'chuo'xie'ban'cun'meng'gu'zi 绰楔半存蒙古字
'ci'bei'ke'shi'yi'ke'yu 此辈可使亦可虞
'ci'di'yi'chui'gu 此地一垂顾
'ci'di'yu'tu'yuan'bu'xiao 此地舆图原不小
'ci'di'zhen'cheng'gu'guo'kan 此地真成故国看
'ci'gu'hua'bai'xiao'ru'ping 茨菰花白小如萍
'ci'huai'dang'gao'shui 此怀当告谁
'ci'ji'hua'li'qing 此际话离情
'ci'po'sheng'lai'ming'a'xi 此婆生来名阿锡
'ci'ri'bei'suan'xin 此日倍酸辛
'ci'ri'chang'lang'du'zi'deng 此日长廊独自登
'ci'ri'qian'wei'an'sai'guo 此日褰帷按塞过
'ci'ri'xi'yuan'ba'yi'zhi 此日西园把一卮
'ci'shi'chou'sha'huan'si'ma 此时愁杀桓司马
'ci'shi'he'xia'hua'guang'ming 此时何暇化光明
'ci'shi'hu'wei'bu'xi'ting 此时胡为不喜听
'ci'shi'ru'su'ji 此事汝素稽
'ci'shi'you'guo'kuang'si'jia 此时忧国况思家
'ci'shi'zhong'guan'cheng 此时中观成
'ci'tang'yi'you'xi'hu'shu 祠堂亦有西湖树
'ci'tu'ci'jing'fu'shui'jia 此图此景复谁家
'ci'wen'ji'qie'qie'yang'jing 次问及妾妾佯惊
'ci'wu'neng'ji'he 此物能几何
'ci'xian'bian'ji'zhong'dang'di 赐鲜遍及中珰第
'cong'ci'piao'ling'chu'jiao'fang 从此飘零出教坊
'cong'jin'si'hai'yong'wei'jia 从今四海永为家
'cong'lai'shang'zhi'bu'gui'wu 从来上智不贵物
'cong'lai'wan'shi'xian'gao'ge 从来万事嫌高格
'cong'ya'luan'jiang'ji'ruo'fei 丛牙乱桨疾若飞
'cu'e'xiang'wo'yan 蹙额向我言
'cui'beng'dong'she'xiao'tiao'shen 榱崩栋折萧条甚
'cui'cai'shi'lang'jing 綷縩使郎惊
'cui'ku'gu'qi'ran 摧枯固其然
'cui'xiu'qing'hui'xiang'wu'fen 翠袖轻回香雾分
'cun'cun'xiang'xiang'cui'qi'sang 村村巷巷催畦桑
'da'bang'gui'mei'nan'jiu'ju 大邦鬼魅难久居
'da'chuan'xiao'chuan'jing'guan'du 大船小船竞官渡
'da'di'cang'sheng'bei'gan'ze 大地苍生被甘泽
'da'feng'dong'lai'chui'hai'yi 大风东来吹海溢
'da'feng'xiao'se'qi'zhu'ling 大风萧瑟起诸陵
'da'jia'jin'xi'yan'xi'yuan 大家今夕燕西园
'da'jian'chang'dao'ying'shuang'xue 大剑长刀莹霜雪
'da'jiang'jing'qi'pu'bei'feng 大将旌旗仆北风
'da'jiang'lai'cong'wan'shan'zhong 大江来从万山中
'da'jiang'liu'shui'wang'ge'nong 大江流水枉隔侬
'da'lu'chao'mi'niu'ma'qun 大陆朝迷牛马群
'da'nan'ru'guo'mai'tian'ju 大男入郭买田具
'da'shu'wu'zhi'xiang'bei'feng 大树无枝向北风
'da'xue'lian'ying'zhao'lu'lu 大雪连营照鹿卢
'da'ze'gao'zong'bu'ke'xun 大泽高踪不可寻
'da'zhe'sheng'guan'pei'shou'qu 大者升官佩绶趋
'dai'jiao'sen'sen'zhao'quan'tie 戴角森森爪拳铁
'dai'jun'yi'chang'ye 待君以长夜
'dai'li'xiang'gong'shu'shu'zai 袋里相公书疏在
'dan'bo'kan'wei'xiao 澹泊堪为笑
'dan'feng'lou'qian'yue'zheng'ming 丹凤楼前月正明
'dan'fu'lai 担夫来
'dan'gan'yu'fu'chi 但感愚夫嗤
'dan'jian'hu'ming'gui'xiao'xiu'liu'ti 但见狐鸣鬼啸鸺鹠啼
'dan'jian'yi'tiao'shui 但见一条水
'dan'jin'xiang'feng'yi 但尽相逢意
'dan'kong'shu'zu'mai'wo'niu 但恐输租卖我牛
