'ai'ying 哀郢
'li'gong'yong'dao 离宫甬道
'li'xi 李醯
'lian'huan'ji 连环计
'ling'xiu 灵修
'liu'tao 刘涛
'liu'yan'qi 流言起
'long'hui'dan 龙回丹
'lou'xiang 陋巷
'luan'ju'ping 乱局平
'luan'xiang'qi 乱象起
'luo'yi 洛邑
'lv'er 绿耳
'lv'luo 绿萝
'lv'yi 绿衣
'ma'su 马苏
'man'hu'zhi'ying 曼胡之缨
'meng'ao 蒙骜
'meng'ben 孟贲
'meng'ke 孟轲
'meng'ying 孟嬴
'meng'zhao'shi 孟昭氏
'mi'ba'zi 芈八子
'mi'heng 芈姮
'mi'heng 芈横
'mi'huai 芈怀
'mi'huai 芈槐
'mi'rong 芈戎
'mi'shang 芈商
'mi'shu 芈姝
'mi'yao 芈瑶
'mi'ye 芈叶
'mi'yin 芈茵
'mi'yue 芈月
'miu'xian 缪贤
'miu'xin 缪辛
'miu'yi 缪乙
'mo'jia'zhi'nv 墨家之女
'mou'chu'ji 谋楚计
'mou'shi'ce 谋士策
'mu'du 木牍
'mu'gong 穆公
'mu'lai'yin'yan 暮来饮宴
'mu'shao'ai 慕少艾
'nan'ji 南箕
'nan'xun'tai 南薰台
'nei'si'fu 内司服
'niu'ma'heng 牛马横
'nv'kui 女葵
'nv'sang 女桑
'nv'yi'zhi 女医挚
'nv'yu 女御
'pan'gong 泮宫
'pi'jia'chi'ge 披甲持戈
'ping'yuan'jun 平原君
'po'fan'li 破樊篱
'po'xin'li 破心篱
'qi'guo'pi'jiang 齐国辟疆
'qi'xiong'zhi'yi 七雄之一
'qi'zi'zi 七姊姊
'qin'guan'dao 秦关道
'qin'hui'wen'wang 秦惠文王
'qin'wang'fei 秦王妃
'qin'wang'hong 秦王薨
'qin'wang'mou 秦王谋
'qin'zhao'xiang'wang 秦昭襄王
'qin'zheng 秦筝
'qing'chang'duan 情肠断
'qing'tong'jiu'jue 青铜酒爵
'qing'xing 黥刑
'qing'yu'du 情与妒
'qing'yu'pan'chi'yu'zhi'deng 青玉蟠螭玉枝灯
'qiong'jin'chu 穷尽处
'qiong'jiu 琼玖
'qu'fu'gui 去复归
'qu'yuan 屈原
'que'di 阙狄
'qun'lang'si 群狼伺
'ran'di 冉弟
'ran'ren 染人
'rang'hou 穰侯
'rao'liang'qin 绕梁琴
'ren'bi 任鄙
'ren'du'xing 人独行
'ri'lai'gong'lie 日来共猎
'rong'di 戎弟
'ru'xian'yang 入咸阳
'ruan'jiao 软轿
'san'can'cha'fan 三餐茶饭
'san'jia'fen'jin 三家分晋
'sang'ye 桑叶
'sha'ji'xian 杀机现
'shan'gui'wu 山鬼舞
'shan'zhong'ye 山中夜
'shang'jun'mu 商君墓
'shang'yang 商鞅
'shang'yong'cheng 上庸城
'shao'si'ming 少司命
'she'xiang 麝香
'shen'bao'xu 申包胥
'sheng'si'jie 生死劫
'sheng'yu'si 生与死
'shi'lan 石兰
'shu'hou'yun 蜀侯恽
'shu'nv 庶女
'shu'qi 竖漆
'si'fang'guan 四方馆
'si'jun'zi 思君子
'si'ma'cuo 司马错
'si'ming'ji 司命祭
'si'ren'xi 寺人析
'si'shi'shou'yi 四时授衣
'song'yu 宋玉
'su'dai 苏代
'su'qin 苏秦
'su'qin'ce 苏秦策
'su'qin'zhi 苏秦至
'su'sha 素纱
'suan'zhi 酸汁
'sun'li 孙俪
'tai'fu'gong'zi'qian 太傅公子虔
'tai'hou'shi 太后始
'tan'zhen'xin 探真心
'tang'ba'zi 唐八子
'tang'di 唐棣
'tang'fu'ren 唐夫人
'tang'mei 唐昧
'tang'zi'zi 唐姊姊
'tao'gu 鼗鼓
'tian'pian 田骈
'tian'shi'dai'qi 田氏代齐
'tian'xia'feng'qin 天下奉秦
'ting'wei 廷尉
'tong'fu'jie 铜符节
'tong'zhi'fu'jie 铜制符节
'tong'zhi'lian'tai 铜制莲台
'tui'wu'guo 退五国
'wan'cheng 宛城
'wang'hou'shen 王后娠
'wang'hou'xi 王后玺
'wang'ji 王稽
'wei'chou'fu 魏丑夫
'wei'fu'ren 魏夫人
'wei'guo'gong'zhu 魏国公主
'wei'jia 魏甲
'wei'liang'ren 卫良人
'wei'mei'ren 魏美人
'wei'nv'hen 魏女恨
'wei'ran 魏冉
'wei'wang'si 魏王嗣
'wei'yan 魏琰
'wei'yi 魏颐
'wen'li 文狸
'wen'rui 蚊蚋
'wu'huo 乌获
'wu'ming'du 无名毒
'wu'po 五婆
'wu'qi'bian'fa 吴起变法
'wu'wa 吴娃
'wu'zi'xu 伍子胥
'xi'di 西帝
'xi'shi 夕食
'xi'shi 西市
'xi'shi'fu 西市妇
'xi'shi'ju 西市居
'xi'zhou'guo 西周国
'xia'cai 夏采
'xian'yang'cheng 咸阳城
'xian'yang'gong 咸阳宫
'xiang'er 香儿
'xiang'shi 向氏
'xiang'shou 向寿
'xiao'que 小雀
'xiao'shan 崤山
'xiao'yao'you 逍遥游
'xin'ling'jun 信陵君
'xin'wei'ping 心未平
'xiong'heng 熊横
'xiong'shang 熊商
'xuan'niao'wei 玄鸟卫
'xuan'tai'hou 宣太后
'xue'yin 血胤
'xun'san'jun 训三军
'xun'si'ji 巡四畿
'yan'gong'zi 燕公子
'yan'hua 晏华
'yan'jiao 檐角
'yan'nu 阉奴
'yan'wang'mu 燕王母
'yan'xiang 燕香
'yan'yi'hou 燕易后
'yan'yu'zhi'zhan 阏与之战
'yan'zhao'wang 燕昭王
'yang'ling'tai 阳灵台
'yao'gong 瑶宫
'yi'cheng 驿丞
'yi'qu'guo 义渠国
'yi'qu'wang 义渠王
'yi'tang 饴糖
'yin'bing 寅丙
'yin'gui 寅癸
'yin'mou'shi 阴谋施
'yin'xi 印玺
'yin'yang'xiang'xiao 阴阳相淆
'ying'dang 赢荡
'ying'dou'mie 郢都灭
'ying'fu'ren 嬴夫人
'ying'hua 赢华
'ying'ji 嬴姬
'ying'ji 嬴稷
'ying'kui 嬴悝
'ying'kui 赢悝
'ying'sheng 媵生
'ying'shi 媵侍
'ying'si 赢驷
'ying'zhi'huo 鹰之惑
'ying'zhu 嬴柱
'yong'fu'ren 庸夫人
'yong'rui 庸芮
'yu'di 揄狄
'yu'xia 玉匣
'yu'xiao 玉箫
'yuan'ke'zhi 远客至
'yuan'yi 缘衣
'yue'chi 乐池
'yue'yi'jiang'jun 乐毅将军
'yun'meng'ze 云梦泽
'yun'meng'zhi'ze 云梦之泽
'yun'rong 云容
'zhai'li 翟骊
'zhan'xing'shi 占星师
'zhan'yi 展衣
'zhang'bi 杖毙
'zhang'hua'tai 章华台
'zhang'lu 张禄
'zhang'tai'gong 章台宫
'zhang'yi 张仪
'zhang'yi'she 张仪舌
'zhao'he 赵何
'zhao'jiu 赵酒
'zhao'ju 昭雎
'zhao'lei 赵累
'zhao'she 赵奢
'zhao'sheng 赵胜
'zhao'shi'nv 昭氏女
'zhao'wei 赵维
'zhao'wu'ling'wang 赵武灵王
'zhao'yong 赵雍
'zhao'zhu'fu 赵主父
'zhen'sao 贞嫂
'zhen'yu'wei 真与伪
'zheng'xiu 郑袖
'zheng'xiu'ji 郑袖计
'zhi'jue'jing 至绝境
'zhi'yang'li'shan 芷阳骊山
'zhi'zi'fu 质子府
'zhou'nan'wang 周赧王
'zhou'shi 周室
'zhou'tian'zi 周天子
'zhu'he 竹盒
'zhu'hou'zheng'ba 诸侯争霸
'zhu'zi'feng 诸子封
'zhuan'zhu 专诸
'zhui'shi 追师
'zhui'yi'zhao 追遗诏
'zong'nv 宗女
'zou'yan 驺衍
