'ai'qi'tun'suan 嗳气吞酸
'fu'da'yi'zhi'ti 夫大医之体
'fu'fang'ban'mao'jiao'nang 复方斑蝥胶囊
'fu'fang'bie'jia'ruan'gan'pian 复方鳖甲软肝片
'fu'fang'cao'shan'hu 复方草珊瑚
'fu'fang'chen'xiang'wei'pian 复方陈香胃片
'fu'fang'dan'shen'di'wan 复方丹参滴丸
'fu'fang'dan'shen'pian 复方丹参片
'fu'fang'di'fu'kou'fu'ye 复方地茯口服液
'fu'fang'ding'xiang'kai'wei'tie 复方丁香开胃贴
'fu'fang'e'jiao'jiang 复方阿胶浆
'fu'fang'gu'an'xian'an'chang'rong'jiao'nang 复方谷氨酰胺肠溶胶囊
'fu'fang'huang'teng'xi'ye 复方黄藤洗液
'fu'fang'lu'gan'shi'wai'yong'san 复方炉甘石外用散
'fu'fang'luo'bu'ma'pian 复方罗布麻片
'fu'fang'man'shan'bai'tang'jiang 复方满山白糖浆
'fu'fang'nan'xing'zhi'tong'gao 复方南星止痛膏
'fu'fang'xian'zhu'li'ye 复方鲜竹沥液
'fu'fang'xue'shuan'tong'jiao'nang 复方血栓通胶囊
'fu'fang'zao'ren'jiao'nang 复方枣仁胶囊
'fu'gui'gu'tong'ke'li 附桂骨痛颗粒
'fu'ji'xi'ji 肤疾洗剂
'fu'jing'fang'zhi'nan'jing 夫经方之难精
'fu'ling'sheng'jiang'gong'zi'su 茯苓生姜共紫苏
'fu'ming'pian 复明片
'fu'nv'beng'lou 妇女崩漏
'fu'nv'dai'xia 妇女带下
'fu'ren'shang'han 妇人伤寒
'fu'ren'yue'jing'bu'tiao 妇人月经不调
'fu'sha'sheng'qiu'sheng 夫杀生求生
'fu'shen'ye'jiao'an'shen'ning 茯神夜交安神宁
'fu'shu 浮数
'fu'tong 腹痛
'fu'tong'ju'an 腹痛拒按
'fu'tong'tu'xie'mai'wei'xi 腹痛吐泻脉微细
'fu'tong'xi'wen 腹痛喜温
'fu'tong'xia'li 腹痛下利
'fu'wei'yi'zhi'fa 夫为医之法
'fu'yan'kang'fu'pian 妇炎康复片
'fu'yan'shu'jiao'nang 妇炎舒胶囊
'fu'yi'ren'xiang'yu 夫一人向隅
'fu'zhi'qing'ruan'gao 肤痔清软膏
'gan'cao'chang'pu'jian'zhi'shi 甘草菖蒲兼枳实
'gan'cao'jing'mi'si'ban'yi 甘草粳米四般宜
'gan'cao'mu'xiang'da'fu'jia 甘草木香大腹加
'gan'dan'shi'huo'shang'yan 肝胆实火上炎
'gan'feng'shang'rao 肝风上扰
'gan'huang 干黄
'gan'jiang'gan'cao'yu'ren'shen 干姜甘草与人参
'gan'jing'shi're'li'neng'pai 肝经湿热力能排
'gan'jing'shi're'xia'zhu 肝经湿热下注
'gan'ju'chen'ling'shu'pu'ju 甘桔陈苓朮朴具
'gan'ju'lu'gen'liang'jie'fa 甘桔芦根凉解法
'gan'ke'shao'tan 干咳少痰
'gan'ke'tan'shao 干咳痰少
'gan'lu'xiao'du'kou'huo'xiang 甘露消毒蔻藿香
'gan'lu'xiao'du'yin 甘露消毒饮
'gan'man'gao'ben'yu'fang'feng 甘蔓藁本与防风
'gan'mao'ling'ke'li 感冒灵颗粒
'gan'ou 干呕
'gan'pi'qi'yu'zheng 肝脾气郁证
'gan'pi'xue'xu 肝脾血虚
