'ai'qi'tun'suan 嗳气吞酸
'wu'ling'san 五苓散
'wu'ling'san'zhi'tai'yang'fu 五苓散治太阳府
'wu'qing'tong'huan 物情同患
'wu'wei'xiao'du'yin 五味消毒饮
'wu'yu'wu'qiu 无欲无求
'wu'zhu'yu'tang 吴茱萸汤
'wu'zhu'yu'tang'ren'shen'zao 吴茱萸汤人参枣
'wu'zi'yan'zong'wan 五子衍宗丸
'wu'zuo'you'gu'pan 勿左右顾盼
'xi'gua'shuang'run'hou'pian 西瓜霜润喉片
'xi'huang'wan 西黄丸
'xi'jiao'di'huang'shao'yao'dan 犀角地黄芍药丹
'xi'jiao'di'huang'tang 犀角地黄汤
'xi'jiao'xuan'qiao'zhi'shao'ju 犀角玄翘知芍桔
'xi'se 细涩
'xia'li'nong'xue 下痢脓血
'xia'li'qing'shui 下利清水
'xia'qu'bai'zhi'jia'jiang'zao 夏曲白芷加姜枣
'xian'fa'da'ci'ce'yin'zhi'xin 先发大慈恻隐之心
'xian'hao'wu'shi 纤毫勿失
'xian'hua 弦滑
'xian'jin 弦紧
'xian'ling'gu'bao'jiao'nang 仙灵骨葆胶囊
'xian'shou'li'shang'xu'duan'mi'fang 仙授理伤续断秘方
'xiang'cha'xing'hou 详察形候
'xiang'gu'jun'duo'tang'pian 香菇菌多糖片
'xiang'lian'wan 香连丸
'xiang'sha'liu'jun'wan 香砂六君丸
'xiao'bian'bu'li 小便不利
'xiao'bian'chi'se'ci'tong 小便赤涩刺痛
'xiao'bian'duan'chi 小便短赤
'xiao'bian'duan'shao'huang'chi 小便短少黄赤
'xiao'bian'lin'li 小便淋沥
'xiao'bian'lin'zhuo 小便淋浊
'xiao'bian'pin'shuo 小便频数
'xiao'bian'se'zhi 小便涩滞
'xiao'chai'hu'tang 小柴胡汤
'xiao'chai'hu'tang'he'jie'gong 小柴胡汤和解供
'xiao'ding'zhong 消疔肿
'xiao'er'ding'feng'wan 小儿定风丸
'xiao'er'yao'zheng'zhi'jue 小儿药证直诀
'xiao'fu'ji'man 小腹急满
'xiao'gu'shan'ji 消谷善饥
'xiao'ji'yin'zi 小蓟饮子
'xiao'ji'yin'zi'ou'pu'huang 小蓟饮子藕蒲黄
'xiao'jin'wan 小金丸
'xiao'ke 消渴
'xiao'ke'kang'ke'li 消渴康颗粒
'xiao'ke'wan 消渴丸
'xiao'pi'san'jie 消痞散结
'xiao'qing'long'tang 小青龙汤
'xiao'qing'long'tang'zui'you'gong 小青龙汤最有功
'xiao'shi'he'wei'xiao'kan'kua 消食和胃效堪夸
'xiao'shuan'ke'li 消栓颗粒
'xiao'shuan'tong'luo'pian 消栓通络片
'xiao'tong'tie'gao 消痛贴膏
'xiao'yan'li'dan'pian 消炎利胆片
'xiao'yao'san 逍遥散
'xiao'yao'san'yong'dang'gui'shao 逍遥散用当归芍
'xiao'yao'san'yong'gui'shao'chai 逍遥散用归芍柴
'xiao'yao'wan 逍遥丸
'xiao'zheng'yi'gan'pian 消症益肝片
'xie'bai'san 泻白散
'xie'bai'sang'pi'di'gu'pi 泻白桑皮地骨皮
'xie'lei'zhang'men 胁肋胀闷
'xie'li'xia'zhong 泄利下重
'xie're'xia'li 协热下利
'xie're'xia'li'chuan'han'chu 协热下利喘汗除
'xie're'yong'fei'ke'chuan'ji 邪热壅肺咳喘急
'xie'tong 胁痛
'xie'xie 泄泻
'xie'xie'lin'zhuo 泄泻淋浊
'xie'zai'qi'fen 邪在气分
'xin'fan 心烦
'xin'fan'xi'ou 心烦喜呕
'xin'fan'zao'rao 心烦躁扰
'xin'huang'pian 新癀片
'xin'ji 心悸
'xin'ji'shi'mian 心悸失眠
'xin'ji'zheng'chong 心悸怔忡
'xin'jing'huo're'zheng 心经火热证
'xin'ke'shu'jiao'nang 心可舒胶囊
'xin'liang'xuan'fei'qing're'liang 辛凉宣肺清热良
'xin'mai'tong'pian 心脉通片
'xin'men'bu'he 囟门不合
'xin'nao'kang'jiao'nang 心脑康胶囊
'xin'pi'qi'xue'liang'xu'zheng 心脾气血两虚证
'xin're'yi'yu'xiao'chang 心热移于小肠
'xin'shen'bu'jiao 心肾不交
'xin'shen'yang'shuai 心肾阳衰
'xin'shu'bao'pian 心舒宝片
'xin'tong'kou'fu'ye 心通口服液
'xin'xia'gan'cao'he'wu'wei 辛夏甘草和五味
'xin'xia'man'tong 心下满痛
'xin'xia'pi 心下痞
'xin'xia'pi'man 心下痞满
'xin'xia'pi'ying 心下痞硬
'xin'xiong'fan're 心胸烦热
'xin'xu'jing'ji 心虚惊悸
'xin'xue'ning'pian 心血宁片
'xin'zhi'bo'he'gan'cao'qiang 辛芷薄荷甘草羌
'xing'cao'shi'gao'jiang'zao'cang 杏草石膏姜枣藏
'xing'qi'he'wei 行气和胃
'xing'qi'jiang'ni 行气降逆
'xing'qi'san'jie 行气散结
'xing'qi'zhi'tong 行气止痛
'xing'ren'gan'cao'si'ban'shi 杏仁甘草四般施
'xing'su'san 杏苏散
'xing'su'san'nei'xia'chen'qian 杏苏散内夏陈前
'xiong'dan'jiao'nang 熊胆胶囊
'xiong'dan'yan'yao'shui 熊胆眼药水
'xiong'ge'man'men 胸膈满闷
'xiong'ge'pi'men 胸膈痞闷
'xiong'ge'zhang'men 胸膈胀闷
'xiong'man'wan'tong 胸满脘痛
'xiong'men'bu'ji 胸闷不饥
'xiong'men'fu'zhang 胸闷腹胀
'xiong'men'kou'ni'zui'you'ling 胸闷口腻最有灵
'xiong'men'wan'pi 胸闷脘痞
'xiong'pi 胸痞
'xiong'pi'ou'e'zong'neng'chu 胸痞呕恶总能除
'xiong'tong 胸痛
'xiong'wan'pi'men 胸脘痞闷
'xiong'xie'ku'man 胸胁苦满
'xiong'zhong'xue'yu'zheng 胸中血瘀证
'xu'er'sun'zhi 虚而损之
'xu'fan'bu'mian'zheng'duo'duan 虚烦不眠证多端
'xu'fan'shi'mian 虚烦失眠
'xu'han'yin'shui'xiao'kan'kua 虚寒阴水效堪夸
'xu'huo'shang'yan'zheng 虚火上炎证
'xu'lao'fei'wei'xiao'ru'shen 虚劳肺痿效如神
'xu'lao'nei'shang'gong'du'shan 虚劳内伤功独擅
'xu'ming'yi'lei'an 续名医类案
'xu'ren 虚人
'xu'shui'zheng 蓄水证
'xuan'chang'qi'ji 宣畅气机
'xuan'fu'dai'zhe'tang 旋复代赭汤
'xuan'li'fei'qi 宣利肺气
'xuan'shen'bei'mu'ju'gan'cang 玄参贝母桔甘藏
'xuan'yao'sheng'ming 炫耀声名
'xuan'yun 眩晕
'xuan'yun'er'ming 眩晕耳鸣
'xuan'yun'ning 眩晕宁
'xuan'yun'tou'tong'feng'tan'zheng 眩晕头痛风痰证
'xue'fu'dang'gui'sheng'di'tao 血府当归生地桃
'xue'fu'zhu'yu'ke'li 血府逐瘀颗粒
'xue'fu'zhu'yu'tang 血府逐瘀汤
'xue'hua'xia'xing'bu'zuo'lao 血化下行不作劳
'xue'jia'bai'bing'ci'fang'tong 血家百病此方通
'xue'lin 血淋
'xue'lin're'jie'fu'zhi'liang 血淋热结服之良
'xue'mai'rong'wei'zhi'tong'sai 血脉荣卫之通塞
'xue'niao'jiao'nang 血尿胶囊
'xue'sai'tong'ruan'jiao'nang 血塞通软胶囊
'xue'sheng'wei're'huo'xie'gan 血升胃热火邪干
'xue'shi'yi'an 薛氏医案
'xue'shuan'xin'mai'ning'jiao'nang 血栓心脉宁胶囊
'xue'zhi'tong'jiao'nang 血滞通胶囊
'xue'zhong'yu'zhi'yong'tao'hong 血中瘀滞用桃红
'xun'ci'er'tu 寻此贰途
'ya'chi'dong'yao 牙齿动摇
'ya'dan'zi'you'kou'fu'ru'ye 鸦胆子油口服乳液
'ya'tong 牙痛
'ya'tong'chi'ku'yi'jian'chang 牙痛齿枯宜煎尝
'yan'can'jian'wei'jiao'nang 延参健胃胶囊
'yan'gan 咽干
'yan'gan'bi'zao 咽干鼻燥
'yan'gan'kou'ke 咽干口渴
'yan'gan'kou'zao 咽干口燥
'yan'hou'zao'tong 咽喉燥痛
'yan'ke'ning'jiao'nang 炎可宁胶囊
'yan'li'shuang'kou'han'di'wan 咽立爽口含滴丸
'yan'you'ni'shi'wu 厌油腻食物
'yan'zhong'ru'you'wu'zu 咽中如有物阻
'yang'ming'fu'shi'zheng 阳明腑实证
'yang'ming'han'ou'shao'yin'li 阳明寒呕少阴利
'yang'wei'ke'li 养胃颗粒
'yang'xue'an'shen 养血安神
'yang'xue'qing'nao'ke'li 养血清脑颗粒
'yang'yin'ming'yue'jia'qi'ju 养阴明月加杞菊
'yang'yu'jue'ni'zheng 阳郁厥逆证
'yao'she'ming'yu 邀射名誉
'yao'suan'zhi'leng 腰酸肢冷
'yao'sui'xiang'wei'xiao'xiang'cheng 药虽相畏效相成
'yao'teng'jiao'ruo 腰疼脚弱
'yao'xi'suan'ruan 腰膝酸软
'yao'xi'suan'tong 腰膝酸痛
'yao'xu'lin'shi'bu'huo 要须临事不惑
'ye'gan'ma'huang'yi'zhi'shui 射干麻黄亦治水
'ye'mei'bu'ning 夜寐不宁
'yi'bu'de'zhan'qian'gu'hou 亦不得瞻前顾后
'yi'bu'quan'lu 医部全录
'yi'fang'ji'jie 医方集解
'yi'fang'lei'ju 医方类聚
'yi'gan'feng'xie 易感风邪
'yi'gan'qing're'jie'du'pian 乙肝清热解毒片
'yi'guan'jian 一贯煎
'yi'guan'jian'zhong'yong'di'huang 一贯煎中用地黄
'yi'jing 遗精
'yi'lin'gai'cuo 医林改错
'yi'lun'ren'wu 议论人物
'yi'mai'kang'pian 益脉康片
'yi'mu'cao'ke'li 益母草颗粒
'yi'mu'cao'ruan'jiao'nang 益母草软胶囊
'yi'neng'zhi'nan'jing'zhe'ye 艺能之难精者也
'yi'qi'bu'jiang'xin'xia'pi 噫气不降心下痞
'yi'qi'bu'xue 益气补血
'yi'qi'gu'biao'zhi'han 益气固表止汗
'yi'qi'hun'dun'wei'fen 以其混沌未分
'yi'qi'jian'pi 益气健脾
'yi'qi'sheng'jin 益气生津
'yi'qing'jiao'nang 一清胶囊
'yi'shen'jian'gu'pian 益肾健骨片
'yi'shen'juan'bi'wan 益肾蠲痹丸
'yi'shen'ling'jiao'nang 益肾灵胶囊
'yi'suo'bu'ji'ye 亦所不及也
'yi'xiao'mi'chuan 医效秘传
'yi'xin'fu'jiu 一心赴救
'yi'xin'jiao'nang 益心胶囊
'yi'xin'wan 益心丸
'yi'xue'xin'wu 医学心悟
'yi'yi'fu'ling'gan'cao'chen 益以茯苓甘草臣
'yi'yi'xia'chen'ming'liu'jun 益以夏陈名六君
'yi'you'nei'yi'er'wai'tong 亦有内异而外同
'yi'yu'yin'leng 意欲饮冷
'yi'zhi'yang'xu'wai'gan'yin 亦治阳虚外感因
'yi'zhong'kou'ke 颐肿口渴
'yin'chen'hao'tang 茵陈蒿汤
'yin'chen'hao'tang'zhi'yang'huang 茵陈蒿汤治阳黄
'yin'chen'hua'shi'mu'tong'chang 茵陈滑石木通菖
'yin'chen'si'ni'zhi'yin'huang 茵陈四逆治阴黄
'yin'dan'ping'gan'jiao'nang 茵胆平肝胶囊
'yin'dan'xin'tai'di'wan 银丹心泰滴丸
'yin'han 阴汗
'yin'huang'han'hua'pian 银黄含化片
'yin'huo'gui'yuan're'xia'qu 引火归原热下趋
'yin'qiao'san 银翘散
'yin'qiao'san'zhu'shang'jiao'ke 银翘散主上焦疴
'yin're'tong'gui'xiao'bian'zhong 引热同归小便中
'yin'shui'ji'qiang 饮水即呛
'yin'xie'shang'ni'xiong'xie'man 饮邪上逆胸胁满
'yin'xing'mi'huan'kou'fu'rong'ye 银杏蜜环口服溶液
'yin'xing'ye'di'wan 银杏叶滴丸
'yin'xing'ye'pian 银杏叶片
'yin'xu'gan'yu'shi'miao'fang 阴虚肝郁是妙方
'yin'xu'huo'wang'dao'han'liang 阴虚火旺盗汗良
'yin'xu'huo'wang'zi'ke'jian 阴虚火旺自可煎
'yin'xu'xue'shao 阴虚血少
'yin'xu'you'huo 阴虚有火
'yin'yang 阴痒
'yin'yang'bao'shi 阴阳报施
'yin'zhong 阴肿
'ying'xue'xu'zhi'zheng 营血虚滞证
'yong'shi'xian'jiang'ge'gen'zhu 用时先将葛根煮
'you'bu'de'yi'bi'fu'gui 又不得以彼富贵
'you'dao'bing'jia 又到病家
'you'ding'chu 有定处
'you'fu'chen'xian'jin'zhi'luan 有浮沉弦紧之乱
'you'gao'xia'qian'shen'zhi'cha 有高下浅深之差
'you'han'wu'han'jun'ke'chang 有汗无汗均可尝
'you'hou'bo'gang'rou'zhi'yi 有厚薄刚柔之异
'you'lai'shang'yi 由来尚已
'you'shen'mu'fa'huang 有身目发黄
'yu'de'cheng'shen'nei'shi 欲得澄神内视
'yu'dian 瘀点
'yu'ji'wei'yi 玉机微义
'yu'ming'yun'dao'zhong 于冥运道中
'yu'nv'jian 玉女煎
'yu'nv'jian'yong'shu'di'huang 玉女煎用熟地黄
'yu'ping'feng'ke'li 玉屏风颗粒
'yu'ping'feng'san 玉屏风散
'yu'ping'feng'san'zui'you'ling 玉屏风散最有灵
'yu'quan'wan 玉泉丸
'yu'sheng'di'wei 语声低微
'yu'xing'cao'di'yan'ye 鱼腥草滴眼液
'yu'yu'wei'fan 郁郁微烦
'yu'zhu'gan'hua'gong'he'fang 玉竹甘花共合方
'yu'zu'yu'zhong'jiao 郁阻于中焦
'yuan'hu'zhi'tong'jiao'nang 元胡止痛胶囊
'yuan'qin'shan'you 怨亲善友
'yuan'zhi'fu'ling'gong'yang'shen 远志茯苓共养神
'yue'jing'chao'qian 月经超前
'yue'jing'liang'duo 月经量多
'yun'kang 孕康
'yun'nan'bai'yao'jiao'nang 云南白药胶囊
'zai'jia'fu'zi'geng'fu'yang 再加附子更扶阳
'zao'shang'fei'yin 燥伤肺阴
'zao'shi'hua'tan 燥湿化痰
'zao'shi'yun'pi 燥湿运脾
'zao'shi'yun'pi'chu'zhang'man 燥湿运脾除胀满
'zao'tang'tiao'fu'yi'pi'shen 枣汤调服益脾神
'ze'ang'tou'dai'mian 则昂头戴面
'ze'shi'er'yong'zhi 则市而用之
'ze'xie'bai'zhu'yu'er'ling 泽泻白术与二苓
'ze'xie'zheng'bing'hu'wan'fu 泽泻蒸饼糊丸服
'zeng'ye'tang 增液汤
'zeng'ye'xuan'shen'yu'di'dong 增液玄参与地冬
'zhang'yan'ming'pian 障眼明片
'zhang'you'yan'chi 长幼妍蚩
'zhang'zhan'yue 张湛曰
'zhao'jia'se'dan 爪甲色淡
'zhen'ju'jiang'ya'pian 珍菊降压片
'zhen'qi'fu'zheng'jiao'nang 贞芪扶正胶囊
'zhen'wu'tang 真武汤
'zhen'wu'tang'zhuang'shen'zhong'yang 真武汤壮肾中阳
'zhen'xiu'die'jian 珍羞迭荐
'zheng'chai'hu'yin'ke'li 正柴胡饮颗粒
'zheng'chong'jian'wang'ju'ke'que 怔忡健忘俱可却
'zheng'lu'wan 正露丸
'zheng'pian'tou'tong'xi'neng'kang 正偏头痛悉能康
'zheng'qing'feng'tong'ning'pian 正清风痛宁片
'zheng'ti'lei'yao 正体类要
'zheng'xin'tai'jiao'nang 正心泰胶囊
'zheng'zhi'zhun'sheng 证治准绳
'zhi'bai'di'huang'wan 知柏地黄丸
'zhi'bi'tuo'pian 脂必妥片
'zhi'chuang'pian 痔疮片
'zhi'cun'jiu'ji 志存救济
'zhi'gan'cao'tang 炙甘草汤
'zhi'gan'cao'tang'can'jiang'gui 炙甘草汤参姜桂
'zhi'ju'ling'cao'jiang'zao'yan 枳桔苓草姜枣研
'zhi'kang'pian 痔康片
'zhi'ke'hua'tan 止咳化痰
'zhi'pian'tong'ke'li 治偏痛颗粒
'zhi'ren'zhi'suo'bu'wei 至人之所不为
'zhi'ru'ji'luan'yi'wu 只如鸡卵一物
'zhi'shi'dao'zhi'shou'da'huang 枳实导滞首大黄
'zhi'shi'dao'zhi'wan 枳实导滞丸
'zhi'shi'qin'xia'bai'shao'jiang 枳实芩夏白芍将
'zhi'shi'yi'ke'xing'qi'liang 枳实易壳行气良
'zhi'shu'kuan'zhong'jiao'nang 枳术宽中胶囊
'zhi'sou'san 止嗽散
'zhi'sou'san'nei'yong'jie'geng 止嗽散内用桔梗
'zhi'suan'yan'tong 肢酸咽痛
'zhi'ti'chen'zhong 肢体沉重
'zhi'ti'fu'zhong 肢体浮肿
'zhi'ti'juan'dai 肢体倦怠
'zhi'ti'kun'zhong 肢体困重
'zhi'xue'jiao'nang 痔血胶囊
'zhi'yi'shen'xin 至意深心
'zhi'yu'ai'ming 至于爱命
'zhi'zai'xie'gan'yu'shi'pi 治在泻肝与实脾
'zhi'zhu'chen'pi'jia'ban'zao 枳竹陈皮加半枣
'zhi'zi'bai'pi'jia'gan'cao 栀子柏皮加甘草
'zhi'zi'da'huang'zu'cheng'fang 栀子大黄组成方
'zhi'zi'huang'qin'yi'wu'cao 栀子黄芩益毋草
'zhong'jing'ma'xing'gan'shi'tang 仲景麻杏甘石汤
'zhong'jing'xuan'fu'dai'zhe'tang 仲景旋覆代赭汤
'zhong'tong'an'jiao'nang 肿痛安胶囊
'zhong'yi'nei'ke'za'bing'zheng'zhi'xin'yi 中医内科杂病证治新义
'zhong'yong'sheng'jiang'wen'wei'hao 重用生姜温胃好
'zhou'ye'han'shu 晝夜寒暑
'zhu'ling'ze'xie'dou'chi'qun 猪苓泽泻豆豉群
'zhu'shu'dan'ze'di'ling'zhuan 茱薯丹泽地苓专
'zhu'ye'jing'bang'chi'bo'he 竹叶荆蒡豉薄荷
'zhu'yu'pai'nong 逐瘀排脓
'zhu'zhi'shi'wen'kou'bu'ke 主治湿温口不渴
'zhuan'xin'jing'lue'cai'wu 专心经略财物
'zhuang'gu'shen'jin'jiao'nang 壮骨伸筋胶囊
'zhuang're'mian'chi 壮热面赤
'zhuo'yin'shang'ni'zheng 浊阴上逆证
'zi'bu'gan'shen 滋补肝肾
'zi'gan'duo'fu'zhe'er 自感多福者耳
'zi'gu'ming'xian'zhi'bing 自古明贤治病
'zi'hui'zhu'yi 訾毁诸医
'zi'jin'ji'de 自矜己德
'zi'lv'ji'xiong 自虑吉凶
'zi'nai'ren'shen'zhi'suo'gong'chi 兹乃人神之所共耻
'zi'pi'gan'xing'zao'sheng'jiang 梓皮甘杏枣生姜
'zi'shen'yin 滋肾阴
'zi'su'san 紫苏散
'zi'wan'ban'xia'jia'wu'wei 紫菀半夏加五味
'zi'wan'jing'jie'bai'bu'chen 紫菀荆芥百部陈
'zi'xuan'gong'neng 自眩功能
'zi'yang'fei'shen 滋养肺肾
'zi'yin'dou'qi'wu'wei'xian 滋阴都气五味先
'zi'yin'qing're 滋阴清热
'zi'yin'shu'gan 滋阴疏肝
'zi'yin'xie'huo 滋阴泻火
'zi'yin'xie'huo'jian'gu'biao 滋阴泻火兼顾表
'zi'yin'zhi'xue 滋阴止血
'zong'qi'luo'man'mu 纵绮罗满目
'zu'gen'zuo'tong 足跟作痛
'zu'shi'ma'pian 祖师麻片
'zuo'gui'wan 左归丸
