'ai'wo'wo 艾窝窝
'ye'zhu'rou 野猪肉
'yi'pin'dou'fu 一品豆腐
'yi'pin'guan'yan 一品官燕
'you'men'cao'gu 油焖草菇
'you'men'xian'mo 油焖鲜蘑
'you'yu'juan 鱿鱼卷
'yu'cai'san'pin 御菜三品
'yu'cai'si'pin 御菜四品
'yu'cai'wu'pin 御菜五品
'yu'cai'yi'pin 御菜一品
'yu'mian'hu'lu 玉面葫芦
'yu'shan'dou'huang 御膳豆黄
'yu'shan'kao'ji 御膳烤鸡
'yu'sun'jue'cai 玉笋蕨菜
'yu'tu'bai'cai 玉兔白菜
'yu'zhang'xian'shou 玉掌献寿
'yuan'bao'zi'ge 芫爆仔鸽
'yun'dou'juan 芸豆卷
'zao'ni'gao 枣泥糕
'zhi'ma'juan 芝麻卷
'zhi'ma'nan'tang 芝麻南糖
'zhi'ma'yu 芝麻鱼
'zhu'lan'da'fang 珠兰大方
'zi'xiang'qian 紫香乾
