'a'fei 阿飞
'lei'shou 雷兽
'li'lian'hua 里莲华
'li'luo'ke 李洛克
'li'shen'yin 离身印
'lian'kong'tan 练空弹
'ling'mei'zhi'shu 灵媒之术
'long'fen'shen'zhi'shu 胧分身之术
'long'huo'zhi'shu 龙火之术
'luo'xuan'wan 螺旋丸
'mai'luo 脉络
'mao'you 猫又
'ming'ren'lian'tan 鸣人连弹
'ming'wang 冥王
'mo'huan'jing'tian'di 魔幻镜天地
'mo'jing'bing'jing 魔镜冰晶
'mu'dun 木遁
'mu'ye 木叶
'mu'ye'bai'ya 木叶白牙
'mu'ye'da'xuan'feng 木叶大旋风
'mu'ye'lie'feng 木叶烈风
'mu'ye'ren'zhe 木叶忍者
'mu'ye'wan 木叶丸
'mu'ye'xuan'feng 木叶旋风
'nai'lao'jian'zhi'shu 奈烙见之术
'nai'liang'lu'wan 奈良鹿丸
'ni'ren'ren'fa 拟人忍法
'ni'shou'ren'fa 拟兽忍法
'ni'ying'shu 拟影术
'nie'pan'jing'she'zhi'shu 涅盘精舍之术
'nong'mei 浓眉
'pei'en 佩恩
'pei'yin 佩因
'peng'hou 彭侯
'qi'mu'ka'ka'xi 旗木卡卡西
'qi'mu'shuo'mao'chuan 旗木蒴茂传
'qian'dai'po'po 千代婆婆
'qian'nian'sha 千年杀
'qian'niao 千鸟
'qian'sha'shui'xiang 千杀水翔
'qian'ying'she'shou 潜影蛇手
'qie'dou 切都
'qing'long 青龙
'qiu'dao'ding'ci 秋道丁次
'quan'zhong'ya 犬冢牙
'ren'shi'zha 认识札
'ren'zhu'li 人柱力
'ri'xiang'chu'tian 日向雏田
'ri'xiang'hua'huo 日向花火
'ri'xiang'ning'ci 日向宁次
'ri'xiang'ri'cha 日向日差
'ri'xiang'ri'zu 日向日足
'ri'xiang'yi'zu 日向一族
'rou'dan'zhan'che 肉弹战车
'san'dai 三代
'san'ri'yue'zhi'wu 三日月之舞
'se'you'zhi'shu 色诱之术
'sen'nai'yi'bi'xi 森乃伊比喜
'sha'juan'jiu 砂縳柩
'sha'pu'song'zang 砂瀑送葬
'sha'ren 沙忍
'sha'shou'li'jian 砂手里剑
'shan'zhong'jing'ye 山中井野
'shang'men 伤门
'shang'ren 上忍
'she'chi'zhan'suan 舌齿粘酸
'shen'yue'chu'yun 神月出云
'sheng'men 生门
'shi'gui'feng'jin 尸鬼封尽
'shou'he 守鹤
'shou'he'zhi'mao 守鹤之矛
'shou'ju 手鞠
'shou'li'jian 手里剑
'shou'li'jian'ying'fen'shen 手里剑影分身
'shu'jiao 鼠蛟
'shu'jie'jiang'dan 树界降诞
'shuang'she'xiang'sha 双蛇相杀
'shui'dun 水遁
'shui'fen'shen'zhi'shu 水分身之术
'shui'lao'zhi'shu 水牢之术
'shui'long'tan'zhi'shu 水龙弹之术
'shui'mu 水木
'shui'ying 水影
'shui'zhen'bi 水阵壁
'shui'zhi'guo 水之国
'si'dai 四代
'si'hun'zhi'shu 死魂之术
'si'jiao'zhi'shu 四脚之术
'si'men 死门
'si'zi'yan'zhen 四紫炎阵
'tao'di'zai'bu'zhan 桃地再不斩
'ti'shen'shu 替身术
'ti'shu 体术
'tian'cai'ren'zhe 天才忍者
'tian'suo'ji 天锁祭
'tian'tian 天天
'tian'yuan'zhi'guo 田园之国
'tian'zhao 天照
'tie'pao'yu 铁炮玉
'tie'xue'kai 铁血凯
'tong'ling'shu 通灵术
'tong'ling'zhi'shu 通灵之术
'tu'dun 土遁
'tu'liu'bi 土流壁
'tu'zhi'guo 土之国
'wan'hua'tong'xie'lun'yan 万花筒写轮眼
'wan'she 万蛇
'wei'shou 尾兽
'wo'ai'luo 我爱罗
'wu'xing'feng'yin 五行封印
'wu'yin'shu 雾隐术
'xi'ri'hong 夕日红
'xia'cong'zhe'zhi'shu 霞从者之术
'xia'ren 下忍
'xiao'nan 小南
'xie'lun'yan 写轮眼
'xin'xie'lun'yan 新写轮眼
'xin'zhuan'shen'zhi'shu 心转身之术
'xiu'men 休门
'xuan'wo'ming'ren 漩涡鸣人
'xuan'wo'qi'nai 旋涡齐奈
'xuan'wu 玄武
'xue'ji'xian'jie 血继限界
'ya'kua'tan'fan'shu 压垮摊贩术
'ya'tong'ya 牙通牙
'yao'shi'dou 药师兜
'yi'dai 一代
'yi'le'la'mian 一乐拉面
'ying'fen'shen'shu 影分身术
'ying'fen'zhi'shen'shu 影分之身术
'ying'fu'jing'zhi'shu 影缚颈之术
'ying'zi'mo'fang'shu 影子模仿术
'you 鼬
'you'jin 右近
'you'nv'zhi'nai 油女志乃
'yu'lu'qian'zhen 雨露千针
'yu'nv 玉女
'yu'ren 雨忍
'yu'shou'xi'hong'dou 御手洗红豆
'yu'zhi'bo'you 宇智波鼬
'yu'zhi'bo'zuo'zhu 宇智波佐助
'yuan'fei 猿飞
'yuan'fei'a'si'ma 猿飞阿斯玛
'yue'du 月读
'yue'guang'ji'feng 月光疾风
'zhan'kong'bo 斩空波
'zhan'kong'ji'bo 斩空极波
'zhen'di'zang 针地藏
'zhi'zhu'fu 蜘蛛缚
'zhong'ren 中忍
'zhou'yin 咒印
'zhu'que 朱雀
'zhui'ya'zhi'shu 追牙之术
'zi'lai'ye 自来也
'zi'sha'zhan'shou'zhi'shu 自杀斩首之术
'zuo'jin 左近
