'a'ka'liu'si'zhi'dun 阿喀琉斯之盾
'ri'chang'xun'cha 日常巡查
'sai'ha'mu 塞哈姆
'sai'si 赛斯
'san'zhai'jian'tai 三宅健太
'san'zhou'mu 三周目
'sen'chuan'zhi'zhi 森川智之
'shang'hai 伤害
'shang'hai'ce'shi 伤害测试
'shen'du'jian 神度剑
'shen'mi'shen'qi'shi 神秘神器使
'shen'qi'shi 神器使
'shen'qi'shi'sheng'xing'gong'lue 神器使升星攻略
'shen'shi 神使
'shen'zhi'jiu'shu 神之救赎
'shi'jie'shu 世界树
'shi'kong'luan'liu 时空乱流
'shu'qian 书签
'shuang'hun 双魂
'si'zhou'mu 四周目
'sui'shen'ta'tai 随身塔台
'ta'yue'bu 踏月步
'tai'ji'tu 太极图
'tai'si'la 泰丝拉
'teng'tian'xiao 藤田咲
'tian'gou'mian 天狗面
'tian'wan'du'zhi 田丸笃志
'tian'zhi'fu'qiao 天之浮桥
'tian'zhong'qian'hui'mei 田中千惠美
'tiao'yue'de'jiu'shui 跳跃的酒水
'tiao'zhan'wan'fa 挑战玩法
'tong'guan'ce'shi 通关测试
'wan'zang'ting 万葬亭
'wei'la 薇拉
'wen'ting'qi'guan 雯庭棋馆
'wen'zi 雯梓
'wu'jin'lun'hui'de'yong'mian 无尽轮回的永眠
'wu'lu 乌鹭
'wu'zhou'mu 五周目
'xi'bi'er 西比尔
'xi'gu'liang 西谷亮
'xi'luo 希罗
'xi'sheng'de'yi'yi 牺牲的意义
'xi'xue'lv 吸血率
'xia'shou 夏狩
'xiao'shi'de'nv'pu 消失的女仆
'xing'dong'dian 行动点
'xing'gan'qi'shou 性感棋手
'xing'hong'wu'hui 猩红舞会
'xing'lai 醒来
'xue'lu'ji'shou 血颅疾首
'xue'yuan'jia'er 学园伽儿
'yan'hua 晏华
'yan'jiu'yu'mi 研究羽弥
'yi'lei 异类
'yi'ye'pian'zhou 一叶扁舟
'yi'zhou'mu 一周目
'yin'fan'zhi'bai'tu 因幡之白兔
'ying'da 影打
'ying'yu'guan 鹰羽冠
'ying'zhuang 影装
'yong'heng'zhi'qiang 永恒之枪
'you'mu'bi 悠木碧
'you'tong 幽桐
'yu'mi 羽弥
'yu'she'zhi'lin 羽蛇之鳞
'yue'dong'zhi'shui 跃动之水
'zao'jian'sha'zhi 早见沙织
'zhai'xing'ji 摘星击
'zhan'shou'jian 斩首剑
'zhang'ai 障碍
'zhang'ai'ce'shi 障碍测试
'zhen'zi 镇子
'zheng'yi'de'jue'duan 正义的决断
'zheng'yi'shi'zhe'de'hui'ci 正义使者的惠赐
'zhi'pai'wu 纸牌屋
'zhi'xian 执先
'zhong'cun'ying 中村樱
'zhong'han'gu 钟函谷
'zhong'hui'guang'cheng 中恵光城
'zhong'jie 终结
'zhong'yang 中央
'zhong'yang'sai'si 中央赛斯
'zhong'yang'ting 中央庭
'zhong'yu'zhao'dao'ni'le 终于找到你了
'zi'you'dao 自由岛
'zou'fang'cai'hua 诹访彩花
