'a'wei 阿魏
'chang'shan 常山
'chang'shan'ye 常山叶
'chang'shou'cao 长寿草
'chang'yang 菖阳
'chen'gan'pi 陈柑皮
'chen'ke 沉疴
'chen'zong'tan 陈棕炭
'cheng'liu 柽柳
'chi'bo 赤瓟
'chi'can 赤参
'chi'pi 鍉铍
'chi'shi 赤石
'chi'shu 赤术
'chi'zhi 赤芝
'chi'zong 瘛瘲
'chong'lou 重楼
'chong'tui 虫退
'chong'wei 茺蔚
'chong'yu'zi 充玉子
'chou'bao 丑宝
'chou'jing'jie 臭荆芥
'chou'niu'zi 丑牛子
'chou'pi'chong 臭屁虫
'chu'shi'zi 楮实子
'chu'ti 怵惕
'chuan'bai 川柏
'chuan'di'long 穿地龙
'chuan'jin'long 川筋龙
'chuan'lian 川连
'chuan'long'gu 穿龙骨
'chuan'shan'jia 穿山甲
'chuan'xin'lian 穿心莲
'chuan'xiong 川芎
'chuan'xiong 川雄
'chuang'shang 创伤
'chun'hua 春花
'chun'ma 春麻
'chun'xie 春蝎
'ci'ji'cai 刺蓟菜
'ci'li'zi 刺梨子
'cou'li 腠理
'cun'xiang 寸香
'cun'yun 寸云
'cuo'cao 锉草
'da'ci'er'cai 大刺儿菜
'da'cun'dong 大寸冬
'da'fu'mao 大腹毛
'da'fu'rong 大腹绒
'da'huang 大黄
'da'huo 大活
'da'huo'xue 大活血
'da'ji 大蓟
'da'li'can 大力参
'da'ma'zi 大麻子
'da'mai'su 大麦粟
'da'pian'bai 大片白
'da'xue'tong 大血通
'da'yan'ke 大烟壳
'da'yun 大云
'dan'dou'chi 淡豆豉
'dan'nan'xing 胆南星
'dan'sha 丹砂
'dan'zhu'mi 淡竹米
'dan'zhu'ye 淡竹叶
'dang'shen 党参
'dao'gen'cao 倒根草
'dao'jian'cao 刀剪草
'dao'ya 稻芽
'deng'tai'cao 灯台草
'deng'tai'qi 灯台七
'di'jing 地精
'di'ku'dan 地苦胆
'di'luo'si 地螺丝
'di'ru'shi 滴乳石
'di'xian 地仙
'di'you'liu 帝油流
'ding'feng'cao 定风草
'ding'zi'xiang 丁子香
'dong'gua'ren 冬瓜仁
'dong'ma 冬麻
'dong'qing'zi 冬青子
'dong'shu 冬术
'du'bei 肚倍
'du'hong'hua 杜红花
'du'huo 独活
'du'juan'ye 杜鹃叶
'du'mao 毒瑁
'du'mao'gen 独茅根
'du'qu'cao 毒蛆草
'du'sheng'cao 毒绳草
'du'su'zi 杜苏子
'du'yao'cao 独摇草
'dui'zuo'cao 对座草
'e'bu'shi'cao 鹅不食草
'e'jiao 阿胶
'e'ke 额颏
'e'zhu 莪术
'er'bao'hua 二宝花
'er'chou 二丑
'er'hua 二花
'fa'tan 发炭
'fan'bai'cao 翻白草
'fan'xie'ye 番泻叶
'fang'ba 方八
'fang'dang 防党
'fei'gan'shi 飞甘石
'fei'meng 蜚虻
'fei'zhu'cai 肥猪菜
'fen'cao 粉草
'fen'ge 粉葛
'fen'nie 分蘖
'feng'chan 锋鑱
'feng'chao 蜂巢
'feng'dou 枫斗
'feng'fang 蜂房
'feng'guo 枫果
'feng'hua'xiao 风化硝
'feng'la 蜂腊
'feng'mi 蜂蜜
'feng'shu'qiu 枫树球
'feng'wei'lian 凤尾连
'feng'xian'cao 凤仙草
'feng'xian'hua'zi 凤仙花子
'feng'xiang'guo 枫香果
'fo'jia'cao 佛甲草
'fo'shou 佛手
'fu'chang 腐肠
'fu'ling 茯苓
'fu'ping 浮萍
'fu'shen 茯神
'fu'shi 氟石
'fu'xie 伏蝎
'gan'ge 干葛
'gan'ge 甘葛
'gan'lan 橄榄
'gan'ying'cao 感应草
'gan'zi'ke 甘子壳
'gao'ben 稿本
'gao'ben 藁本
'gao'huang 膏肓
'gao'liang'jiang 高良姜
'gao'ling'shi 高岭十
'ge'fen 蛤粉
'ge'gen 葛根
'ge'gen 革根
'ge'jie 舸蚧
'ge'jie 蛤蚧
'ge'jie 革蚧
'ge'ke 蛤壳
'ge'li'ke 蛤蜊壳
'ge'she 蛤蛇
'ge'xie 蛤蟹
'gong'guo 贡果
'gong'zi'xiang 公子香
'gou'ji'gu 狗脊骨
'gou'ju 枸橘
'gou'pa 勾葩
'gou'qi 枸杞
'gou'qi'gen'pi 枸杞根皮
'gou'teng 钩藤
'gou'tong 勾仝
'gou'wei'cao 狗尾草
'gu'jing'zhu 谷精珠
'gu'su 谷粟
'gu'sui'bu 骨碎补
'gu'tu 蓇葖
'gu'you'zi 谷莠子
'gu'yue 古月
'gua'ban 瓜瓣
'gua'la'dou 挂拉豆
'gua'lou 栝楼
'gua'lou'gen 栝楼根
'gua'lou'gen 瓜蒌根
'guan'rong 关茸
'guan'yin'liu 观音柳
'guang'ming'cao 光明草
'guang'ming'sha 光明砂
'guang'pi 广皮
'gui'duan 桂段
'gui'jian 桂尖
'gui'yuan 桂圆
'gui'zhi 桂枝
'guo'lao 国老
'guo'shan'long 过山龙
'ha'ma'su 蛤蟆酥
'ha'ma'you 蛤蟆油
'hai'bang'han'zhu 海蚌含珠
'hai'er'cha 孩儿茶
'hai'er'ju 孩儿菊
'hai'gou'shen 海狗肾
'hai'long 海龙
'hai'ma 海马
'hai'nan'zi 海南子
'hai'piao'xiao 海螵蛸
'han'shui'shi 寒水石
'han'xin'cao 韩信草
'han'xiu'cao 含羞草
'he'cao'ya 鹤草芽
'he'han 颌颔
'he'huan'mi 合欢米
'he'jie 何蚧
'he'shou'wu'teng 何首乌藤
'he'tao'ren 核桃仁
'he'tao'rou 核桃肉
'he'zi 嗬子
'he'zi 诃子
'hei'bai'chou 黑白丑
'hei'can 黑参
'hei'chou 黑丑
'hei'fan 黑矾
'hei'gu'zhi 黑固脂
'hei'gu'zhi 黑故纸
'hei'hua'she 黑花蛇
'hei'jiang 黑姜
'hei'su'zi 黑苏子
'hei'zhi'ma 黑芝麻
'heng'shan 恒山
'hong'du'juan 红杜鹃
'hong'fan'dou 红饭豆
'hong'gu'niang 红姑娘
'hong'guo 红果
'hong'jiao 红椒
'hong'jing'tiao 红荆条
'hong'lan'hua 红蓝花
'hong'liu 红柳
'hong'mu'ji'cao 红母鸡草
'hong'shu 烘术
'hong'wei 红苇
'hong'xiao'dou 红小豆
'hong'yao'zi 红药子
'hou'pu 厚朴
'hu'die'hua 蝴蝶花
'hu'er'cao 虎耳草
'hu'ji 虎蓟
'hu'jiao 胡椒
'hu'lao 胡劳
'hu'sui 胡随
'hu'tao'ren 胡桃仁
'hua'jiao'zi 花椒子
'hua'qi'shen 花旗参
'hua'shan'can 华山参
'huai'dou 槐豆
'huai'guang'tiao 淮光条
'huai'hua 槐花
'huai'lian'deng 槐连灯
'huai'mao'tiao 淮毛条
'huai'shi 槐实
'huai'yao 怀药
'huai'zi 槐子
'huang'bai 黄柏
'huang'bo 黄檗
'huang'du 黄独
'huang'hua 黄华
'huang'hua'cao 黄花草
'huang'hua'di'ding 黄花地丁
'huang'jing 黄精
'huang'la 黄蜡
'huang'lian 黄连
'huang'liang 黄良
'huang'long'wei 黄龙尾
'huang'qi 黄耆
'huang'qi 黄芪
'huang'qin 黄芩
'huang'rong 黄茸
'huang'tou'cao 黄头草
'huang'yao'gui 黄瑶桂
'huang'yao'zi 黄药子
'huang'zhi 黄芝
'hui'gu 灰菇
'hun'dun'yi 混沌衣
'huo'dou 霍斗
'huo'xue'cao 活血草
'huo'xue'long 活血龙
'ji'bi'pei 鸡舭胚
'ji'cai 荠菜
'ji'ci'gen 鸡刺根
'ji'gong'hua 鸡公花
'ji'gu'cao 鸡骨草
'ji'guan'hua 鸡冠花
'ji'huang'pi 鸡黄皮
'ji'ni 荠苨
'ji'su 鸡苏
'ji'tou'can 鸡头参
'ji'tou'mi 鸡头米
'ji'xing'zi 急性子
'ji'xue'cao 积雪草
'ji'xue'pa 鸡血葩
'ji'xue'tong 鸡血仝
'ji'zhua'lian 鸡爪连
'ji'zhun'pi 鸡肫皮
'jia'ban'cai 夹板菜
'jia'bei'mu 假贝母
'jia'fang'cao 甲方草
'jia'huang 家黄
'jia'su 假苏
'jia'su'zi 家苏子
'jia'zhu'tao 夹竹桃
'jian'bei 尖贝
'jian'dao'cao 剪刀草
'jian'ji'she 剑脊蛇
'jian'jun'zi 建君子
'jian'qi 箭芪
'jian'yu 肩髃
'jiang'can 僵蚕
'jiang'chong 僵虫
'jiang'du 茳芏
'jiao'bei 角倍
'jiao'gu'lan 绞股蓝
'jiao'nian'zhu 胶念珠
'jiao'yi 胶饴
'jie'geng 桔梗
'jie'gu'cao 节骨草
'jie'gu'mu 接骨木
'jie'jie'cao 节节草
'jie'sheng'cao 接生草
'jin'bu'huan 金不换
'jin'deng 金灯
'jin'deng'long 锦灯笼
'jin'fei'cao 金沸草
'jin'fei'hua 金沸花
'jin'feng'zi 金凤子
'jin'fo'hua 金佛花
'jin'fu'hua 金复花
'jin'guo'lan 金果榄
'jin'mao'gou 金毛狗
'jin'niu'cao 金牛草
'jin'rui 金蕊
'jin'si'he'ye 金丝荷叶
'jin'sun 金笋
'jin'xue'qi 津血杞
'jin'yin'hua'teng 金银花藤
'jing'bei 京贝
'jing'mi 粳米
'jing'mian'sha 镜面砂
'jing'san 荆三
'jing'zi 京子
'jing'zi 荆子
'jiu'cao 灸草
'jiu'jiu'hua 九九花
'jiu'jun 酒军
'jiu'kong'bei 九孔贝
'jiu'kong'shi'ming 九孔石明
'jiu'kong'zi 九孔子
'jiu'lian'deng 九连灯
'jiu'nv'chun 九女春
'ju'hua 菊花
'ju'jin 橘筋
'ju'mai 巨麦
'ju'pi 桔皮
'ju'pi 橘皮
'ju'ruo 蒟蒻
'ju'si 橘丝
'ju'yuan 枸橼
'juan'bai 卷柏
'jun'jiang 均姜
'kai'xin'guo 开心果
'kao'shan'hong 靠山红
'kong'gong'nie 孔公孽
'kong'xian'wan 控涎丸
'ku'kui 苦葵
'ku'lian'pi 苦楝皮
'ku'qin 枯芩
'ku'shen 苦参
'ku'shen'zi 苦参子
'kuan'dong'hua 款冬花
'kuan'jin'ju 宽筋苴
'kun'cao 坤草
'la'ba'hua'zi 喇叭花子
'la'gua 腊瓜
'la'han'guo 拉汗果
'la'la'yang 拉拉秧
'la'shu 蜡树
'lai'fu'zi 莱菔子
'lai'ha'ma 癞蛤蟆
'lan'dian 蓝靛
'lang'dang 莨菪
'lao'cang'zi 老苍子
'lao'gua'zhao 老鸹爪
'lao'he'cao 老鹤草
'lao'ya'zhu 老雅珠
'leng'fan'tou 冷饭头
'li'chang'cao 鳢肠草
'li'qing 沥青
'lian'gen'pi 楝根皮
'lian'hua'cao 莲花草
'lian'ji'cao 连及草
'lian'qiao 连翘
'lian'rui 莲蕊
'lian'zhu 濂珠
'liao'lan 蓼兰
'lin'ji'cao 淋疾草
'ling'li'jia 绫鲤甲
'ling'li'jia 鲮鲤甲
'ling'xiao'hua 凌霄花
'ling'yin'chen 铃茵陈
'ling'zhi 灵芝
'liu'gu'mi 六谷米
'liu'qiu'zi 留求子
'liu'ye'tao 柳叶桃
'long'kui 龙葵
'long'nao 龙脑
'long'tou'yu 龙头鱼
'long'zi'yi 龙子衣
'lou'gu 蝼蛄
'lu'an'cha 鹿安茶
'lu'bei 炉贝
'lu'lu'tong 路路通
'lu'rong 鹿茸
'lu'xian'cao 鹿衔草
'luo'bo'zi 萝卜子
'luo'de'da 落得打
'luo'han'guo 罗汉果
'luo'le 萝艻
'luo'li 瘰疬
'luo'shi'teng 络石藤
'luo'shui'chen 落水沉
'lv'er'duo'cai 驴耳朵菜
'ma'bian'cao 马鞭草
'ma'chi'cai 马齿菜
'ma'chi'cao 马齿草
'ma'chi'xian 马齿苋
'ma'dou'ling'gen 马兜铃根
'ma'dou'ling'teng 马兜铃藤
'ma'suo'yi 麻蓑衣
'ma'ta'cai 马踏菜
'ma'ti'xiang 马蹄香
'ma'tou'yu 马头鱼
'ma'ya'xiao 马牙硝
'ma'ying'hua 马缨花
'ma'zhong 麻种
'mai'ya'tang 麦芽糖
'man'jiang 蛮姜
'man'jing'shi 蔓荆实
'man'jing'zi 蔓荆子
'man'shan'hong 满山红
'man'tuo'luo'hua 曼陀罗花
'mao'cang'zi 毛苍子
'mao'ci 猫刺
'mao'er'cao 猫耳草
'mao'gen 毛茛
'mao'gu 毛姑
'mao'xin'hua 毛辛花
'mao'zhao'cao 猫爪草
'mei'cao 美草
'mei'pian 梅片
'mei'shi 梅实
'mei'yao 没药
'mei'zao 眉皂
'mei'zi 梅子
'meng'chong 虻虫
'mi'feng'cao 蜜蜂草
'mi'gan 蜜甘
'mi'tang 米糖
'mi'tang 蜜糖
'mi'yi 米饴
'mian'qi 绵芪
'ming'ye'cai 明叶菜
'mo'shui'cao 墨水草
'mo'yu'gu 墨鱼骨
'mu'hu'die 木蝴蝶
'mu'jiang'zi 木姜子
'mu'mian 木棉
'na'hui 纳会
'na'zi 拿子
'nan'rong 南茸
'nao'sha 硇砂
'nao'zi 脑子
'nian'hu'cai 粘糊菜
'ning'shui'shi 凝水石
'niu'bang'zi 牛蒡子
'niu'cai 牛菜
'niu'qi 牛七
'niu'xi 牛夕
'niu'xi 牛膝
'niu'zi 牛子
'nu'hui 奴会
'nue'ji'cao 疟疾草
'nv'kai 衄衉
'nv'lan 女兰
'pa'chou'cao 怕丑草
'pan'shi 攀石
'pang'da'hai 胖大海
'pao'can 泡参
'pao'jia'zhu 炮甲珠
'pao'jiang 泡姜
'pao'zhang'hua 炮仗花
'pao'zhi 炮制
'pen'xiao 盆硝
'peng'sha 硼砂
'peng'shu 蓬术
'pi'pa'ye 枇杷叶
'pi'sha 劈砂
'pian'nao 片脑
'pian'qin 片芩
'pian'sha 片砂
'ping'bei 平贝
'po'fu'cao 婆妇草
'po'gu'zhi 婆固脂
'po'gu'zhi 破故纸
'po'gu'zhi 破故脂
'po'luo'zi 婆罗子
'po'po'ding 婆婆丁
'po'po'hao 婆婆蒿
'po'xiao 朴硝
'po'xue'dan 破血丹
'pu'di'jin 铺地锦
'pu'gong'cao 蒲公草
'pu'gong'ying 蒲公英
'pu'hua'fen 蒲花粉
'pu'huang 蒲黄
'pu'ti'zhu 菩提珠
'qi'she 蕲蛇
'qi'shu 祁术
'qi'xiang 脐香
'qi'yang'shi 起阳石
'qian'bi'she 褰鼻蛇
'qian'cao 茜草
'qian'hu 前胡
'qian'li'guang 千里光
'qian'ma 荨麻
'qian'niu'zi 牵牛子
'qian'pu 钱蒲
'qian'zhang'zhi 千张纸
'qian'zhen'cao 千针草
'qiang'dao'cao 枪刀草
'qiang'huo 羌活
'qiang'tao 羌桃
'qin'jiao 秦艽
'qing'bei 青贝
'qing'ci'ji 青刺蓟
'qing'guo 青果
'qing'hao 青蒿
'qing'ma'zi 苘麻子
'qing'mu'xiang'teng 青木香藤
'qing'niu'dan 青牛胆
'qing'rong 青茸
'qing'shi 苘实
'qing'ye'dan 青叶胆
'qing'yu'dan 青鱼胆
'qiu'yin 蚯蚓
'qu'lian 曲莲
'qu'mai 瞿麦
'qu'mai'cai 苣荬菜
'qu'shan 曲蟮
'qu'shan 蛐蟮
'quan'fu'hua 全福花
'que'lao'zi 却老子
're'can 热参
'ren'dong'hua 忍冬花
'ren'shen 人参
'ri'bu 日晡
'rong'hua'shu 绒花树
'rong'xian'hua 绒线花
'rou'cong'rong 肉苁蓉
'rou'run 肉瞤
'ru'kou 濡芤
'ru'tou'xiang 乳头香
'rui'cao 瑞草
'san'jiao'fan'bang 三角帆蚌
'san'leng 三棱
'san'leng 三楞
'san'ling 三凌
'san'ye'cai 三叶菜
'sang'piao'xiao 桑螵蛸
'sao'zhou'cai'zi 扫帚菜子
'sha'mu'ye 杉木叶
'sha'ren 砂仁
'sha'shen 沙参
'shan'cha'ming'ke 山叉明棵
'shan'chang'shan 山常山
'shan'ci'gu 山慈菇
'shan'di'su 山地粟
'shan'lan 山兰
'shan'li'hong 山里红
'shan'ling'guo 山岭果
'shan'pi 杉皮
'shan'pu'shan 山蒲扇
'shan'qi 山漆
'shan'qie'hua 山茄花
'shan'su'zi 山苏子
'shan'xia 山虾
'shan'yao 山药
'shan'yu 山芋
'shan'yu'rou 山萸肉
'shan'zhi'ren 山枝仁
'shan'zhi'ren 山栀仁
'shang'jia 上甲
'shang'you'gui 上油桂
'she'gan 射干
'she'pi 蛇皮
'she'xiang 麝香
'shen'jin'cao 伸筋草
'shen'qu 神曲
'sheng'fan 生矾
'sheng'shai'shen 生晒参
'sheng'shai'shu 生晒术
'shi'he'ye 石荷叶
'shi'hu'sui 石胡荽
'shi'mi 石蜜
'shi'nie 齛齧
'shi'pan'teng 石盘藤
'shi'sun 食飧
'shi'ya 石牙
'shi'yao 虱药
'shi'zhong'ru 石钟乳
'shi'zhu'can 石柱参
'shi'zhu'cao 石竹草
'shi'zhu'hua 石竹花
'shi'zi'cao 狮子草
'shu'jian'chou 鼠见愁
'shu'jiao 蜀椒
'shu'jin'cao 舒筋草
'shu'jin'long 舒筋龙
'shu'mi 术米
'shu'mi 熟米
'shu'mi 秫米
'shu'yao 薯药
'shu'yu 署豫
'shu'yu 薯蓣
'shuang'gou 双钩
'shuang'hua 双花
'shuang'xie 霜薤
'shui'jian'cao 水剑草
'shui'ping 水萍
'shui'xiang 水香
'shun'jin'zhi 顺筋枝
'si'lian'pi 丝连皮
'si'xian 思仙
'song'bei 松贝
'song'ling 松苓
'song'mu 楤木
'song'shu 松薯
'su'he'you 苏合油
'su'qin 宿芩
'su'sha'mi 缩砂密
'suan'jiang 酸浆
'suan'mei 酸梅
'suo'cao 莎草
'suo'luo'zi 娑罗子
'suo'sha'ren 缩砂仁
'tai'can 台参
'tai'yang'cao 太阳草
'tian'cao 甜草
'tian'ding 天丁
'tian'dou 天豆
'tian'gua'ba 甜瓜巴
'tian'gui 天癸
'tian'long'yi 天龙衣
'tian'qie'zi 天茄子
'tian'xian'teng 天仙藤
'tiao'qin 条芩
'tie'ma'bian 铁马鞭
'tie'sao'zhou 铁扫帚
'tie'xian'cai 铁苋菜
'ting'li 葶苈
'tong'da'hai 通大海
'tong'tuo'mu 通脱木
'tou'an'du'juan 头安杜鹃
'tu'jin'pi 土金皮
'tu'jing'pi 土荆皮
'tu'li 怢栗
'tu'mi'sha 土密砂
'tuan'jia'yu 团甲鱼
'tuo'li'cao 脱力草
'tuo'yue 橐龠
'tuo'zhu 箨珠
'wa'leng'zi 瓦楞子
'wa'long'zi 瓦垄子
'wa'na'qi 腽肭脐
'wa'nong'zi 瓦弄子
'wan'jin'zi 万金子
'wei'gen 苇根
'wei'lian 味连
'wei'ling'cai 委陵菜
'wei'ling'xian 威灵仙
'wei'rui 葳蕤
'wei'yang 痏疡
'wen'po 榅桲
'wen'shu 文术
'wen'yuan'shen 文元参
'wo'ju 莴苣
'wu'feng'she 乌风蛇
'wu'gong 蜈蚣
'wu'gong'teng 蜈蚣藤
'wu'jia'can 五加参
'wu'jing 芜菁
'wu'la 靰鞡
'wu'ma 乌麻
'wu'qian 乌茜
'wu'shan 乌扇
'wu'xin'cao 乌心草
'wu'xing'cao 五行草
'wu'ye'cao 五叶草
'wu'yue'ai 五月艾
'wu'zha'gu 乌铡骨
'xi'cao 西草
'xi'fu'xiong 西抚芎
'xi'he'liu 西河柳
'xi'huang 犀黄
'xi'huang 西黄
'xi'shu 郄腧
'xi'xian 豨莶
'xi'xian'cao 豨莶草
'xi'zhong'ji 西中吉
'xi'zhuang'huang 西庄黄
'xia'can 虾参
'xia'jia 下甲
'xian'cao 仙草
'xian'chan 仙蟾
'xian'yu'liang 仙余粮
'xiang'bei'qiang'tong 项背强痛
'xiang'cai 香菜
'xiang'guo 香果
'xiang'jia'pi 香加皮
'xiang'ru 香薷
'xiang'shui'lan 香水兰
'xiang'wu'jia 香五加
'xiang'yong 飨饔
'xiao'bian'er'cai 小辫儿菜
'xiao'hu'ma 小胡麻
'xiao'huo'xue 小活血
'xiao'ji 小蓟
'xiao'mao'gen 小毛茛
'xiao'xin 小辛
'xie'bai 薤白
'xie'zi 蝎子
'xing'gu'feng 行骨风
'xing'tou'cao 醒头草
'xiong'huang 雄黄
'xiong'jing 雄精
'xu'chang'qing 徐长卿
'xu'gu'mu 续骨木
'xuan'fu'geng 旋复梗
'xuan'fu'hua 旋覆花
'xuan'shen 玄参
'xue'bao 血苞
'xue'can 血参
'xue'can'gen 血参根
'xue'guan'chang 血灌肠
'xue'mu'tong 血木通
'xue'pei 血衃
'xue'rong 血茸
'xue'teng 血藤
'xun'lu'xiang 薰陆香
'ya'dan'you 鸭胆油
'ya'lian 雅连
'ya'she'cao 鸭舌草
'ya'shi'cao 鸭石草
'ya'zao 牙皂
'ya'zhi'cao 鸭跖草
'yan'shou'ke 延寿客
'yan'sui 芫荽
'yan'xiao 盐硝
'yang'jiao'ye 羊角叶
'yang'kai'kou 羊开口
'yang'nai'zi 羊奶子
'yang'xie'ye 洋泻叶
'yang'zhi'zhu 羊踯躅
'yao'huang 腰黄
'yao'qu 药蛆
'ye'bai'shu 野白薯
'ye'bai'tou 野白头
'ye'cha'tou 夜叉头
'ye'hong'hua 野红花
'ye'huang 野黄
'ye'mai 野麦
'ye'mai'dong 野麦冬
'ye'mu'gua 野木瓜
'ye'su'ma 野苏麻
'ye'tian'men'dong 野天门冬
'ye'xian'jiang 野仙姜
'yi'cao 医草
'yi'jin 益金
'yi'mu'cao 益母草
'yi'mu'shi 益母实
'yi'shan'can 移山参
'yi'xing'cao 移星草
'yi'yi'ren 薏苡仁
'yi'zhi'guo 益智果
'yi'zhu'zi 薏珠子
'yin'chen'hao 茵陈蒿
'yin'hua 银花
'yin'huan'she 银环蛇
'yin'nie 殷孽
'yin'xing'cao 阴行草
'yin'yang'huo 淫羊藿
'ying'shan'hong 映山红
'ying'shan'hong 迎山红
'ying'shi 萤石
'ying'su'ke 罂粟壳
'ying'yu 蘡薁
'ying'zhao'lian 鹰爪连
'yong'ju 痈疽
'you'ma 油麻
'you'zi'cao 莠子草
'yu'gu 鱼古
'yu'gui 玉桂
'yu'hu'die 玉蝴蝶
'yu'hua 禹花
'yu'jiao 玉椒
'yu'jing 玉京
'yu'pian 玉片
'yu'ye 燠暍
'yu'yu'liang 禹余粮
'yuan'cun 员寸
'yuan'hu 元胡
'yuan'hua 芫花
'yuan'jiang 元姜
'yuan'rou 元肉
'yuan'wu'ban 元武版
'yuan'yi 悁悒
'yue'zhi 越栀
'yun'hu'zhi 云胡纸
'yun'ling 云苓
'zao'jiao 皂角
'zao'jiao'zhen 皂角针
'zao'xiu 蚤休
'zao'ya 皂牙
'ze'qi 泽七
'zha'peng'ke 扎蓬棵
'zhai'er'cao 摘耳草
'zhan'bu'zha 粘不扎
'zhan'cang'zi 粘苍子
'zhan'cao 粘草
'zhan'she'jian 斩蛇剑
'zhang'nao 樟脑
'zhang'ye'ban'xia 掌叶半夏
'zhen'wei 贞蔚
'zhen'zhu'cao 珍珠草
'zhen'zhu'mi 珍珠米
'zheng'chong 怔忡
'zheng'jia 癥瘕
'zhi'jia'tao 指甲桃
'zhi'jie'xiang 支解香
'zhi'ju 枳椇
'zhi'ke 枳壳
'zhi'xiu'cao 知羞草
'zhi'xue'cao 止血草
'zhi'zhu 踯躅
'zhi'zi 枝子
'zhi'zi 栀子
'zhong'ru'shi 钟乳石
'zhong'shou'ke 肿手棵
'zhong'tai 重台
'zhu'er'qing 竹二青
'zhu'gao 竹膏
'zhu'mao'cai 猪毛菜
'zhu'pi 竹皮
'zhu'tuo 竹箨
'zhu'ya'zao 猪牙皂
'zhui'zhui 惴惴
'zi'he'che 紫河车
'zi'qin 子芩
'zi'shi'ying 紫石英
'zi'su'zi 紫苏子
'zi'wan 紫菀
'zi'wei 紫葳
'zi'zhi 紫芝
'zi'zhu 紫珠
'zong'er'cha 棕儿茶
'zong'lv 棕榈
'zong'lv'tan 棕榈炭
'zong'mao 棕毛
'zong'pi 棕皮
'zong'tan 棕炭
