'ai'ye 艾叶
'jiu'wu'shao'she 酒乌梢蛇
'ju'hua 菊花
'ju'luo 橘络
'ju'ye 橘叶
'juan'bai 卷柏
'ku'di'ding 苦地丁
'ku'fan 枯矾
'ku'lian'pi 苦楝皮
'ku'lian'zi 苦楝子
'ku'shen 苦参
'kuan'dong'hua 款冬花
'kun'bu 昆布
'lao'guan'cao 老鹳草
'li'zhi'he 荔枝核
'lian'fang'tan 莲房炭
'lian'qiao 连翘
'lian'xu 莲须
'lian'zi'rou 莲子肉
'lian'zi'xin 莲子心
'liao'da'qing'ye 蓼大青叶
'ling'xiao'hua 凌霄花
'ling'yang'jiao'fen 羚羊角粉
'ling'zhi 灵芝
'liu'ji'nu 刘寄奴
'liu'yi'san 六一散
'long'dan 龙胆
'long'kui 龙葵
'long'yan'rou 龙眼肉
'lou'lu 漏芦
'lu'gen 芦根
'lu'hui 芦荟
'lu'jiao'bang 鹿角镑
'lu'jiao'jiao 鹿角胶
'lu'jiao'shuang 鹿角霜
'lu'lu'tong 路路通
'lu'xian'cao 鹿衔草
'luo'shi'teng 络石藤
'ma'bian'cao 马鞭草
'ma'chi'xian 马齿苋
'ma'huang'gen 麻黄根
'ma'wei'lian 马尾连
'mai'dong 麦冬
'mang'xiao 芒硝
'mao'zhao'cao 猫爪草
'mei'gui'hua 玫瑰花
'mei'shi'zi 没食子
'mi'bai'bu 蜜百部
'mi'gan'cao 蜜甘草
'mi'gua'lou'ren 蜜瓜蒌仁
'mi'huai'jiao 蜜槐角
'mi'huang'qi 蜜黄芪
'mi'ma'dou'ling 蜜马兜铃
'mi'ma'huang 蜜麻黄
'mi'meng'hua 密蒙花
'mi'pi'pa'ye 蜜枇杷叶
'mi'sang'bai'pi 蜜桑白皮
'mi'ying'su'ke 蜜罂粟壳
'mi'zi'wan 蜜紫菀
'mian'ma'guan'zhong 绵马贯众
'mian'ma'guan'zhong'tan 绵马贯众炭
'mo'han'lian 墨旱莲
'mu'bie'zi 木鳖子
'mu'dan'pi 牡丹皮
'mu'dan'pi'tan 牡丹皮炭
'mu'ding'xiang 母丁香
'mu'gua 木瓜
'mu'hu'die 木蝴蝶
'mu'xiang 木香
'mu'zei 木贼
'nan'sha'shen 南沙参
'niu'xi 牛膝
'nv'zhen'ye 女贞叶
'ou'jie 藕节
'ou'jie'tan 藕节炭
'pang'da'hai 胖大海
'pao'jiang'tan 炮姜炭
'pei'lan 佩兰
'pian'jiang'huang 片姜黄
'pu'gong'ying 蒲公英
'pu'huang'tan 蒲黄炭
'qian'cao 茜草
'qian'cao'tan 茜草炭
'qian'hu 前胡
'qian'nian'jian 千年健
'qiang'huo 羌活
'qin'jiao 秦艽
'qin'pi 秦皮
'qing'ban'xia 清半夏
'qing'dai 青黛
'qing'feng'teng 青风藤
'qing'guo 青果
'qing'hao 青蒿
'qing'xiang'zi 青葙子
'qu'mai 瞿麦
'quan'can 拳参
'quan'xie 全蝎
'ren'dong'teng 忍冬藤
'ren'gong'niu'huang 人工牛黄
'ren'shen'ye 人参叶
'rou'dou'kou 肉豆蔻
'rou'gui 肉桂
'san'ke'zhen 三棵针
'san'qi 三七
'san'qi'fen 三七粉
'sang'ji'sheng 桑寄生
'sang'piao'xiao 桑螵蛸
'sang'shen 桑椹
'sang'ye 桑叶
'sang'zhi 桑枝
'sha'ren 砂仁
'sha'yuan'zi 沙苑子
'shan'ci'gu 山慈姑
'shan'nai 山柰
'shan'yao 山药
'she'chuang'zi 蛇床子
'she'gan 射干
'she'mei 蛇莓
'shen'jin'cao 伸筋草
'sheng'bai'bu 生百部
'sheng'bai'zhu 生白术
'sheng'ce'bai 生侧柏
'sheng'ci'shi 生磁石
'sheng'dao'ya 生稻芽
'sheng'di'huang 生地黄
'sheng'di'huang'tan 生地黄炭
'sheng'di'yu 生地榆
'sheng'du'zhong 生杜仲
'sheng'ge'ke 生蛤壳
'sheng'gu'ya 生谷芽
'sheng'he'shou'wu 生何首乌
'sheng'huai'hua 生槐花
'sheng'huang'qi 生黄芪
'sheng'ji'nei'jin 生鸡内金
'sheng'jiang 生姜
'sheng'long'chi 生龙齿
'sheng'long'gu 生龙骨
'sheng'ma 升麻
'sheng'ma'huang 生麻黄
'sheng'mai'ya 生麦芽
'sheng'mu'li 生牡蛎
'sheng'pu'huang 生蒲黄
'sheng'shai'can 生晒参
'sheng'shan'zha 生山楂
'sheng'shi'gao 生石膏
'sheng'shi'jue'ming 生石决明
'sheng'yi'yi'ren 生薏苡仁
'sheng'zhe'shi 生赭石
'shi'chang'pu 石菖蒲
'shi'di 柿蒂
'shi'hu 石斛
'shi'jian'chuan 石见穿
'shi'jun'zi 使君子
'shi'liu'pi 石榴皮
'shi'nan'ye 石楠叶
'shi'wei 石韦
'shou'wu'teng 首乌藤
'shu'da'huang 熟大黄
'shu'di'huang 熟地黄
'shu'fu 鼠妇
'shui'hong'hua'zi 水红花子
'shui'niu'jiao'fen 水牛角粉
'shui'zhi'fen 水蛭粉
'si'gua'luo 丝瓜络
'song'jie 松节
'su'mu 苏木
'suo'luo'zi 娑罗子
'suo'yang 锁阳
'tai'zi'shen 太子参
'tan'xiang 檀香
'tang'gu'sui'bu 烫骨碎补
'teng'li'gen 藤梨根
'tian'dong 天冬
'tian'hua'fen 天花粉
'tian'ji'huang 田基黄
'tian'kui'zi 天葵子
'tian'long 天龙
'tian'ma 天麻
'tian'zhu'huang 天竺黄
'tie'luo'hua 铁落花
'tie'shu'ye 铁树叶
'ting'li'zi 葶苈子
'tou'gu'cao 透骨草
'tu'bei'mu 土贝母
'tu'bie'chong 土鳖虫
'tu'dai'huang 土大黄
'tu'fu'ling 土茯苓
'tu'jing'pi 土荆皮
'tu'si'zi 菟丝子
'wa'song 瓦松
'wei'ling'xian 威灵仙
'wu'bei'zi 五倍子
'wu'gong 蜈蚣
'wu'gu'chong 五谷虫
'wu'mei 乌梅
'wu'mei'tan 乌梅炭
'wu'yao 乌药
'xi'hong'hua 西红花
'xi'qing'guo 西青果
'xi'xian'cao 豨莶草
'xi'xin 细辛
'xi'yang'shen 西洋参
'xia'ku'cao 夏枯草
'xian'he'cao 仙鹤草
'xian'mao 仙茅
'xiang'jia'pi 香加皮
'xiang'ru 香薷
'xiang'yuan 香橼
'xiao'ji 小蓟
'xiao'ji'tan 小蓟炭
'xiao'tong'cao 小通草
'xie'bai 薤白
'xin'yi 辛夷
'xiong'hei'dou 雄黑豆
'xu'chang'qing 徐长卿
'xu'duan 续断
'xuan'cao'gen 萱草根
'xuan'fu'hua 旋覆花
'xuan'ming'fen 玄明粉
'xuan'shen 玄参
'xue'yu'tan 血余炭
'ya'dan'zi 鸦胆子
'yan'bu'gu'zhi 盐补骨脂
'yan'che'qian'zi 盐车前子
'yan'huang'bai 盐黄柏
'yan'ju'he 盐橘核
'yan'xiao'hui'xiang 盐小茴香
'yan'yi'zhi'ren 盐益智仁
'yan'zhi'mu 盐知母
'ye'ju'hua 野菊花
'ye'ming'sha 夜明砂
'yi'mu'cao 益母草
'yin'chai'hu 银柴胡
'yin'chen 茵陈
'yu'jin 郁金
'yu'li'ren 郁李仁
'yu'liang'shi 禹粮石
'yu'xing'cao 鱼腥草
'yu'zhi'zi 预知子
'yu'zhu 玉竹
'yue'ji'hua 月季花
'zao'jiao'ci 皂角刺
'zao'xiu 蚤休
'ze'lan 泽兰
'ze'xie 泽泻
'zhe'bei'mu 浙贝母
'zhen'zhu'fen 珍珠粉
'zhen'zhu'mu 珍珠母
'zhi'ba'ji'tian 制巴戟天
'zhi'bai'fu'zi 制白附子
'zhi'cao'wu 制草乌
'zhi'chuan'wu 制川乌
'zhi'ci'wei'pi 制刺猬皮
'zhi'gui'jia 制龟甲
'zhi'he'shou'wu 制何首乌
'zhi'mu 知母
'zhi'shui'zhi 制水蛭
'zhi'tian'nan'xing 制天南星
'zhi'wu'zhu'yu 制吴茱萸
'zhi'yin'yang'huo 炙淫羊藿
'zhi'yuan'zhi 制远志
'zhu'ling 猪苓
'zhu'ma'gen 苎麻根
'zhu'ru 竹茹
'zhu'ya'zao 猪牙皂
'zi'cao 紫草
'zi'he'che 紫河车
'zi'jing'pi 紫荆皮
'zi'su'geng 紫苏梗
'zi'su'ye 紫苏叶
'zong'lv'tan 棕榈炭
