'a'jiao'yu'yun 阿娇馀韵
'bu'si'xing'yun'nan'xi 不似行云难系
'bu'sui'fang'cao'chong'sheng 不随芳草重生
'bu'wei'dao'yi'qin'bu'shui 不为捣衣勤不睡
'bu'xi'lan'zhou 不系兰舟
'bu'xi'nong'zhuang 不喜浓妆
'bu'xin'fang'chun'yan'lao'ren 不信芳春厌老人
'bu'xu'chou'ren'bu'duan'hun 不许愁人不断魂
'bu'xu'fang'chun'yong 不许放春慵
'bu'xu'pian'zhou'xing'jin'hai 不许扁舟兴尽还
'bu'xue'shou'yang'kui'xiao'jing 不学寿阳窥晓镜
'bu'ying'tong'shi'bei'qiu 不应同是悲秋
'bu'ying'xue'wu'ai'chui'yang 不应学舞爱垂杨
'bu'yu'zuo'shu'kong 不语坐书空
'bu'yuan'lan'qing'bo 不怨兰情薄
'bu'zhi'mu'yu 不知暮雨
'bu'zhi'shen'zai'tian'ya 不知身在天涯
'bu'zhi'wo'bei 不知我辈
'bu'zhu'jin'qiu 不住今秋
'cai'bi'fu'shi 彩笔赋诗
'cai'bi'hua'ding'xiang 彩碧画丁香
'cai'bi'xin'ti'duan'chang'ju 彩笔新题断肠句
'cai'dong'si'lou'zhong 才动寺楼钟
'cai'fang'jie'wei'guan'liu 彩舫解维官柳
'cai'guo'ji'dian'huang'hun'yu 才过几点黄昏雨
'cai'lan'yi'bian'ping'qiao'wan 彩阑倚遍平桥晚
'cai'pin'xi'wan 采蘋溪晚
'cai'pin'you 采蘋游
'cai'qi'hui'huo 彩旗挥霍
'cai'qi'ying'dong'chuan'tou'zhuan 彩旗影动船头转
'cai'se'xiang'lian 才色相怜
'cai'shan'xiao'gu'fei 彩山箫鼓沸
'cai'shan'yong'qi'cui'lou'kong 彩山涌起翠楼空
'cai'xia'shen'bi 彩霞深闭
'cai'yun'bo'wan'cang'liang 彩云薄晚苍凉
'cai'zhou'qi'ying'dong 彩舟旗影动
'cai'zhou'zai'de'li'chou'dong 彩舟载得离愁动
'can'ji'lue'xu'xie'xian'xian 蚕饥略许携纤纤
'can'qi'lan'lan 参旗烂烂
'can'xun'can'meng'you'xiang'nao 残醺残梦犹相恼
'can'xun'jin'zhu'yin'ying 残薰尽烛隐映
'can'yang'ying'dai'qing'shan'mu 残阳映带青山暮
'cang'zhou'da'sheng'huang'chen'lu 沧州大胜黄尘路
'cang'zhou'dai'yu'bai'ou'fei 沧洲带雨白鸥飞
'cao'cao'fen'xie 草草分携
'cao'cao'heng'gao'fu 草草蘅皋赋
'cao'nuan'cang'zhou 草暖沧洲
'cao'sheng'jin'lie'hua'tang'kong 草生金埒画堂空
'ce'shang'diao'li'qing'ge'song 侧商调里清歌送
'ceng'ji'kui'song'san'nian 曾记窥宋三年
'ceng'jian'pian'zhou 曾见扁舟
'ceng'wei'zhe 曾为折
'ceng'xian'hua'zhi'fu'duan'qiang 曾羡花枝拂短墙
'chai'liang'yu'sheng'gua'lan'ying 钗梁玉胜挂兰缨
'chai'tou'chun'yi'pian'pian 钗头春意翩翩
'chai'tou'yan 钗头燕
'chan'bin'bao'dian'fu'dong 蝉鬓宝钿浮动
'chan'mian 缠绵
'chan'mian'chu 缠绵处
'chan'mian'chun'si'ge'shan 缠绵春思歌扇
'chan'mian'di 缠绵地
'chan'mian'nan'jie 缠绵难解
'chan'yun'qing'xian 蝉韵清弦
'chang'an'bu'jian'ling'ren'lao 长安不见令人老
'chang'bu'zhang 长步障
'chang'cao'zhu'bo'qing'peng 长艚珠箔青篷
'chang'duan'can'hong'he'lei'luo 肠断残红和泪落
'chang'duan'gui'chao'shuang'yan'yan 肠断归巢双燕燕
'chang'duan'qing'qing 唱断青青
'chang'duan'qu 肠断曲
'chang'duan'shu'can'geng 肠断数残更
'chang'duan'wu'can'liang'chu'mian 肠断吴蚕两处眠
'chang'duan'yi'ru'xian 肠断亦如弦
'chang'feng'bian 长风便
'chang'hen'chun'lao'ru'shui'bo 常恨春醪如水薄
'chang'ji'he'huan'dong'guan'ye 长记合欢东馆夜
'chang'kuang'shi'zai 猖狂十载
'chang'lang'bi'wa 长廊碧瓦
'chang'men'yan'shui'wan'feng'tian 阊门烟水晚风恬
'chang'qiao 长桥
'chang'ting'liu'se'cai'huang 长亭柳色才黄
'chang'wang'jiang'nan'xue'hou'mei 怅望江南雪后梅
'chang'wang'shu'hong 长望书鸿
'chang'wang'xing'he'gong'yi'tian 怅望星河共一天
'chang'xian'duan 肠先断
'chang'xiao'ban 长宵半
'chang'yang 长杨
'chao'chang'li'ting'duan'cai'jin 怊怅离亭断彩襟
'chao'chang'ren'jian'xin'meng'jue 怊怅人间新梦觉
'chao'chang'xiao'zhong'chu'dong 怊怅晓钟初动
'chao'jing'shi'mei'zhuang 朝镜事梅妆
'chao'lai'feng'se'hao 朝来风色好
'chao'lai'zhuo'yan'sha'tou'ren 朝来着眼沙头认
'chao'ping'bie'pu 潮平别浦
'chao'ping'yue'shang'jiang'ru'lian 潮平月上江如练
'chao'yun'he'shan'cen 朝云何山岑
'chao'zhang'zhan'fang'qiao 潮涨湛芳桥
'che'ma'chen'ai 车马尘埃
'che'ma'cong'cong 车马匆匆
'che'ma'ji'fan'chen 车马几番尘
'che'ru'ji'qi'ma'ru'gou 车如鸡栖马如狗
'chen'ai'juan'ke 尘埃倦客
'chen'qu 宸趋
'chen'shui'nong'xun 沉水浓熏
'chen'song'xing'bian'niao'niao 尘送行鞭袅袅
'chen'xiang'ting'zi'gou'lan'pan 沉香亭子钩阑畔
'cheng'bai'she 成白社
'cheng'bo'ying'wai 澄波影外
'cheng'li'zhong 城里钟
'cheng'liang'ye'se 澄凉夜色
'cheng'qian'shou 呈纤手
'cheng'tou'wu'ye'ti 城头乌夜啼
'cheng'tou'xing'dou'lan'gan 城头星斗阑干
'cheng'wu'ke'shi'zhi'ren'yi 城乌可是知人意
'cheng'xia'lu 城下路
'cheng'yan'yu'shuang'fu 乘雁与双凫
'cheng'yu'fang'cao'chu'chun 城隅芳草初春
'chi'chi'yan'feng'ri 迟迟艳风日
'chi'dan'che 驰单车
'chi'hui'gu'bu'pei'sheng'wei 迟回顾步佩声微
'chi'ji'yu 驰寄与
'chi'tang'cao 池塘草
'chi'xin'dong'gui'lu 痴信东归虏
'chong'fang'jiu'you'ren'bu'jian 重访旧游人不见
'chong'guo'chang'men'wan'shi'fei 重过阊门万事非
'chong'lai'ruo'ge'you'xiang'ji 重来若个犹相记
'chou'chang'geng'chang'meng'duan 惆怅更长梦短
'chou'chang'gu'ren'xin'bu'jian 惆怅故人心不见
'chou'chang'jiu'xing'jian'meng'hou 惆怅酒醒兼梦后
'chou'chang'qie'xiang'ren'bu'jian 惆怅窃香人不见
'chou'chang'shan'he'fang'li 惆怅善和坊里
'chou'duo'fan'ge'bi 愁多翻阁笔
'chou'feng'yue 愁风月
'chou'ji'xu 愁几许
'chou'jian'ning'su'nuan'jian'rong 愁见凝酥暖渐融
'chou'jie'mei'feng'xiao 愁结眉峰小
'chou'jie'mei'xin'lv 愁结眉心绿
'chou'lai'nan'nai 愁来难奈
'chou'sui'fang'cao 愁随芳草
'chou'ting 愁听
'chou'wu'yi 愁无已
'chou'yan'ti'zhuang 愁掩啼妆
'chou'yi'lian'long 愁倚帘栊
'chou'yu'lei 愁与泪
'chu'bu'shu'liu'ling 初不数刘伶
'chu'chen'han'pei 初沉汉佩
'chu'cheng'man'mu'chun'hua 楚城满目春华
'chu'chu'chou'feng'yue 处处愁风月
'chu'chu'feng'tao'li 触处逢桃李
'chu'chu'lian'fang'cao 处处怜芳草
'chu'chu'wen'ti'niao 处处闻啼鸟
'chu'chu'xiao'rao'tong 触处小桡通
'chu'fei'shi 除非是
'chu'guo'han'shi'yi'bai'liu 初过寒食一百六
'chu'jian'bi'sha'chuang'xia'xiu 初见碧纱窗下绣
'chu'ke'gui'xin'yu'duan 楚客归心欲断
'chu'lian'long 出帘栊
'chu'mei'xiang'nen 楚梅香嫩
'chu'meng'fang'hui 楚梦方回
'chu'meng'leng'chen'zong 楚梦冷沉踪
'chu'po'gua'shi'zheng'miao'nian 初破瓜时正妙年
'chu'pu'ju'shang 摴蒱局上
'chu'shan'cang 楚山苍
'chu'sheng'qi 杵声齐
'chu'tiao'yuan'chang 楚调圆长
'chu'wei'shang'shan'yi'si'lao 初谓商山遗四老
'chu'wei'shi'chou'na'dei'lei 初未识愁那得泪
'chu'xiang'xin'sui 楚乡新岁
'chu'xu'xiao'ran 触绪萧然
'chu'zhi'han'shan'jiu 楚制汗衫旧
'chu'zun'qian'yi'duan'chou 出尊前一段愁
'chuan'li'pi'pa'jin'han'bo 船里琵琶金捍拨
'chuan'yu'gui'e'ying'nai'jing 传语桂娥应耐静
'chuan'yu'jiu'jia'hu 传语酒家胡
'chuang'jian'wan'zhuan'feng'xun'mi 窗间宛转蜂寻蜜
'chuang'xia'xiu 窗下绣
'chuang'xiao 窗晓
'chui'hua'mu 垂画幕
'chui'kai'chui'luo 吹开吹落
'chui'liu'xu 吹柳絮
'chui'yang'feng'sao'xian'ai 垂杨风扫纤埃
'chui'yang'yin 垂杨荫
'chun'chou 春愁
'chun'chou'ru'cui'jian 春愁入翠尖
'chun'feng'shen'bi'xiu'hu 春风深闭绣户
'chun'feng'shi'li'dou'chan'juan 春风十里斗婵娟
'chun'feng'shi'li'duan'ren'chang 春风十里断人肠
'chun'feng'shi'li'jiu'fan'hua 春风十里旧繁华
'chun'feng'shou 春风瘦
'chun'feng'shui'fu'guan 春风谁复管
'chun'feng'zu'xi'nan'cheng'mo 春风祖席南城陌
'chun'geng'lu'kuai'fei'wu'hao 莼羹鲈脍非吾好
'chun'gui'bu'jie'zhao'you'zi 春归不解招游子
'chun'jiang'qu 春将去
'chun'qu'geng'wu'xun'chu 春去更无寻处
'chun'rong'xiu'run 春容秀润
'chun'se'fu'han'weng 春色浮寒瓮
'chun'shan'bai'zhu'xin'cai 春衫白纻新裁
'chun'shuang'yi'ye'sao'nong'hua 春霜一夜扫秾华
'chun'shui'gui'qi'duan'bu'fu 春水归期端不负
'chun'shui'man 春水漫
'chun'si 春思
'chun'sui'ren'qu'yuan 春随人去远
'chun'wei'di'qing'nong 春未抵情浓
'chun'yi'kong'kuo 春意空阔
'ci'dan'feng 辞丹凤
'ci'duan'bu'kan'hui'xiang 此段不堪回想
'ci'huan'zhi'xu'meng'xiang'qin 此欢只许梦相亲
'ci'qing'he'ji 此情何寄
'ci'qing'xu'xin'shi'nan'wang 此情须信是难忘
'ci'qu'ying'xiang'xiao 此去应相笑
'ci'shen'chang'xian'yu'zhuang'tai 此身常羡玉妆台
'ci'sheng'zha'ke'shu'ying'wu 此生乍可输鹦鹉
'ci'shi'cheng'xing 此时乘兴
'ci'shi'xiang'wang'di'tian'ya 此时相望抵天涯
'ci'ye'qing 此夜情
'ci'ye'wei'shui'pai 此夜为谁排
'cong'jin'ye 从今夜
'cong'zuo'lian'hua 从坐莲花
'cu'bei'pan 促杯盘
'cu'bian'liang'zhou 促遍凉州
'cu'cheng'chou'zui 促成愁醉
'cu'zuo'qi'luo'yan'shang 促坐绮罗筵上
'cui'bei'han'ru'shui 翠被寒如水
'cui'chai'fen 翠钗分
'cui'dai'yi'shuang'chui 翠带一双垂
'cui'er'jin'wan'wei'fang'cao 翠珥金丸委芳草
'cui'ge'lin'jin 翠阁临津
'cui'hu'cen'ci'fu'shui'feng 翠縠参差拂水风
'cui'mei'chan'bin'sheng'li'jue 翠眉蝉鬓生离诀
'cui'qin'han'meng 翠衾寒梦
'cui'qin'zhong 翠衾重
'cui'xing'se 催行色
'cui'xiu'yan 翠袖掩
'cun'bo'pin'liu 寸波频溜
'cun'xin'bai'yi'fen'xie'hou 寸心百意分携后
'cuo'jiang'huang'yun'ya'tan'hua 错将黄晕压檀花
'da'bian'ke'e 大艑轲峨
'da'di'xin'huan 大抵新欢
'dai'jian'jia 带蒹葭
'dai'jing'sheng'yan 带惊剩眼
'dai'ren'lan'xie'ju'xiang'jiang 待纫兰撷菊相将
'dai'ting'zhou 带汀洲
'dai'xiang'gui 带香归
'dai'yan'hui'xue'wu 玳筵回雪舞
'dai'yan'ru'he'fu'jiu 带眼如何复旧
'dai'yan'tou'chang 带眼偷长
'dai'yue'du 待月度
'dai'yue'shang'chao'ping'bo'yan'yan 待月上潮平波滟滟
'dai'zuo'ge'zui'xiang'yi'lao 待做个醉乡遗老
'dan'chui'yang'yong'xiang 但垂杨永巷
'dan'duan'yao'xian'zai'mo 弹断幺弦再抹
'dan'e'qing'bin'si'yi'zhuang 淡蛾轻鬓似宜妆
'dan'e'xiu 淡蛾羞
'dan'huang'yang'liu'an'qi'ya 淡黄杨柳暗栖鸦
'dan'jian'ping'lin'ru'ji 但见平林如荠
'dan'jing'jian 但惊见
'dan'jing'yi'shang'zhuang'bo 淡净衣裳妆薄
'dan'jue'an'ren'chou'bin 但觉安仁愁鬓
'dan'mu'song 但目送
'dan'pin'zhan'jing'que 但频占镜鹊
'dan'qin'zhen'yu'fen'sheng'nuan 但衾枕馀芬剩暖
'dan'zhen'ruo'wei'mian 单枕若为眠
'dang'jiang'dong'feng'kuai 荡桨东风快
'dang'lu'qin'nv 当垆秦女
'dang'nian'bu'ken'jia'chun'feng 当年不肯嫁春风
'dang'nian'jiu'kuang'zi'fu 当年酒狂自负
'dang'shi'ceng'yue'huan'zhui'feng 当时曾约换追风
'dang'shi'pian'hen'wu'geng'zhong 当时偏恨五更钟
'dang'shi'yi'meng'zhong 当时亦梦中
'dang'shi'yu'guan'zhu'xian'ju 当时玉管朱弦句
'dang'shi'zao'hen'huan'nan'ou 当时早恨欢难偶
'dang'yan'can'can'ren'ru'yu 当筵粲粲人如玉
'dang'yan'jiao'shen'bu'cheng'ge 当筵娇甚不成歌
'dang'zhi'jiu'zheng'ge 当置酒徵歌
'dao'jiu'zheng'yi'lei'mo'ti 捣就征衣泪墨题
'dao'long'mei'hua 到陇梅花
'de'de'feng'liu'xin'yan 的的风流心眼
'de'de'nong'zhuang'yang'yang'xin 得得浓妆样样新
'de'jian'xiao'lai'shu'hua'mian 得见晓来梳画面
'de'liang'peng 得良朋
'de'shi'xiao'ning'chu 的是销凝处
'de'yi'liang'yuan'yang 得意两鸳鸯
'deng'hua'luo'di'hong 灯花落地红
'deng'huo'hong'qiao 灯火虹桥
'deng'huo'liang'san'xing 灯火两三星
'deng'huo'ping'kang'xun'meng'yun 灯火平康寻梦云
'deng'qian'xi'yu'yan'hua'luo 灯前细雨檐花落
'deng'ying'bo'li 灯映玻璃
'deng'ying'hu 灯映户
'di'gu'ren'xin 抵故人心
'di'huan'cu'zuo'ren'xian'sheng 低鬟促坐认弦声
'di'huan'ning'si'zuo'tiao'qin 低鬟凝思坐调琴
'di'mei'tan 低眉叹
'di'sheng'wen'dao'ji'shi'hui 低声问道几时回
'di'tian'ya 抵天涯
'di'xiang'xiang'shui'shen 滴向湘水深
'di'yi'hua 第一花
'di'zhan'xiang 递瞻相
'dian'jing'kong'chuang 簟竟空床
'dian'lun'zhu'wang'yu'hua'cong 钿轮珠网玉花骢
'dian'wen'ru'shui'jing'tan'chuang 簟纹如水竟檀床
'dian'zheng'xun'jiu'qu 钿筝寻旧曲
'diao'chuan'gui 钓船归
'diao'liang'xun'chao'jiu'yan'lv 雕梁寻巢旧燕侣
'diao'zhen'bing 雕枕并
'die'gu'chao'xuan 叠鼓嘲喧
'die'gu'xin'ge 叠鼓新歌
'die'gu'xin'ge'bai'yang'jiao 叠鼓新歌百样娇
'ding'ning'shen'yi 丁宁深意
'ding'qing'yong'wei'hao 定情永为好
'dong'cheng'liu'an'cong'cong'fa 东城柳岸匆匆发
'dong'cheng'yue 东城约
'dong'die'gu 冬叠鼓
'dong'dong'gu'dong 冬冬鼓动
'dong'feng'da'shi'wu'qing'si 东风大是无情思
'dong'feng'han'si'ye'lai'xie 东风寒似夜来些
'dong'feng'li 东风里
'dong'feng'liu'mo'chang 东风柳陌长
'dong'feng'wan'lai'e 东风晚来恶
'dong'feng'xiao'jin'long'sha'xue 东风销尽龙沙雪
'dong'fu'ren'jian 洞府人间
'dong'guan'se 动管色
'dong'hu'hua'deng'gui'bie'guan 洞户华灯归别馆
'dong'lin'miao 东邻妙
'dong'liu 东流
'dong'liu'shui 东流水
'dong'nan'zi'gu'fan'hua'di 东南自古繁华地
'dong'ren'qing'tai'ke'xu'duo 动人情态可须多
'dong'shan 东山
'dong'shan'dao 东山道
'dong'shan'lai'ban'zhong'yan'ji 东山来办终焉计
'dong'shan'sheng'you'zai'yan 东山胜游在眼
'dong'shan'wei'ban'zhong'yan'ji 东山未办终焉计
'dong'shui'man'xi'liu 东水漫西流
'dong'ting'nan'guan'feng'ying'di 东亭南馆逢迎地
'dong'wu'le 东吴乐
'dong'xi'fei'guan'kua'tong'jin 东西飞观跨通津
'dong'yang'tan 东阳叹
'dong'yang'xiao'shou'dai'zhan 东阳销瘦带展
'dong'yang'yin'ba'bu'sheng'qing 东阳吟罢不胜情
'dou'bu'jian'ta'qing'tiao'cai 都不见蹋青挑菜
'dou'cheng'dong 斗城东
'dou'chu'xiang 斗储祥
'dou'ding'xi'feng 饾饤西风
'dou'fu'yu 都付与
'dou'jiu'cai'gong'lei 斗酒才供泪
'dou'kou'shao'tou'mo'man'kua 豆蔻梢头莫漫夸
'dou'ru'zuo 都如昨
'dou'yu'zhou'xiao 逗渔舟小
'du'bu'qiu'niang'hou 独步秋娘后
'du'jiang'tao'ye 渡江桃叶
'du'juan'ti'xue 杜鹃啼血
'du'li'jiang'dong'ren'wan'luan 独立江东人婉娈
'du'qian'men 妒千门
'du'shou'kong'chuang'si 独守空床思
'du'yi'lou 独倚楼
'duan'chang'ma'shang'ceng'wen 断肠马上曾闻
'duan'chang'qian'li 断肠千里
'duan'chang'xin'ju 断肠新句
'duan'feng'nan'tuo 短封难托
'duan'hun'chu 断魂处
'duan'hun'fen'fu'yu 断魂分付与
'duan'hun'zhao'shou 断魂招手
'duan'jin'wei'chang'xiao'jin'hun 断尽危肠销尽魂
'duan'lai'neng'you'ji'hui'chang 断来能有几回肠
'duan'qiao'gu'yi 断桥孤驿
'duan'ren'chang 断人肠
'duan'song'cai'fan'he'chu 断送彩帆何处
'duan'wu'feng'die'mu'you'xiang 断无蜂蝶慕幽香
'duan'xiang'xian 断湘弦
'duan'yun'jing'zhu 断云荆渚
'duan'yun'shu'yu'hou 断云疏雨后
'dui'meng'yu'lian'xian 对梦雨廉纤
'dun'cheng'qing'bie 顿成轻别
'dun'jue'peng'lai'fang'zhang 顿觉蓬莱方丈
'duo'qing'duo'bing 多情多病
'duo'qing'ren'nai'wu'wu'qing 多情人奈物无情
'duo'tai 多态
'duo'xie'ban'ren'xing 多谢伴人行
'duo'xie'liu'ying 多谢流莺
'duo'xie'wu'geng'feng 多谢五更风
'duo'xie'zi'gui'ti'quan'wo 多谢子规啼劝我
'duo'yun'guan'zi'pian'yi'mian 朵云冠子偏宜面
'e'jun'bei 鄂君被
'er'gen'qing'jing'gong'ming'hua 耳根清净功名话
'er'ru'ge 尔汝歌
'er'shi'si'fan'hua'you'xin 二十四番花有信
'er'shi'si'qiao'ming'yue'ye 二十四桥明月夜
'er'shi'si'qiao'you'ye'chu 二十四桥游冶处
'fan'cui'xiu 翻翠袖
'fan'fu'zi 范夫子
'fan'hua'jie'zi 繁花结子
'fan'hua'meng 繁华梦
'fan'hua'meng'duan 繁华梦断
'fan'hui'he'lv'bang 繁会阖闾邦
'fan'jin'mei 泛襟袂
'fan'nian'duo'qing'zi'ku 翻念多情自苦
'fan'sheng'zhou'dian 繁声骤点
'fan'shi 翻使
'fan'shi'duan'chang'sheng 翻是断肠声
'fan'shi'xiang'si'tiao 翻是相思调
'fan'shi'zhou'lang 翻试周郎
'fan'zhao'ying'chao 返照迎潮
'fan'zuo'shang'xin'tiao 翻作伤心调
'fang'cao'huan'chou 芳草唤愁
'fang'cao'qiao'yi'jing'xie 芳草桥一径斜
