'a'cao'po 阿曹婆
'chu'ru'mei'jiao'yuan'bi'hu 出入每教猿闭户
'chu'ru'qi'ceng'wang'gu'shi 出入岂曾忘故室
'chu'sheng'si'yu'huan 初生似玉环
'chu'shuo'feng'luan'jian'xi'zhao 初烁峰峦渐溪沼
'chuan'cu'ru'shui'zao'shen'ni 喘粗如睡遭沈溺
'chuan'wo'yan 传我言
'chuan'xi'cu 喘息粗
'chuan'xiang'hong'si'ying'bai'wan 串向红丝应百万
'chuan'ya'bo'guang'yao'lu 船押波光摇橹
'chuan'zhong'liao'luan'man'jiang'jin 船中撩乱满江津
'chuang'tou'yi'zhan'ji'liao'deng 床头一盏寂寥灯
'chui'bian'li'ma 垂鞭立马
'chui'yi'li 垂衣理
'chui'zhu'lei 垂珠泪
'chun'fu'qiu 春复秋
'chun'guang'cui'zhan'hou'yuan'hua 春光催绽后园花
'chun'qu'chun'lai'ting'shu'lao 春去春来庭树老
'chun'se'ke'kan'gu'zhen 春色可堪孤枕
'chun'tuo'gong 纯陀供
'chun'yu'wei 春雨微
'ci'bei'xi'she'li'qian'tan 慈悲喜舍离悭贪
'ci'ci'ke'neng'xie'yu'tian'bao'yuan'nian 此词可能写于天宝元年
'ci'mu'bao'wu'men 慈母报无门
'ci'mu'wo'shi'zhan 慈母卧湿毡
'ci'qin'shen'zhong'li'quan'wu 慈亲身重力全无
'ci'shi'bian'zuo'wang'xiang'chou 此时变作望乡愁
'ci'shi'fang'de'xiang'feng'yu 此时方得相逢遇
'ci'shi'fu'bu'gui 此是富不归
'ci'shi'kuai'huo'gan'en'duo 此时快活感恩多
'ci'shi'pin'bu'gui 此是贫不归
'ci'shi'qiao'kou'nan'fen'xue 此时巧口难分雪
'ci'shi'san'shang'shui'shi'bie 此是三伤谁识别
'ci'shi'shi'nan'xuan 此事实难宣
'ci'shi'si'bu'gui 此是死不归
'ci'wu'niao 慈乌鸟
'ci'ye'que'hui'luan 此夜却回銮
'ci'zhu'nan'gui 辞主南归
'ci'zhu'nan'gui'sheng'zheng'qie 辞主南归声正切
'cong'ci'hou 从此后
'cong'ci'hou'tai'jie'qing 从此后泰阶清
'cong'jia'yuan'ye'zhong 从家缘业重
'cong'jun'yao 从君咬
'cong'lai'gai'que'zhe'ban'ming 从来改却这般名
'cong'ming'er 聪明儿
'cui'liu'hua'e'mei 翠柳画娥眉
'cun'bu'ru'tong'yun'wu'shui'ge 寸步如同云雾水隔
'cun'cun'duan'chang'gan 寸寸断肠肝
'cun'ren'ye'zai'dao'bang'xi 村人曳在道傍西
'cuo'lai'pao'xiang'fen'dui'tou 撮来抛向粪堆头
'cuo'tuo'bu'jue'wu'chang'dao 蹉跎不觉无常到
'cuo'tuo'bu'yu'shan'qin'qing 蹉跎不遇善亲情
'da'chao'xuan'cha'zhong'wai'shi 大朝宣差中外使
'da'di'shang'zhong'sheng'xing'dao'le 大地上众生行道了
'da'luo'han 大罗汉
'da'nan'ling 打难令
'da'qu'su'mo'zhe 大曲苏莫遮
'da'sheng'ci'bei 大圣慈悲
'da'sheng'tang 大圣堂
'da'tang'wu'tai'qu'zi'liu'shou 大唐五台曲子六首
'da'xu'xiao'shun'ji'jiang'gui 大须孝顺寄将归
'da'yuan'bao'jing'zhen'an'tai 大圆宝镜镇安台
'da'zhang'fu 大丈夫
'da'zhang'men 大张门
'dai'de'gui'lai'xu'gong'yu 待得归来须共语
'dai'gong'qing'hui'gu'li 待公卿回故里
'dai'lai'shi 待来时
'dai'yi'lai'ji'gong'yi'yan 待伊来即共伊言
'dan'bo'zhi'wen'jie'hao'me 淡薄知闻解好么
'dan'duan'tan'chen'ji'chi'man 但断贪嗔及痴慢
'dan'fu'mu 旦复暮
'dan'guan'shi'xiang'jian'ru'lai 但观实相见如来
'dan'hong'shan'zi'yan'su'xiong 淡红衫子掩酥胸
'dan'jiang'hao'shi'rang'ta'ren 但将好事让他人
'dan'jin'xiang'si'po 弹尽相思破
'dan'kan'jie'li'cao 但看结李草
'dan'shi'tan'se'zhu'ge'chun 淡施檀色注歌唇
'dan'shi'wu'ling'zheng'ren'de 但是五陵争忍得
'dan'shi'zhong'sheng'jie'yuan'hai 噉食众生结冤害
'dan'yan'jin'yan'sheng'hao'miao 丹焰金烟生浩渺
'dan'yun'zhuang 淡匀妆
'dan'ze'shou'zhen'juan'qi'fan 但则收阵卷旗旛
'dan'zhi'shi'fang'yuan'guan'yi 但知十方原贯一
'dang'ben 当本
'dang'ben'zhi'yan'jin'zai'gui 当本只言今载归
'dang'ben'zhi'yan'san'zai'gui 当本只言三载归
'dang'chu'qiu'mi'yi'nian'chuan 当初求觅一年川
'dang'chu'qu 当初去
'dang'chu'zi'mei'fen'ming'dao 当初姊妹分明道
'dang'jin'sheng'shou'bi'nan'shan 当今圣寿比南山
'dang'shi'zhi'he'tong'xie'shou 当时只合同携手
'dang'zi'ta'zhou'qu 荡子他州去
'dao'chu'bei'ta'bi'tou'suan 到处被他笔头算
'dao'chu'zhe'kuang'mi 到处辄狂迷
'dao'ci'en'qin'jie'duan'jue 到此恩亲皆断绝
'dao'dan'que 到丹阙
'dao'feng'ku'cao'zai'ying'chun 道逢枯草再迎春
'dao'jia'ci 道家辞
'dao'lian'qian'sheng'cu 捣练千声促
'dao'su'seng'ni'wu'jian'bie 道俗僧尼无拣别
'dao'tou'gui'bu'gui 到头归不归
'dao'yi'liao'liang 捣衣嘹亮
'dao'zhe'shen'xin'chan 到者身心颤
'de'bing'wo'hao'li 得病卧毫厘
'de'ci'ren'shen'qi'rong'yi 得此人身岂容易
'de'du'jiao'e 得睹娇娥
'de'ji'xin 得即欣
'de'sheng'tian 得生天
'de'ye'jin'men'chao'di'bi 得谒金门朝帝陛
'deng'kong'xu 等空虚
'deng'lou'yao'wang'qin'gong'dian 登楼遥望秦宫殿
'deng'xian'dao 登险道
'deng'xian'pao'qi'sheng'ya 等闲抛弃生涯
'di'ba'zao'zuo'e'ye'en 第八造作恶业恩
'di'er 第二
'di'er'lin'chan 第二临产
'di'jiu'yuan'xing'yi'nian'en 第九远行忆念恩
'di'liu 第六
'di'liu'hui'gan'jiu'shi'en 第六回干就湿恩
'di'qi'xi'zhuo'bu'jing'en 第七洗濯不净恩
'di'san 第三
'di'san'sheng'zi'wang'you'en 第三生子忘忧恩
'di'shi'du'jin'dao 帝释度金刀
'di'shi'yuan'zeng'lian'min'en 第十怨憎怜悯恩
'di'si 第四
'di'si'yan'ku'tu'gan'en 第四咽苦吐甘恩
'di'tiao'wu'fei'liang'ban'dou 籴粜无非两般斗
'di'wu 第五
'di'wu'ru'xiang'yang'yu'en 第五乳饷养育恩
'di'xiong'ru'yu'fu'niang'kua 弟兄如玉父娘夸
'di'yi 第一
'di'yi'huai'gong'shou'hu'en 第一怀躬守护恩
'di'ze'xian 帝泽鲜
'dian'chi'fei'teng'qian'wan'li 点翅飞腾千万里
'dian'dian'di'di'cheng'ban 点点滴滴成斑
'dian'jian'sheng'ya'wu'yi'ban 点检生涯无一半
'dian'qian'qing'xiang'dui 殿前卿相对
'diao'yin 钓隐
'die'zhi'jiang'lai'shu'liang'hang 叠纸将来书两行
'die'zi'ti 叠字体
'ding'dai 顶戴
'ding'feng'bo 定风波
'ding'qi'gong'fu'man'bo'bo 定起功夫满波波
'ding'shui'qian'liu 定水潜流
'ding'xiang'tian'gong'du'ci'shi 定向天宫睹慈氏
'dong'fang'shen 洞房深
'dong'feng'chui'liu'xiang'xi'xie 东风吹柳向西斜
'dong'feng'chui'zhan'hai'tang'kai 东风吹绽海棠开
'dong'gong'jian'dao'chang 东宫建道场
'dong'lin'you'nv 东邻有女
'dong'qian'chuan'zuo'yang'sheng'chi 洞前穿作养生池
'dong'qu'bu'hui'qian'wan'li 东去不回千万里
'dong'ru'kai 动如开
'dong'xi'nan'bei'bei'qu'shi 东西南北被驱使
'dong'xi'nan'bei'ji'shi'fen 东西南北几时分
'dong'xian'ge 洞仙歌
'dong'xing'ren 动行人
'dong'zhong'chang'wan'qi 洞中常晚起
'dou'ba'qie'gui'jia 斗罢且归家
'dou'bai'cao 斗百草
'dou'lv'yuan 兜率院
'dou'wen'cai 斗文才
'dou'yuan'ming'li'mi'feng'hou 都缘名利觅封侯
'dou'zhuan'he'hui'ren'jin'shui 斗转河回人尽睡
'du'e'zhi'xin'si'luo'cha 毒恶之心似罗刹
'du'ge'qian'shan'yu'wan'jin 独隔千山与万津
'du'shu'bu'de'ci'xin'ku 读书不得辞辛苦
'du'yan'duo 睹颜多
'du'zuo'lv'chuang'qian 独坐绿窗前
'du'zuo'you'gui'si'zhuan'duo 独坐幽闺思转多
'duan'que'zhuang'lou'ban'xiao'niang 断却妆楼伴小娘
'duan'shen'zheng'zuo'yu'xiang'qian 端身正坐欲向前
'duan'zuo'bao'hua'lou 端坐宝花楼
'dui'dui'xiong'jun'jing'yu'nian 队队雄军惊御辇
'dui'zhuang'tai'chong'zheng'xi'zi'mian 对妆台重整嬉恣面
'dun'huang'gu'wang'chu'shen'jiang 敦煌古往出神将
'dun'huang'jun 敦煌郡
'dun'huang'qu'zi'ci 敦煌曲子词
'duo'ji'qian'jin'yi'bu'de 垛积千金医不得
'duo'nian'shi'bu'cheng 多年事不成
'duo'shao'ying'xiong'si'lang'hu 多少英雄似狼虎
'duo'shi'peng'pao'dan'xing'xue 多是烹炮啖腥血
'duo'tou'wu'li'yi'chuan'heng 舵头无力一船横
'duo'zhai'she 多宅舍
'e'mei'bu'sao'tian'sheng'lv 蛾眉不扫天生绿
'en'ai'yi'shi'jian 恩爱一时间
'en'de'guo'yu'tian 恩德过于天
'en'guang'liu'sai 恩光六塞
'er'chen'kui 耳沉聩
'er'da'yao'shi'fen'fu'yu 儿大钥匙分付与
'er'dang'tian'zhong'jing'xing'san 二当天众经行散
'er'geng'chang 二更长
'er'geng'cui 二更催
'er'geng'gu'zhang'li'qin'zheng 二更孤帐理秦筝
'er'geng'shen 二更深
'er'geng'ye'yue'ming 二更夜月明
'er'jia'ben'shi 儿家本是
'er'ku'mu 儿哭母
'er'nv'jiao'chi'qing'jie'yu 儿女娇痴轻诫御
'er'shen'wei'chu'dao'men'qian 儿身未出到门前
'er'shi'kong'men'yi'zhuo'qi 二十空门艺卓奇
'er'shi'rong'yan'si'yu'gui 二十容颜似玉珪
'er'shou 二首
'er'sun'shao'si'kan'fen'fu 儿孙稍似堪分付
'er'wei'jun'wang'xiao'zhong'jie 尔为君王效忠节
'er'yue'zhong'chun'chun'wei're 二月仲春春未热
'er'zuo'yu'kai'yuan'jian 而作于开元间
'fa'bin'rong'rong'xue'xiang'si 发鬓茸茸雪相似
'fa'hui'zhai'yan'chen'gong'xian 法会斋筵陈供献
'fa'shen'ti'xing'ben'lai'chan 法身体性本来禅
'fa'shen'ti'xing'bu'lao'kan 法身体性不劳看
'fa'shui'he'shi'de'ru'kou 法水何时得入口
'fa'ti'shi'er'shi 法体十二时
'fa'yuan 发愿
'fan'fu'bu'nian'sheng'fen'bie 凡夫不念生分别
'fan'hua'san'gai'yue'zheng'guang 幡花伞盖月争光
'fan'jian'lue'xian'rong'zhen 凡间略现容真
'fan'nao'ni'zhong'chang'bu'ran 烦恼泥中常不染
'fan'shi'gong'ren'xi'ting'shou 凡是工人悉停手
'fan'shi'you'qiu'jie'man'yuan 凡是有求皆满愿
'fan'shi'zhuo'liang'xu'de'suo 凡事酌量须得所
'fang'bian'qian'shen'jiu 方便潜身救
'fang'bian'yi'tu'wei'zhi'ai 方便意图为窒碍
'fang'er'qu 放儿去
'fang'fu'hui'tian'ban 仿佛回天半
'fang'jiang'shi 放将士
'fang'lin'yu'lu'cui 芳林玉露摧
'fang'wo'zi'cai'an'zhong'xiu 房卧资财暗中袖
'fei'fan'de 非凡地
'fei'fei'dian'dian'hui'tang'yu 霏霏点点回塘雨
'fei'ling'juan 费绫绢
'fei'su'niao 飞宿鸟
'fei'tang'po 沸汤泼
'fei'xiu'chuang'wei'cu'jin'yan 绯绣床帏蹙金雁
'fen'fang'du'zi'hao 芬芳独自好
'fen'fu'yu'yi'guan 分付与衣冠
'fen'hao'shan'shi'bu'ceng'xiu 分毫善事不曾修
'fen'jin'wu 奋金乌
'fen'xiang'dao'jin'ling'shen 焚香祷尽灵神
'feng'chui'lei'dian'shuang'chui 风吹泪点双垂
'feng'guo'he'ceng'shui 奉国何曾睡
'feng'huang'bi 凤凰篦
'feng'huang'shuo'fa'ting 凤凰说法听
'feng'liu'di'yi'jia'ren 风流第一佳人
'feng'niao'niao 风袅袅
'feng'ren'wen'yu'xiu'wu'li 逢人问语羞无力
'feng'ren'zhi'dao'mei'gong'fu 逢人只道没功夫
'feng'shi'shang'han'mai'jin'shen 风湿伤寒脉紧沈
'feng'song'zheng'xuan'tiao'di 风送征轩迢递
'feng'tiao'yu'shun 风调雨顺
'feng'zuo'de'yao'chang 丰作得遥长
'fo'fa'shi'seng'yong'nan'zhi 佛法师僧永难值
'fo'fa'zhong 佛法中
'fo'qie'quan'men'tu 佛且劝门徒
'fo'shuo'xi'fang'jing'tu'guo 佛说西方净土国
'fo'wen'shuang'lin'wu'you'shi 佛闻双林无有失
'fo'zai'shi 佛在世
'fu'bian'shi'yao'mi'ling'yin 父边螫咬觅零银
'fu'gui'shi'jian'xi 富贵世间稀
'fu'guo'qin'shu'huan'xi 服裹琴书欢喜
'fu'mu'yu'ta'dang'ku'nan 父母与他当苦难
'fu'qie'yi'shuang'tou'lei'yan 负妾一双偷泪眼
'fu'ru'jin 扶入锦
'fu'shou'yan'nian 福寿延年
'fu'xia'hua'liu'chen'zui 扶下骅骝沉醉
'fu'xia'shen'shen'hong'rui'luo 拂下深深红蕊落
'fu'xiong'jie'shi 父兄皆是
'fu'zhang'gao'ge'yin'nong'zhou 抚掌高歌饮醲酎
'fu'zhe'gao'mian'zui'meng'zhong 富者高眠醉梦中
'fu'zuo'bi'jin'xuan 福祚比金璿
'fu'zuo'dang'jin 福祚当今
'fu'zuo'dang'jin'di 辅佐当今帝
'gai'bian'sang'tian'yi'chao'zuo 改变桑田易朝祚
'gai'yuan'bang'ban'beng'fu'duo 盖缘傍伴迸夫多
'gai'yuan'shi'shi'yan'liang'xian 盖缘时世掩良贤
'gan'chu'yu'er'mian 干处与儿眠
'gan'de'zhu'fan'yao'qin'yang 感得诸蕃遥钦仰
'gan'du'xie'lai'qi'quan're 肝肚携来气全热
'gan'en'duo 感恩多
'gan'huang'en 感皇恩
'gan'huang'ze 感皇泽
'gan'kui'nian'xiang'ruo 感愧捻香爇
'gan'lu'chang'qing'jing 甘露常清净
'gan'zhi'mo'jiao'kui 甘旨莫教亏
'gang'bei'hu'die'rao'ren'fei 刚被蝴蝶绕人飞
'gao'juan'zhu'lian'chui'yu'hu 高卷珠帘垂玉户
'ge'huan'gong'guo'bai'qian'nian 歌欢共过百千年
'ge'jiang'xiang'ben'guo'li 各将向本国里
'ge'lian'fei'xue'tian'han'qi 隔帘飞雪添寒气
'ge'ling'jian'xin 歌令尖新
'ge'zi'qian'sheng'yuan'guo'yi 各自前生缘果异
'geng'bu'si'liang 更不思量
'geng'jiang'xin'fan'yu'zhi 更将新翻御制
'geng'ken'zhui'xiu'tian'fu'you 更肯追修添福祐
'geng'pao'ya'ji 更抛涯计
'geng'rao'fu'si'shi'chong'jia 更饶富似石崇家
'geng'ruo'fu'qi'qi'bu'he 更若夫妻气不和
'geng'wu'yu 更无余
'geng'xun'long'nao'xiang'yan 更薰龙脑香烟
