'ba'yi'jun'hao 八一军号
'wu'zhuang'zhen'cha'lian 武装侦察连
'xi'bu'zhan'qu 西部战区
'xi'bu'zhan'qu'lu'jun 西部战区陆军
'xi'lu'qiang'jun'hao 西陆强军号
'xi'nan'lie'bao 西南猎豹
'xi'nan'xiong'shi'hao 西南雄师号
'xi'zang'jun'qu 西藏军区
'xian'feng'jing'lv 先锋劲旅
'xiang'huo'ying 箱火营
'xiang'jian'te'zhan'lv 响箭特战旅
'xiang'lei'feng'xue'xi 向雷锋学习
'xiang'shi'yuan'cheng'huo'jian'pao 箱式远程火箭炮
'xiao'dui 小队
'xin'jiang'jun'qu 新疆军区
'xin'xi'bao'zhang'dui 信息保障队
'xin'xi'bao'zhang'lv 信息保障旅
'xiong'guan'jing'lv 雄关劲旅
'xiong'guan'tie'qi 雄关铁骑
'xiong'ying'te'zhan'lv 雄鹰特战旅
'xiu'li'lian 修理连
'xiu'li'ying 修理营
'xue'feng'lv 雪枫旅
'xue'lang'te'zhan'lv 血狼特战旅
'xue'shan'zhan'ying 雪山战鹰
'xue'yu'xiong'shi 雪域雄师
'xue'yu'xiong'ying 雪域雄鹰
'xue'yu'zhan'shen 雪域战神
'yan'shan'jing'lv 燕山劲旅
'yang'gen'si'bu'dui 杨根思部队
'ye'ba'lv 野八旅
'yi'deng'zhan'gong'tuan 一等战功团
'yi'jiang'shan'zhu'gong'bu'dui 一江山主攻部队
'ying'bu 营部
'ying'xiong'lu'hang'lv 英雄陆航旅
'ying'yong'sheng'li 英勇胜利
'yong'meng'wan'qiang'ying'xiong'tuan 勇猛顽强英雄团
'yuan'cheng'huo'jian'pao 远程火箭炮
'yuan'huo'ying 远火营
'yun'shu'lian 运输连
'yun'shu'zhi'sheng'ji'ying 运输直升机营
'zhan'lan'xiong'ying 战蓝雄鹰
'zhan'qu'lu'jun'ji'guan 战区陆军机关
'zhan'qu'lu'jun'zhi'shu 战区陆军直属
'zhen'cha'ying 侦察营
'zhen'ge'guan'lan 枕戈观澜
'zheng'zhi'gong'zuo'bu 政治工作部
'zhi'dui 支队
'zhi'hui'bao'zhang'lian 指挥保障连
'zhi'hui'kong'zhi'lian 指挥控制连
'zhi'hui'kong'zhi'ying 指挥控制营
'zhi'hui'tong'xin'lian 指挥通信连
'zhi'yuan'bao'zhang'lian 支援保障连
'zhi'yuan'bao'zhang'tuan 支援保障团
'zhi'yuan'bao'zhang'ying 支援保障营
'zhong'bu'zhan'qu 中部战区
'zhong'bu'zhan'qu'lu'jun 中部战区陆军
'zhong'cheng'hao 忠诚号
'zhong'cheng'jing'lv 忠诚劲旅
'zhong'cheng'meng'shi 忠诚猛士
'zhong'dui 中队
'zhong'xing'he'cheng'lv 中型合成旅
'zhong'xing'he'cheng'lv 重型合成旅
'zhong'xing'he'cheng'ying 中型合成营
'zhong'xing'he'cheng'ying 重型合成营
'zhong'ye'hu'shi 中野虎师
'zhou'li'ping'sheng'qian'suo'zai'bu'dui 周丽平生前所在部队
'zhou'qiao'lv 舟桥旅
'zhou'qiao'tuan 舟桥团
'zhou'qiao'ying 舟桥营
'zhu'cheng'wei'zhuang'ying 筑城伪装营
'zhu'de'jing'wei'tuan 朱德警卫团
'zhu'jian'zhong'yuan 铸剑中原
'zhuang'bu 装步
'zhuang'bu'lian 装步连
'zhuang'jia'bu'bing 装甲步兵
'zhuang'jia'tu'ji'che'lian 装甲突击车连
'zhuang'jia'zhen'cha'lian 装甲侦察连
'zhuang'tu'lian 装突连
'zong'dui 总队
'zuo'zhan'zhi'yuan'ying 作战支援营
