'bai'zhi'chao'fei'xie'liang'ci 白雉朝飞挟两雌
'bai'zhi'yue'shang'lai 白雉越裳来
'bai'zhu'ci'san'shou 白纻辞三首
'bai'zhu'zhuang'xing'han 白柱撞星汉
'bai'zu'ao'lv'wa 白足傲履袜
'ban'bi'jian'hai'ri 半壁见海日
'ban'bi'ming'chao'xia 半壁明朝霞
'ban'chao'wan'li'hou 班超万里侯
'ban'dao'bing'hai'liu'bie'jin'ling'cui'shi'yu'shi'jiu'yun 半道病还留别金陵崔侍御十九韵
'ban'dao'feng'wu'ji 半道逢吴姬
'ban'dao'xie'bing'hai 半道谢病还
'ban'dao'xue'tun'meng 半道雪屯蒙
'ban'du'shang'liao'jin 半渡上辽津
'ban'fu'qiong'yan'su'he'xiang 半拂琼筵苏合香
'ban'gua'qing'tian'yue 半挂青天月
'ban'han'geng'fa'jiang'hai'sheng 半酣更发江海声
'ban'han'hu'ying'chu'yuan'jiao 半酣呼鹰出远郊
'ban'lu'tui'hong'huang 半路颓洪荒
'ban'luo'qing'tian'wai 半落青天外
'ban'sa'yun'tian'li 半洒云天里
'ban'ye'qi'sha'tan 半夜起沙滩
'ban'ye'shui'jun'lai 半夜水军来
'ban'ye'si'tian'kai 半夜四天开
'bao'cheng'xian'ren'zhang 曝成仙人掌
'bao'chou'liu'guo'wen 报仇六国闻
'bao'chou'qian'li'ru'zhi'chi 报仇千里如咫尺
'bao'dao'jie'liu'shui 宝刀截流水
'bao'dao'yin'yu'xia 宝刀隐玉匣
'bao'de'you'wei'shen 报德有微身
'bao'fa'du'mi'chuan 宝筏度迷川
'bao'guo'si'he'nan 报国死何难
'bao'guo'you'chang'ce 报国有长策
'bao'guo'you'zhuang'xin 报国有壮心
'bao'han'sui'bu'cheng 报韩虽不成
'bao'hu'ji'jin'ge 包虎戢金戈
'bao'huang'ni'xia 包荒匿瑕
'bao'jian'ci'gao'tang 抱剑辞高堂
'bao'jian'shuang'jiao'long 宝剑双蛟龙
'bao'jian'zhong'nan'tuo 宝剑终难托
'bao'jing'gua'qiu'shui 宝镜挂秋水
'bao'jing'si'kong'shui 宝镜似空水
'bao'jing'xia'cang'xian 宝镜匣苍藓
'bao'juan'jin'lv'he 苞卷金缕褐
'bao'jun'nian 保君年
'bao'ma'li'jue'jing 宝马丽绝景
'bao'na'wu'xiao'da 包纳无小大
'bao'nv'huo'zhou 褒女惑周
'bao'qin'chu'shen'zhu 抱琴出深竹
'bao'qin'shi'nong'yue 抱琴时弄月
'bao'sheng'jian'yi'wu 鲍生荐夷吾
'bao'shi'chi'xian'yu 抱石耻献玉
'bao'shu'yu'jian'gua'gao'ge 宝书玉剑挂高阁
'bao'ta'ling'cang'cang 宝塔凌苍苍
'bao'weng'guan'qiu'shu 抱瓮灌秋蔬
'bao'yu'ru'chu'guo 抱玉入楚国
'bao'zi'nong'bai'yun 抱子弄白云
'bei'ban'you'can'ming 碑版有残铭
'bei'chuan'lai'zi'huan 北船来自缓
'bei'chuang'chang'zhou'mian 北窗常昼眠
'bei'chuang'he'liang'bie 北怆河梁别
'bei'chuang'zui'ru'ni 北窗醉如泥
'bei'di'sui'kua'shang'lin'yuan 北地虽夸上林苑
'bei'dou'bu'zhuo'jiu 北斗不酌酒
'bei'dou'cuo'luo'chang'geng'ming 北斗错落长庚明
'bei'dou'li 北斗戾
'bei'dou'yi'gua'xi'cheng'lou 北斗已挂西城楼
'bei'dou'zhuo'mei'jiu 北斗酌美酒
'bei'fang'jia'ren'dong'lin'zi 北方佳人东邻子
'bei'feng'chui'hai'yan 北风吹海雁
'bei'feng'luo'si'ming 北酆落死名
'bei'feng'ming'sen'ke 悲风鸣森柯
'bei'feng'si'bian'lai 悲风四边来
'bei'feng'xing 北风行
'bei'feng'yang'hu'sha 北风扬胡沙
'bei'feng'yu'xue'hen'nan'cai 北风雨雪恨难裁
'bei'feng'zhen'liu'he 背风振六翮
'bei'ge'dan'chang'xu 悲歌但长吁
'bei'ge'lei'ru'yu 悲歌泪如雨
'bei'ge'nan'zhong'lun 悲歌难重论
'bei'ge'xing 悲歌行
'bei'gong'yao'shang'yuan 北宫邀上元
'bei'hai'li'shi'jun 北海李使君
'bei'hao'jue'zhong'chang 悲号绝中肠
'bei'jia'hu'gou'dao 北夹湖沟道
'bei'jiang'tian'zhu'lin 北将天柱邻
'bei'jin'can'ran 贝锦粲然
'bei'jin'qie'cheng'shi 贝锦且成诗
'bei'kou'wu'ya'pan 北寇无涯畔
'bei'lai'bu'yin'hai'bu'xiao 悲来不吟还不笑
'bei'lai'hu 悲来乎
'bei'lai'yu'tuo'jian 悲来欲脱剑
'bei'luo'ming'xing'dong'guang'cai 北落明星动光彩
'bei'ming'xiang'zhui'pan 悲鸣相追攀
'bei'ming'you'ju'yu 北溟有巨鱼
'bei'qu'nan'lai'bu'yu'yue 北去南来不逾月
'bei'quan'tian'shang'yue 杯劝天上月
'bei'que'qing'yun'bu'ke'qi 北阙青云不可期
'bei'que'sheng'ren'ge'tai'kang 北阙圣人歌太康
'bei'shan'du'zhuo'ji'wei'liu 北山独酌寄韦六
'bei'shang'he'suo'ku 北上何所苦
'bei'shang'xing 北上行
'bei'shang'yuan'tai'hang 北上缘太行
'bei'tang'qian'wan'shou 北堂千万寿
'bei'tiao'e'zhang'qi 北眺锷嶂奇
'bei'wang'wu'ling'jian 北望五陵间
'bei'wei'hu'wen'long'yi'gu 背为虎文龙翼骨
'bei'xin'ye'chong'chong 悲心夜忡忡
'bei'xiu'lei'ying'jin 悲羞泪盈巾
'bei'yan'chun'gui'kan'yu'jin 北雁春归看欲尽
'bei'yi'qing'mei'jiu 杯以倾美酒
'bei'yin'yu'xue'dong'lin'mu 悲吟雨雪动林木
'bei'yong'lu'yang'guan 北拥鲁阳关
'bei'yu'ci'tong 悲与此同
'bei'yu'hua'zhi'nan'qi 悲羽化之难齐
'bei'zhai'liao'yan'qi 北宅聊偃憩
'bei'zhi'yan'guang'lai 北指严光濑
'bei'zhu'ji'dang'yang 北渚既荡漾
'bei'zuo'chu'di'qiu 悲作楚地囚
'ben'cu'heng'cheng'tan 奔蹙横澄潭
'ben'jia'liao'she'cheng 本家聊摄城
'ben'jia'ling'luo'jin 本家零落尽
'ben'jia'long'xi'ren 本家陇西人
'ben'jing'jia'huang'he 奔鲸夹黄河
'ben'liu'dao'hai'bu'fu'hui 奔流到海不复回
'ben'liu'wen 奔溜闻
'ben'shi'chu'jia'yu 本是楚家玉
'ben'shi'shu'san'ren 本是疏散人
'ben'shi'tian'chi'long 本是天池龙
'ben'wang'dao'zhong'wu'shou 奔亡道中五首
'ben'wei'xiu'ming'ren 本为休明人
'ben'wu'xuan'shang'qi 本无轩裳契
'ben'you'wu'hu'xin 本有五湖心
'ben'yu'jiao'liao'qun 本与鹪鹩群
'ben'zai'meng'jin'ju 本在孟津居
'ben'zou'xiang'chi'tu 奔走相驰突
'ben'zuo'yi'hang'shu 本作一行书
'beng'teng'hu'chen'qi 崩腾胡尘起
'beng'teng'zui'zhong'liu 崩腾醉中流
'beng'yun'shi'ren'jing 崩云使人惊
'bi'cao'yi'man'di 碧草已满地
'bi'chuang'fen'fen'xia'luo'hua 碧窗纷纷下落花
'bi'dai'he'ci'chu 薜带何辞楚
'bi'di'si'kong'yuan'yan'huai 避地司空原言怀
'bi'er'zeng 笔而赠
'bi'feng'sha'jin'zhong'shan'tu 笔锋杀尽中山兔
'bi'feng'yan'lu'shui'hui 碧峰岩渌水回
'bi'fu'ren'zhi'chang'kuang 彼妇人之猖狂
'bi'fu'ren'zhi'yin'hun 彼妇人之淫昏
'bi'gan'jian'er'si 比干谏而死
'bi'gu'mao'shan'gang 闭骨茅山冈
'bi'guan'cao'tai'xuan 闭关草太玄
'bi'he'sheng'you'quan 碧荷生幽泉
'bi'jian'liu'li'xia 闭剑琉璃匣
'bi'jing'miao'ru'shen 笔精妙入神
'bi'lei'tui'ceng'qiong 壁垒颓层穹
'bi'liu'huan'zhuan'qing'jin'tuan 碧流环转青锦湍
'bi'liu'ri'geng'chang 碧流日更长
'bi'mei'ning'xie'zi 彼美佞邪子
'bi'men'mu'ye'xia 闭门木叶下
'bi'men'wu'shi'xuan 闭门无世喧
'bi'mu'bu'de'yu 蔽目不得语
'bi'qiu'chi'qi'sao 弊裘耻妻嫂
'bi'sha'ru'yan'ge'chuang'yu 碧纱如烟隔窗语
'bi'shan'dui'qing'lou 碧山对青楼
'bi'shan'qing'jiang'ji'chao'hu 碧山青江几超忽
'bi'shou'cha'wu'hong 匕首插吴鸿
'bi'shu'ming'huang'li 碧树鸣黄鹂
'bi'shu'sen'sen'ying 碧树森森迎
'bi'shu'yao'cang'kong 碧树摇苍空
'bi'shui'dong'liu'zhi'ci'hui 碧水东流至此回
