'bang'zhu'zheng'ren'hui'yi 帮助证人回忆
'dang'shi'ren'chen'shu'de'shen'cha'pan'duan 当事人陈述的审查判断
'dang'shi'ren'chen'shu'de'zheng'ju'li 当事人陈述的证据力
'dang'shi'ren'cheng'ren'de'gou'cheng'yao'su 当事人承认的构成要素
'dang'shi'ren'cheng'ren'de'pai'chu 当事人承认的排除
'dang'shi'ren'ju'zheng 当事人举证
'dang'shi'ren'ju'zheng'ju'jie'zhi'du 当事人举证具结制度
'dang'shi'ren'ti'jiao'zheng'ju'de'yao'qiu 当事人提交证据的要求
'dang'shi'ren'xuan'ren'jian'ding'ren'zhi'du 当事人选任鉴定人制度
'dang'shi'ren'zhu'yi'he'zhi'jie'yan'ci'cha'zheng'gui'ze 当事人主义和直接言词查证规则
'dang'shi'ren'zi'xing'wei'tuo'jian'ding 当事人自行委托鉴定
'dang'ting'ren'zheng 当庭认证
'dang'ting'ren'zheng'cuo'wu'de'jiu'zheng 当庭认证错误的纠正
'dian'zi'shu'ju'zheng'ju 电子数据证据
'diao'cha'shou'ji'zheng'ju'de'yao'qiu 调查收集证据的要求
'diao'cha'shou'ji'zheng'ju'de'yuan'ze 调查收集证据的原则
'ding'an'zheng'ju'de'pai'chu 定案证据的排除
'dui'bu'chong'zheng'ju'de'zhi'zheng 对补充证据的质证
'dui'dan'yi'zheng'ju'de'shen'he'ren'ding 对单一证据的审核认定
'dui'ju'jue'ti'gong'zheng'ju'de'chu'li 对拒绝提供证据的处理
'dui'si'fa'jian'ding'shen'qing'chong'xin'jian'ding 对司法鉴定申请重新鉴定
'dui'xing'zheng'jian'ding'shen'qing'chong'xin'jian'ding 对行政鉴定申请重新鉴定
'dui'zheng'ju'nei'rong'de'shen'cha'pan'duan 对证据内容的审查判断
'dui'zheng'ren'pin'de'de'zhi'yi 对证人品德的质疑
'dui'zheng'ren'zhi'li'zhuang'kuang'de'zhi'yi 对证人智力状况的质疑
'duo'dian'tu'yi'ce'huang'jian'ce 多电图仪测谎检测
'duo'ge'su'song'qing'qiu'zhi'zheng'de'fang'shi 多个诉讼请求质证的方式
'er'shen'zhong'de'zhi'zheng 二审中的质证
'fa'ding'zheng'ju'zhi'du'fei'fa'zheng'ju'de'pai'chu 法定证据制度非法证据的排除
'fa'guan'de'shi'ming'quan 法官的释明权
'fa'lv'tui'ding 法律推定
'fa'lv'zhen'shi'min'shi'su'song'zheng'ming'yao'qiu 法律真实民事诉讼证明要求
'fa'yuan'de'gao'zhi'yi'wu 法院的告知义务
'fa'yuan'diao'qu'zheng'ju'de'zhi'zheng 法院调取证据的质证
'fa'yuan'dui'diao'qu'zheng'ju'shen'qing'shu'de'chu'li 法院对调取证据申请书的处理
'fa'yuan'dui'jian'ding'shu'de'shen'cha 法院对鉴定书的审查
'fa'yuan'que'ding'cai'pan'yu'jue'de'shi'shi 法院确定裁判预决的事实
'fa'yuan'shen'cha'zhong'de'si'fa'zi'xian'yuan'ze 法院审查中的司法自限原则
'fa'yuan'yao'qiu'dang'shi'ren'bu'chong'zheng'ju 法院要求当事人补充证据
'fa'yuan'yi'shen'qing'diao'qu'zheng'ju'de'fan'wei 法院依申请调取证据的范围
'fa'yuan'yi'zhi'quan'diao'qu'zheng'ju'de'di'wei 法院依职权调取证据的地位
'fa'yuan'yi'zhi'quan'diao'qu'zheng'ju'de'fan'wei 法院依职权调取证据的范围
'fan'su'zheng'ju 反诉证据
'fan'su'zheng'ju'zheng'ming'huo'shi'ming'de'dui'xiang'shi'shi 反诉证据证明或释明的对象事实
'fan'zheng'yu'fan'bo'zheng'ju 反证与反驳证据
'fan'zui'xian'yi'ren'bei'gao'ren'de'fan'gong 犯罪嫌疑人被告人的翻供
'fan'zui'xian'yi'ren'bei'gao'ren'ju'jue'hui'da'quan 犯罪嫌疑人被告人拒绝回答权
'fei'fa'zheng'ju'de'gai'kuo'pai'chu 非法证据的概括排除
'fu'cha'zheng'ju'gui'ze 复查证据规则
'fu'he'jian'ding 复核鉴定
'fu'he'jian'ding'cheng'xu 复核鉴定程序
'fu'he'jian'ding'de'tiao'jian 复核鉴定的条件
'gai'ran'xing'zheng'ming'biao'zhun 盖然性证明标准
'gao'du'gai'ran'xing'biao'zhun'shi'yong'zhi'li'wai 高度盖然性标准适用之例外
'gao'du'gai'ran'xing'min'shi'su'song'zheng'ming'biao'zhun 高度盖然性民事诉讼证明标准
'ge'shi'shu'zheng'yu'ren'yi'shu'zheng 格式书证与任意书证
'gong'ju'hen'ji 工具痕迹
'gong'kai'zhi'zheng'de'li'wai 公开质证的例外
'gong'tong'jian'ding 共同鉴定
'gong'tong'jian'ding'jie'lun 共同鉴定结论
'gong'wen'shu'de'zheng'ju'li 公文书的证据力
'gong'wen'xing'shu'zheng'yu'fei'gong'wen'xing'shu'zheng 公文性书证与非公文性书证
'gong'zheng'qu'zheng 公证取证
'guan'yu'he'tong'su'song'zhong'de'ju'zheng'ze'ren'fen'pei 关于合同诉讼中的举证责任分配
'guan'yu'qiang'jian'an'jian'zhong'dui'chu'nv'mo'de'jian'cha 关于强奸案件中对处女膜的检查
'guan'yu'ren'de'jian'ding'jie'lun'de'zheng'ming'zuo'yong 关于人的鉴定结论的证明作用
'guan'yu'shou'xin'de'tui'ding 关于受信的推定
'guan'yu'wen'shu'de'tui'ding 关于文书的推定
'guan'yu'wu'de'jian'ding'jie'lun'de'zheng'ming'zuo'yong 关于物的鉴定结论的证明作用
'gui'fan'xing'wen'jian'de'ti'gong'gui'ze 规范性文件的提供规则
'guo'jia'pei'chang'an'zheng'ming'ze'ren'de'fen'pei 国家赔偿案证明责任的分配
'he'tong'dan'bao'wen'ti'de'ju'zheng'ze'ren 合同担保问题的举证责任
'he'yi'ting'ren'zheng'de'ju'ti'fang'shi 合议庭认证的具体方式
'hen'ji'lei'wu'zheng 痕迹类物证
'hen'ji'lei'wu'zheng'de'zheng'ming'zuo'yong 痕迹类物证的证明作用
'ji'cheng'quan'fa'sheng'zheng'zhi'shi'de'ju'zheng'ze'ren 继承权发生争执时的举证责任
'ji'suan'ji'cun'chu'de'zi'liao 计算机存储的资料
'ji'suan'ji'cun'chu'zi'liao'de'zheng'ming'zuo'yong 计算机存储资料的证明作用
'jian'ding'de'shou'li 鉴定的受理
'jian'ding'ji'gou 鉴定机构
'jian'ding'ji'gou'huo'jian'ding'ren'de'fa'lv'ze'ren 鉴定机构或鉴定人的法律责任
'jian'ding'ji'gou'yu'jian'ding'ren'yuan'de'que'ding 鉴定机构与鉴定人员的确定
'jian'ding'jie'lun 鉴定结论
'jian'ding'jie'lun'de'gao'zhi 鉴定结论的告知
'jian'ding'jie'lun'de'ren'zheng 鉴定结论的认证
'jian'ding'jie'lun'de'shen'cha'pan'duan 鉴定结论的审查判断
'jian'ding'jie'lun'de'zheng'ju'li 鉴定结论的证据力
'jian'ding'jie'lun'de'zhi'zuo 鉴定结论的制作
'jian'ding'ren 鉴定人
'jian'ding'ren'chu'ting'jie'shou'xun'wen 鉴定人出庭接受询问
'jian'ding'ren'chu'ting'jie'shou'xun'wen'de'li'wai 鉴定人出庭接受询问的例外
'jian'ding'ren'chu'ting'zuo'zheng'de'yi'wu 鉴定人出庭作证的义务
'jian'ding'ren'de'xuan'ren 鉴定人的选任
'jian'ding'ren'de'yi'wu 鉴定人的义务
'jian'ding'ren'he'fa'quan'yi'de'bao'hu 鉴定人合法权益的保护
'jian'ding'ren'he'zheng'ren'de'qu'bie 鉴定人和证人的区别
'jian'ding'ren'yu'zhuan'jia'fu'zhu'ren 鉴定人与专家辅助人
'jian'ding'shu'de'nei'rong 鉴定书的内容
'jian'jie'fan'zheng'yu'jian'jie'ben'zheng 间接反证与间接本证
'jian'jie'shi'shi 间接事实
'jian'jie'zheng'ju'de'yun'yong 间接证据的运用
'jiao'cha'xun'wen 交叉询问
'jie'guo'ze'ren 结果责任
'jin'fan'yan'yuan'ze 禁反言原则
'jin'zhi'he'xian'zhi'sheng'chan'shi'yong'de'wu'pin'wu'zhi 禁止和限制生产使用的物品物质
'jing'gong'zheng'zheng'ming'de'shi'shi 经公证证明的事实
'jing'wai'shou'ji'zheng'ju 境外收集证据
'jing'yan'fa'ze 经验法则
'ju'jue'xie'zhu'diao'qu'zheng'ju'de'fa'lv'ze'ren 拒绝协助调取证据的法律责任
'ju'jue'zuo'zheng'quan 拒绝作证权
'ju'zheng'fang'ai'de'tui'ding 举证妨碍的推定
'ju'zheng'qi'xian'de'yan'chang 举证期限的延长
'ju'zheng'shi'xian 举证时限
'ju'zheng'shi'xian'shi'yong'de'li'wai 举证时限适用的例外
'ju'zheng'shi'xian'yu'zheng'ju'shi'quan 举证时限与证据失权
'ju'zheng'ze'ren 举证责任
'ju'zheng'ze'ren'dao'zhi 举证责任倒置
'ju'zheng'ze'ren'de'zhuan'huan 举证责任的转换
'ju'zheng'ze'ren'fen'pei'biao'zhun 举证责任分配标准
'ju'zheng'ze'ren'zhuan'huan'de'qing'xing 举证责任转换的情形
'ju'zheng'zhi'dao 举证指导
'ju'zheng'zhi'dao'de'nei'rong'he'li'fa'mu'di 举证指导的内容和立法目的
'kan'yan'bi'lu'de'nei'rong 勘验笔录的内容
'kan'yan'bi'lu'de'shen'cha'pan'duan 勘验笔录的审查判断
'kan'yan'bi'lu'de'zheng'ju'li 勘验笔录的证据力
'kan'yan'bi'lu'de'zhi'zuo'cheng'xu 勘验笔录的制作程序
'kan'yan'bi'lu'ji'chong'xin'kan'yan 勘验笔录及重新勘验
'kan'yan'jian'cha 勘验检查
'kan'yan'jian'cha'bi'lu'de'ren'zheng 勘验检查笔录的认证
'kan'yan'jian'cha'bi'lu'de'zheng'ming'zuo'yong 勘验检查笔录的证明作用
'kan'yan'ren'he'fa'quan'yi'de'bao'hu 勘验人合法权益的保护
'ke'guan'zhen'shi 客观真实
'ke'yu'si'fa'ren'zhi 可予司法认知
'lao'dong'jiu'fen'zhong'de'zheng'ming'ze'ren'fen'pei 劳动纠纷中的证明责任分配
'li'fa'xing'shi'shi 立法性事实
'li'hun'su'song'zhong'de'ju'zheng'ze'ren'fen'pei 离婚诉讼中的举证责任分配
'lu'xiang'zi'liao 录像资料
'lu'xiang'zi'liao'de'zheng'ming'zuo'yong 录像资料的证明作用
'lu'yin'zi'liao 录音资料
'lu'yin'zi'liao'de'zheng'ming'zuo'yong 录音资料的证明作用
'lv'shi'de'kan'yan'diao'cha'jian'cha 律师的勘验调查检查
'lv'shi'qiang'zhi'dai'li'zhi'du 律师强制代理制度
'lv'shi'zuo'zheng'zi'ge 律师作证资格
'mi'lan'da'gui'ze 米兰达规则
'mian'yu'zheng'ming'de'shi'shi 免予证明的事实
'mo'shi'xing'zheng'cheng'xu'de'zheng'ju'pai'chu 漠视行政程序的证据排除
'ni'zhi'zi'ren'de'tiao'jian 拟制自认的条件
'pai'chu'zheng'ju'gui'ze 排除证据规则
'pin'ge'zheng'ju 品格证据
'qi'su'zheng'ju 起诉证据
'qi'su'zheng'ju'shi'ming'de'dui'xiang'shi'shi 起诉证据释明的对象事实
'qi'tai'he'ye'tai'wu'zhi 气态和液态物质
'qiang'dan'hen'ji 枪弹痕迹
'qiang'zhi'diao'cha'ling 强制调查令
'qing'kuang'zheng'ju'fu'zheng'yu'zuo'zheng 情况证据复证与佐证
'ren'ding'zheng'ju 认定证据
'ren'min'fa'yuan'zheng'ju'diao'cha'de'yuan'ze'ji'fan'wei 人民法院证据调查的原则及范围
'ren'min'fa'yuan'zhi'zuo'de'que'ren'shu 人民法院制作的确认书
'ren'shen'shang'hai'jian'ding'jie'lun'de'zheng'yi'chu'li 人身伤害鉴定结论的争议处理
'ren'shen'sou'cha'de'cheng'xu'he'fang'fa 人身搜查的程序和方法
'ren'ti'yu'lai'zi'ren'ti'de'wu'zhi 人体与来自人体的物质
'ren'zheng 认证
'ren'zheng'biao'zhun'yu'zheng'ming'biao'zhun 认证标准与证明标准
'ren'zheng'de'biao'zhun 认证的标准
'ren'zheng'de'dui'xiang 认证的对象
'ren'zheng'de'fang'fa 认证的方法
'ren'zheng'de'ji'ben'yuan'ze 认证的基本原则
'ren'zheng'xing'wei'de'nei'rong 认证行为的内容
'ruo'shi'zheng'ren 弱势证人
'she'mi'zheng'ju'de'zhi'zheng 涉密证据的质证
'shen'pan'jian'du'cheng'xu'de'zhi'zheng 审判监督程序的质证
'shen'qing'fa'yuan'diao'cha'zheng'ju 申请法院调查证据
'shen'qing'fa'yuan'diao'qu'zheng'ju'shen'qing'shu 申请法院调取证据申请书
'shen'qing'jian'ding 申请鉴定
'shen'qing'zheng'ren'chu'ting'zuo'zheng 申请证人出庭作证
'sheng'ming'shu'zheng 声明书证
'sheng'xiao'fa'lv'wen'shu'de'zheng'ju'xiao'li 生效法律文书的证据效力
'shi'ming'quan 释明权
'shi'nei'sou'cha'de'cheng'xu'he'fang'fa 室内搜查的程序和方法
'shi'qian'zheng'ju'dang'shi'zheng'ju'he'shi'hou'zheng'ju 事前证据当时证据和事后证据
'shi'shi'bu'zheng'zi'ming'biao'jian'zheng'ming 事实不证自明表见证明
'shi'shi'tui'ding 事实推定
'shi'ti'jian'yan 尸体检验
'shi'ting'zi'liao 视听资料
'shi'ting'zi'liao'de'fan'ying'xing 视听资料的反映性
'shi'ting'zi'liao'de'gao'ji'shu'xing 视听资料的高技术性
'shi'ting'zi'liao'de'ren'zheng 视听资料的认证
'shi'ting'zi'liao'de'shen'cha 视听资料的审查
'shi'ting'zi'liao'de'shen'cha'fang'fa 视听资料的审查方法
'shi'ting'zi'liao'de'wu'zhi'yi'lai'xing 视听资料的物质依赖性
'shi'ting'zi'liao'de'zhong'lei 视听资料的种类
'shi'ting'zi'liao'zai'min'shi'su'song'zhong'de'yun'yong 视听资料在民事诉讼中的运用
'shi'ting'zi'liao'zai'xing'zheng'su'song'zhong'de'di'wei 视听资料在行政诉讼中的地位
'shi'ting'zi'liao'zheng'ming'li'de'que'ding 视听资料证明力的确定
'shi'ting'zi'liao'zhi'zuo'yu'shou'ji 视听资料制作与收集
'shi'ting'zi'liao'zhi'zuo'yu'shou'ji'de'zhu'ti 视听资料制作与收集的主体
'shi'wei'chu'ting'zuo'zheng 视为出庭作证
'shi'wu'zheng'ju 实物证据
'shi'wu'zheng'ju'de'yun'yong 实物证据的运用
'shi'yan'fa 实验法
'shi'yi'zheng'ju 示意证据
'shou'yin 手印
'shu'mian'cha'zheng'gui'ze 书面查证规则
'shu'zheng 书证
'shu'zheng'de'ren'zheng 书证的认证
'shu'zheng'de'shen'cha'pan'duan 书证的审查判断
'shu'zheng'de'zheng'ju'neng'li'yu'zheng'ju'li 书证的证据能力与证据力
'shu'zheng'ji'shu'zheng'fu'jian'de'cai'yong 书证及书证副件的采用
'shu'zheng'xing'shi'shang'de'zheng'ju'li 书证形式上的证据力
'shu'zheng'zheng'ju'li'de'ren'zheng 书证证据力的认证
'shu'zheng'zheng'ju'neng'li'de'ren'zheng 书证证据能力的认证
'si'fa'jian'ding'ren 司法鉴定人
'si'fa'jian'ding'ren'de'quan'li'yu'yi'wu 司法鉴定人的权利与义务
'si'fa'jian'ding'ren'de'su'song'di'wei 司法鉴定人的诉讼地位
'si'fa'jian'ding'wei'yuan'hui 司法鉴定委员会
'si'fa'ren'zhi 司法认知
'si'fa'ren'zhi'de'dui'xiang 司法认知的对象
'si'fa'ren'zhi'de'xiao'li 司法认知的效力
'si'wen'shu'de'zheng'ju'li 私文书的证据力
'sou'cha 搜查
'su'qian'zheng'ju'bao'quan 诉前证据保全
'su'song'qing'qiu'de'bian'geng 诉讼请求的变更
'su'song'shang'de'zi'ren 诉讼上的自认
'su'song'wai'de'cheng'ren 诉讼外的承认
'su'song'zheng'ming 诉讼证明
'ti'gong'jian'ding'jie'lun'de'yao'qiu 提供鉴定结论的要求
'ti'gong'shu'zheng'de'yao'qiu 提供书证的要求
'ti'gong'wai'wen'zi'liao'de'yao'qiu 提供外文资料的要求
'ti'gong'wu'zheng'de'yao'qiu 提供物证的要求
'ti'gong'yu'wai'huo'she'gang'ao'tai'zheng'ju'de'yao'qiu 提供域外或涉港澳台证据的要求
'ti'gong'zheng'ju'ze'ren 提供证据责任
'ting'qian'zheng'ju'jiao'huan 庭前证据交换
'tong'an'fan'zui'xian'yi'ren'bei'gao'ren'de'kou'gong 同案犯罪嫌疑人被告人的口供
'tong'yi'ren'ding'fa 同一认定法
'tui'ding 推定
'tui'ding'bei'gao'you'guo'shi'de'bu'zheng'zi'ming 推定被告有过失的不证自明
'tui'ding'de'fan'bo 推定的反驳
'tui'ding'de'shi'shi'mian'yu'zheng'ming 推定的事实免予证明
'tui'ding'de'shi'yong 推定的适用
'tui'ding'yu'zheng'ming'ze'ren 推定与证明责任
'wai'guo'fa'lv'he'di'fang'xing'fa'gui 外国法律和地方性法规
'wai'wen'shu'zheng'de'xing'shi'ji'zheng'ming 外文书证的形式及证明
'wei'cheng'nian'ren'zuo'zheng'zi'ge 未成年人作证资格
'wei'fan'fa'ding'xing'zheng'cheng'xu'de'zheng'ju'pai'chu 违反法定行政程序的证据排除
'wei'liang'wu'zheng 微量物证
'wei'zheng 伪证
'wen'shu'zhi'zuo'guo'cheng'zhong'xing'cheng'de'hen'ji 文书制作过程中形成的痕迹
'wen'zi'shu'zheng'fu'hao'shu'zheng'tu'xing'shu'zheng 文字书证符号书证图形书证
'wo'guo'de'ju'zheng'ze'ren'de'fen'pei 我国的举证责任的分配
'wo'guo'guan'yu'chuan'wen'zheng'ju'de'gui'ding 我国关于传闻证据的规定
'wu'pin'lei'wu'zheng 物品类物证
'wu'zheng 物证
'wu'zheng'de'biao'xian'xing'shi 物证的表现形式
'wu'zheng'de'ren'zheng 物证的认证
'wu'zheng'de'shen'cha'pan'duan 物证的审查判断
'wu'zheng'de'shou'ji 物证的收集
'wu'zheng'de'te'zheng 物证的特征
'wu'zheng'de'zheng'ju'li 物证的证据力
'wu'zheng'de'zhong'lei 物证的种类
'wu'zheng'de'zuo'yong 物证的作用
'wu'zheng'zheng'ju'li'de'ren'zheng 物证证据力的认证
'wu'zheng'zheng'ju'neng'li'de'ren'zheng 物证证据能力的认证
'wu'zui'tui'ding 无罪推定
'xian'chang'bi'lu 现场笔录
'xian'chang'bi'lu'de'shen'cha 现场笔录的审查
'xian'chang'bi'lu'de'zhi'zuo'cheng'xu 现场笔录的制作程序
'xian'chang'bi'lu'yu'kan'yan'bi'lu 现场笔录与勘验笔录
'xian'jing'qu'zheng 陷阱取证
'xin'de'zheng'ju 新的证据
'xin'zheng'gong'kai 心证公开
'xin'zheng'ju'ti'chu'de'hou'guo 新证据提出的后果
'xing'shi'fei'fa'zheng'ju 刑事非法证据
'xing'shi'fei'fa'zheng'ju'pai'chu'gui'ze 刑事非法证据排除规则
'xing'shi'gong'su'an'jian'zhong'de'zheng'ming'ze'ren 刑事公诉案件中的证明责任
'xing'shi'jian'cha'bi'lu 刑事检查笔录
'xing'shi'jian'ding 刑事鉴定
'xing'shi'kan'yan'bi'lu 刑事勘验笔录
'xing'shi'kan'yan'jian'cha'bi'lu'de'nei'rong 刑事勘验检查笔录的内容
'xing'shi'kan'yan'jian'cha'bi'lu'de'zhi'zuo 刑事勘验检查笔录的制作
'xing'shi'su'song'zheng'ming'zhu'ti 刑事诉讼证明主体
'xing'shi'su'song'zhong'shu'zheng'de'bao'quan 刑事诉讼中书证的保全
'xing'shi'zheng'ju'bao'quan 刑事证据保全
'xing'shi'zheng'ju'de'shou'ji 刑事证据的收集
'xing'shi'zheng'ju'de'zhen'cha'diao'qu 刑事证据的侦查调取
'xing'shi'zheng'ju'de'zhen'cha'kou'ya 刑事证据的侦查扣押
'xing'shi'zheng'ju'zhen'cha'diao'qu'de'cheng'xu 刑事证据侦查调取的程序
'xing'shi'zheng'ming'dui'xiang 刑事证明对象
'xing'wei'ze'ren'yu'jie'guo'ze'ren'de'lian'xi 行为责任与结果责任的联系
'xing'wei'ze'ren'yu'jie'guo'ze'ren'de'qu'bie 行为责任与结果责任的区别
'xing'zheng'an'juan'pai'chu'gui'ze 行政案卷排除规则
'xing'zheng'an'juan'zhi'wai'de'shi'shi 行政案卷之外的事实
'xing'zheng'cheng'xu'zheng'ju'yu'xing'zheng'su'song'zheng'ju 行政程序证据与行政诉讼证据
'xing'zheng'jian'ding'jie'lun'de'pai'chu 行政鉴定结论的排除
'xing'zheng'jian'ding'yu'si'fa'jian'ding 行政鉴定与司法鉴定
'xing'zheng'pei'chang'tiao'jie'zhong'de'zi'ren 行政赔偿调解中的自认
'xing'zheng'su'song'di'er'shen'zheng'ming'dui'xiang 行政诉讼第二审证明对象
'xing'zheng'su'song'di'yi'shen'zheng'ming'dui'xiang 行政诉讼第一审证明对象
'xing'zheng'su'song'ren'zheng'de'te'shu'gui'ze 行政诉讼认证的特殊规则
'xing'zheng'su'song'ren'zheng'de'yi'ban'gui'ze 行政诉讼认证的一般规则
'xing'zheng'su'song'tui'jin'ze'ren'de'zheng'ming'biao'zhun 行政诉讼推进责任的证明标准
'xing'zheng'su'song'zai'shen'zheng'ming'dui'xiang 行政诉讼再审证明对象
'xing'zheng'su'song'zheng'ju'bao'quan'cuo'shi'ji'jian'zheng 行政诉讼证据保全措施及见证
'xing'zheng'su'song'zheng'ju'de'te'xing 行政诉讼证据的特性
'xing'zheng'su'song'zheng'ming'biao'zhun 行政诉讼证明标准
'xing'zheng'su'song'zheng'ming'dui'xiang 行政诉讼证明对象
'xing'zheng'su'song'zhong'ben'zheng'zheng'ming'xiao'li'de'ren'ding 行政诉讼中本证证明效力的认定
'xing'zheng'su'song'zhong'dang'shi'ren'chen'shu'de'te'xing 行政诉讼中当事人陈述的特性
'xing'zheng'su'song'zhong'de'bu'qiang'zheng'ju'gui'ze 行政诉讼中的补强证据规则
'xing'zheng'su'song'zhong'de'chuan'wen'zheng'ju 行政诉讼中的传闻证据
'xing'zheng'su'song'zhong'de'fa'yuan'diao'qu'zheng'ju'quan 行政诉讼中的法院调取证据权
'xing'zheng'su'song'zhong'de'fang'ai'ju'zheng'de'tui'ding 行政诉讼中的妨碍举证的推定
'xing'zheng'su'song'zhong'de'jian'ding'jie'lun 行政诉讼中的鉴定结论
'xing'zheng'su'song'zhong'de'jiao'cha'xun'wen 行政诉讼中的交叉询问
'xing'zheng'su'song'zhong'de'kan'yan'cheng'xu 行政诉讼中的勘验程序
'xing'zheng'su'song'zhong'de'she'mi'zheng'ju 行政诉讼中的涉密证据
'xing'zheng'su'song'zhong'de'tui'ding 行政诉讼中的推定
'xing'zheng'su'song'zhong'de'yi'di'qu'zheng 行政诉讼中的异地取证
'xing'zheng'su'song'zhong'de'you'shi'zheng'ju'gui'ze 行政诉讼中的优势证据规则
'xing'zheng'su'song'zhong'de'zheng'ju'bao'quan'shen'qing 行政诉讼中的证据保全申请
'xing'zheng'su'song'zhong'de'zhuan'jia'fu'zhu'ren 行政诉讼中的专家辅助人
'xing'zheng'su'song'zhong'de'zi'ren 行政诉讼中的自认
'xing'zheng'su'song'zhong'shi'ting'zi'liao'de'ti'gong'yao'qiu 行政诉讼中视听资料的提供要求
'xing'zheng'su'song'zhong'shu'zheng'de'di'wei 行政诉讼中书证的地位
'xing'zheng'su'song'zhong'shu'zheng'de'ti'gong'yao'qiu 行政诉讼中书证的提供要求
'xing'zheng'su'song'zhong'si'fa'ren'zhi'de'fan'wei 行政诉讼中司法认知的范围
'xing'zheng'su'song'zhong'wu'zheng'de'ti'gong'yao'qiu 行政诉讼中物证的提供要求
'xing'zheng'zhi'fa'ren'yuan'chu'ting'zuo'zheng 行政执法人员出庭作证
'xuan'ren'jian'ding'ren 选任鉴定人
'xun'wen'de'cheng'xu 讯问的程序
'xun'wen'de'zhu'ti 讯问的主体
'xun'wen'tan'hua'chen'shu'lei'bi'lu 询问谈话陈述类笔录
'xun'wen'zheng'ren'gui'ze 询问证人规则
'yan'ci'yuan'ze 言词原则
'yan'ci'zheng'ju 言词证据
'yan'ci'zheng'ju'de'yun'yong 言词证据的运用
'yan'ge'zheng'ming'yu'zi'you'zheng'ming 严格证明与自由证明
'yi'ban'shu'zheng'yu'te'shu'shu'zheng 一般书证与特殊书证
'yi'ben'shu'zheng 译本书证
'yi'jian'zheng'ju 意见证据
'yi'jian'zheng'ju'gui'ze 意见证据规则
'yi'jian'zheng'ju'pai'chu'gui'ze 意见证据排除规则
'ying'yu'si'fa'ren'zhi 应予司法认知
'you'dao'xing'xun'wen 诱导性询问
'you'shi'zheng'ju'gui'ze 优势证据规则
'yu'ce'xing'shi'shi 预测性事实
'yu'fang'gui'ze 预防规则
'yu'xing'zheng'fu'yi'cheng'xu'you'guan'de'zheng'ju'xiao'li 与行政复议程序有关的证据效力
'yuan'ben'zheng'ben'fu'ben'jie'lu'ben'ying'yin'ben 原本正本副本节录本影印本
'yuan'gao'cheng'dan'ju'zheng'ze'ren'de'li'wai'qing'xing 原告承担举证责任的例外情形
'yuan'gao'qi'su'shi'de'zheng'ming'ze'ren 原告起诉时的证明责任
'yuan'jian'yuan'wu'you'xian'gui'ze 原件原物优先规则
'yuan'shi'zheng'ju'de'yun'yong 原始证据的运用
