'a'er'bi 阿尔必
'ni'hui'yan 泥灰岩
'ni'hui'yan'duan 泥灰岩段
'ni'jing 泥晶
'ni'jing'hui'yan 泥晶灰岩
'ni'ou'ke'mu 尼欧克姆
'ni'yan 泥岩
'ni'zhi 泥质
'ni'zhi'fen'sha'yan 泥质粉砂岩
'nuo'li 诺利
'ou'te'li'fu 欧特里夫
'peng'lai'ba'zu 蓬莱坝组
'pou'mian 剖面
'pu'lin'si'ba'he 普林斯巴赫
'qi'lang'zu 其浪组
'qian'tang'jiang'jie 钱塘江阶
'qing'xi 青西
'que'er'que'ke'zu 却尔却克组
'qun'ke 群克
'rui'ti 瑞替
'sai'nuo'man 赛诺曼
'san'die 三叠
'san'gong'he 三工河
'sang'dun 桑顿
'sang'ta'mu'zu 桑塔木组
'sha'ni'zhi 砂泥质
'sha'xie 砂屑
'sha'xie'hui'yan 砂屑灰岩
'sha'yan 砂岩
'sha'zhen'xi'zu 沙镇溪组
'sha'zhi 砂质
'sha'zhi'hui'yan 砂质灰岩
'sha'zhi'ni'yan 砂质泥岩
'shang'duan 上段
'shang'fu 上覆
'shang'tong 上统
'sheng'wu'jiao 生物礁
'sheng'xie'hui'yan 生屑灰岩
'sheng'yang 剩样
'shi'dai 时代
'shi'he'zi'zu 石盒子组
'shi'tan 石炭
'shu'shan'he'zu 舒善河组
'sui'shi 燧石
'sui'xie'yan 碎屑岩
'ta'li'qi'ke'gou 塔里奇克沟
'ta'li'qi'ke'zu 塔里奇克组
'ta'zhong 塔中
'tan'tong'wei'su 碳同位素
'tan'zhi 炭质
'tang'can 塘参
'ti'tang 提塘
'tong'ceng 统层
'tou'jing'ti 透镜体
'tu'ha 吐哈
'tu'lun 土伦
'tu'mu'xiu'ke'zu 吐木休克组
'tuo'er'qi 托尔期
'wu'long'zu 五龙组
'wu'shi'xian 乌什县
'xi'li'yan 细砾岩
'xi'sha'yan 细砂岩
'xi'shan'yao 西山窑
'xia'duan 下段
'xia'fu 下伏
'xia'gou 下沟
'xia'gou'zu 下沟组
'xia'tong 下统
'xiang'bian 相变
'xin'chang'jie 新厂阶
'xin'nie'miu'er 辛涅谬尔
'xu'jia'he 须家河
'ya'er'dang'shan 雅尔当山
'ya'ge'lie'mu'zu 亚格列木组
'ya'ha 牙哈
'yan'guan'jie 岩关阶
'yan'shi 岩石
'yan'xie 岩屑
'yan'xin 岩心
'yan'xing 岩性
'yang'wu 羊屋
'yi'jian'fang'zu 一间房组
'yi'xian'jie 义县阶
'yin'gan'zu 印干组
'ying'er 营尔
'ying'mai 英买
'ying'mai'li 英买力
'ying'mai'li'zu 英买力组
'ying'shan 鹰山
'ying'shan'zu 鹰山组
'yu'dong 玉东
'yu'men 玉门
'zheng'xuan'hui 正旋回
'zheng'yun'lv 正韵律
'zhi'liu 志留
'zhong'bao'ceng'zhuang 中薄层状
'zhong'ceng'zhuang 中层状
'zhong'duan 中段
'zhong'gou 中沟
'zhong'hou'ceng 中厚层
'zhong'hou'ceng'zhuang 中厚层状
'zhong'sheng'dai 中生代
'zhong'tong 中统
'zhou'jia'dian'zu 周家店组
'zhu'luo 侏罗
